"","X","city","date","nofcases","GZapproved","cumGZ","lnGZ","nofcases14","mobility","観測所","avg_temp","rainfall","SOE","datedum","lmobility","cumcases","pop","scaled_cases","scaled_cases14"
"114",114,"南部町","2020-03-10",0,0,0,0,0.018,7907,"南部",12.3,40.5,0,"2020-03-10",8.97550372207093,0.018,7569,0,0.237812128418549
"115",115,"大月市","2020-03-10",0,0,0,0,0.057,24032,"大月",11.7,17.5,0,"2020-03-10",10.0871415545639,0.058,23516,0,0.242388161251914
"116",116,"富士吉田市","2020-03-10",0,0,0,0,0.118,44824,"河口湖",10.3,23.5,0,"2020-03-10",10.7104989892451,0.118,48331,0,0.244149717572572
"117",117,"富士川町","2020-03-10",0,0,0,0,0.036,14035,"切石",11.2,31,0,"2020-03-10",9.54930948879598,0.036,14855,0,0.242342645573881
"118",118,"富士河口湖町","2020-03-10",0,0,0,0,0.065,33526,"河口湖",10.3,23.5,0,"2020-03-10",10.4200765361912,0.064,26562,0,0.244710488668022
"119",119,"小菅村","2020-03-10",0,0,0,0,0.002,NA,"勝沼",11.7,24,0,"2020-03-10",NA,0.002,715,0,0.27972027972028
"120",120,"山中湖村","2020-03-10",0,0,0,0,0.014,8703,"山中",10,35.5,0,"2020-03-10",9.07142307278951,0.014,5789,0,0.241837968561064
"121",121,"山梨市","2020-03-10",0,0,0,0,0.084,31742,"勝沼",11.7,24,0,"2020-03-10",10.3653960040675,0.084,34357,0,0.244491661087988
"122",122,"市川三郷町","2020-03-10",0,0,0,0,0.038,14309,"切石",11.2,31,0,"2020-03-10",9.56864398890674,0.038,15604,0,0.24352730069213
"123",123,"忍野村","2020-03-10",0,0,0,0,0.023,9895,"山中",10,35.5,0,"2020-03-10",9.19978485803667,0.024,9595,0,0.23970818134445
"124",124,"早川町","2020-03-10",0,0,0,0,0.002,1317,"切石",11.2,31,0,"2020-03-10",7.18311170174328,0.002,1018,0,0.196463654223969
"125",125,"昭和町","2020-03-10",0,0,0,0,0.05,31130,"甲府",12,29,0,"2020-03-10",10.3459272634357,0.05,20452,0,0.244474867983571
"126",126,"甲州市","2020-03-10",0,0,0,0,0.075,30135,"勝沼",11.7,24,0,"2020-03-10",10.3134425659171,0.076,30990,0,0.242013552758954
"127",127,"甲府市","2020-03-10",0,0,0,0,0.455,196683,"甲府",12,29,0,"2020-03-10",12.1893485746127,0.456,187171,0,0.243093214226563
"128",128,"甲斐市","2020-03-10",0,0,0,0,0.184,72205,"甲府",12,29,0,"2020-03-10",11.1872645745607,0.184,75522,0,0.24363761552925
"129",129,"笛吹市","2020-03-10",0,0,0,0,0.168,67339,"古関",10.5,25.5,0,"2020-03-10",11.11749484259,0.168,68924,0,0.243746735534792
"130",130,"西桂町","2020-03-10",0,0,0,0,0.01,4271,"河口湖",10.3,23.5,0,"2020-03-10",8.35960327084147,0.01,4238,0,0.235960358659745
"131",131,"身延町","2020-03-10",0,0,0,0,0.027,12808,"切石",11.2,31,0,"2020-03-10",9.45782525467655,0.028,11306,0,0.238811250663365
"132",132,"道志村","2020-03-10",0,0,0,0,0.004,1817,"大月",11.7,17.5,0,"2020-03-10",7.50494206839617,0.004,1652,0,0.242130750605327
"133",133,"都留市","2020-03-10",0,0,0,0,0.073,30455,"大月",11.7,17.5,0,"2020-03-10",10.3240054632706,0.072,29859,0,0.24448240061623
"134",134,"韮崎市","2020-03-10",0,0,0,0,0.071,33621,"韮崎",10.5,27,0,"2020-03-10",10.4229061507201,0.07,29124,0,0.243785194341437
"135",135,"鳴沢村","2020-03-10",0,0,0,0,0.008,3570,"河口湖",10.3,23.5,0,"2020-03-10",8.18032087477368,0.008,3133,0,0.2553463134376
"136",136,"上野原市","2020-03-11",0,0,0,0,0,23726,"大月",13.7,0,0,"2020-03-11",10.074326772221,0.056,22799,0,0
"137",137,"中央市","2020-03-11",0,0,0,0,0,30468,"甲府",14.6,0,0,"2020-03-11",10.3244322314927,0.076,30978,0,0
"138",138,"丹波山村","2020-03-11",0,0,0,0,0,532,"勝沼",12.9,0,0,"2020-03-11",6.27664348934164,0.002,540,0,0
"139",139,"北杜市","2020-03-11",0,0,0,0,0,48307,"大泉",9,0,0,"2020-03-11",10.7853317566759,0.112,46421,0,0
"140",140,"南アルプス市","2020-03-11",0,0,0,0,0,66121,"韮崎",12.6,0,0,"2020-03-11",11.0992416758375,0.174,71370,0,0
"141",141,"南部町","2020-03-11",0,0,0,0,0,7907,"南部",13.9,0,0,"2020-03-11",8.97550372207093,0.018,7569,0,0
"142",142,"大月市","2020-03-11",0,0,0,0,0,24032,"大月",13.7,0,0,"2020-03-11",10.0871415545639,0.058,23516,0,0
"143",143,"富士吉田市","2020-03-11",0,0,0,0,0,44824,"河口湖",10.6,0,0,"2020-03-11",10.7104989892451,0.118,48331,0,0
"144",144,"富士川町","2020-03-11",0,0,0,0,0,14035,"切石",13,0,0,"2020-03-11",9.54930948879598,0.036,14855,0,0
