X.1,X,週,week,weeknum,pref,newcaseday,newcaset.1,newcaset.2,cumcases,newdeath,emergency,GZnew,cumGZ,mobility,resview,in_city,in_pref,out_pref,week_dummy,pref_dummy,population,avg_temp,rain,sum_pop,agrgt_potecovid_lag1,agrgt_potecovid_lag2,susceptable,avg_temp_q,rain_q,noftests,noftestst.1,noftestst.2,pred_covid,pred_covid2,sales,customers,lsales,lcustomers,sales_per,customers_per,cumGZHotel,cumGZTransition,cumGZWinery,cumGZShuzou,cumGZFood,cumGZFoodHotel,rand,linear_rand,linear_rand_ymns,dummy_school_closure,dummy_gathering_restriction,Night-time self-restraint rate,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
Ibaragi-2020-11-16,266,202011_W3,2020-11-16,47,Ibaragi,285,286,294,1252,1,0,0,0,2876132,-5.816776563,2.337816164,0.021046095,3.903732329,D_47,D_Ibaragi,2860000,15.0571428571429,0,2876104,440.898876578539,575.147977608919,2858748,226.717551020408,0,5418,5424,4824,245.589681633714,360.91906373022,67196632,24628,18.0231336851898,10.1116392860311,781356.186046512,286.372093023256,0,0,0,0,0,0,29.832890088902786,710.2240081191994,0,0,0,0.23022242857142858,0.08893385714285715,0.056535999999999996,0.06777,0.05365171428571429,0.04501142857142857,0.10559785714285715,0.05264828571428572,0.029418714285714288,0.068656,0.06872714285714286,0.05996128571428571,0.05062,0.11436257142857142,0.09307971428571428
Ibaragi-2020-11-23,272,202011_W4,2020-11-23,48,Ibaragi,286,294,155,1538,2,0,0,0,2881214,-15.66971536,4.694547789,-9.430117733,-11.01623176,D_48,D_Ibaragi,2860000,10.5571428571429,0.619047619047619,2881169,575.542660439553,585.348897138475,2858462,111.453265306122,0.383219954648526,5424,4824,2862,346.468913845335,254.263549774928,62235349,23186,17.9464337081785,10.0513039272303,723666.848837209,269.604651162791,0,0,0,0,0,0,63.41624691756442,773.6402550367638,0,0,0,0.3156692857142857,0.14983,0.07572328571428572,0.07939671428571428,0.07594457142857143,0.07812257142857143,0.13704971428571427,0.09851914285714286,0.11475857142857143,0.10000171428571429,0.11048457142857143,0.09706542857142857,0.08505114285714285,0.14630242857142858,0.1433427142857143
Ibaragi-2020-11-30,278,202012_W1,2020-11-30,49,Ibaragi,294,155,146,1832,2,0,0,0,2872334,-28.13973095,3.670023992,-3.997238445,-7.40788676,D_49,D_Ibaragi,2860000,7.21428571428572,0.880952380952381,2872302,585.874635507873,467.794334114944,2858168,52.045918367347,0.77607709750567,4824,2862,1902,261.137649540159,201.781547745415,52583207,19619,17.7779073681789,9.88425376342083,611432.639534884,228.127906976744,0,0,0,0,0,0,57.49727448774502,831.1375295245089,0,0,0,0.28823371428571426,0.09718128571428572,0.07298728571428571,0.07817357142857143,0.06882414285714286,0.06459271428571428,0.12832342857142856,0.10750128571428572,0.059879714285714286,0.07821971428571428,0.096825,0.07867657142857143,0.06873585714285714,0.1391262857142857,0.15349842857142856
Ibaragi-2020-12-07,284,202012_W2,2020-12-07,50,Ibaragi,155,146,174,1987,5,0,0,0,2879283,-25.35624402,4.088177578,-5.63078895,-8.075848073,D_50,D_Ibaragi,2860000,8.30952380952381,0.166666666666667,2879249,466.042489645223,333.488432495446,2858013,69.0481859410431,0.0277777777777779,2862,1902,1770,214.334489516532,197.18081548434,58194611,21988,17.8793033139128,9.99825212898055,676681.523255814,255.674418604651,0,0,0,0,0,0,42.01737114810385,873.1549006726127,0,0,0,0.26914757142857143,0.06794985714285715,0.057976285714285716,0.07289928571428571,0.05945185714285715,0.05648157142857143,0.12189442857142857,0.08757342857142858,0.03469442857142857,0.06959371428571429,0.08942414285714285,0.06700585714285714,0.06426642857142857,0.13388842857142857,0.139599
Ibaragi-2020-12-14,290,202012_W3,2020-12-14,51,Ibaragi,146,174,253,2133,6,0,0,0,2875621,-24.1388854,3.953683913,-5.823012871,-9.139878637,D_51,D_Ibaragi,2860000,3.09047619047619,0,2875588,332.633969042939,361.281605099581,2857867,9.55104308390023,0,1902,1770,2502,205.594315455635,307.822886220612,61892881,22312,17.9409157229633,10.0128799293073,719684.662790698,259.441860465116,0,0,0,0,0,0,22.34681476512924,895.501715437742,0,0,0,0.23782914285714285,0.06424885714285715,0.062749857142857135,0.061924,0.05324942857142857,0.05296114285714286,0.10580771428571428,0.05748028571428571,0.029138714285714285,0.06838528571428572,0.07857442857142857,0.05921957142857143,0.05219242857142857,0.11185442857142858,0.10288714285714286
Ibaragi-2020-12-21,296,202012_W4,2020-12-21,52,Ibaragi,174,253,580,2307,1,0,0,0,2869284,-20.98803443,4.401062395,-2.849359901,-16.79696083,D_52,D_Ibaragi,2860000,4.9,0,2869245,361.487401807002,477.026937239216,2857693,24.01,0,1770,2502,6624,296.447830390573,741.209184426634,68357061,23064,18.0402554223091,10.0460282393182,794849.546511628,268.186046511628,0,0,0,0,0,0,3.5964623445179313,899.0981777822599,0,0,0,0.2589012857142857,0.18521685714285713,0.06380757142857144,0.07233685714285715,0.07454714285714285,0.07154885714285714,0.12021142857142857,0.06878128571428571,0.17445871428571427,0.09158514285714285,0.09644542857142857,0.09241057142857143,0.07416542857142858,0.13274842857142857,0.12298985714285714
Ibaragi-2020-12-28,302,202012_W5,2020-12-28,53,Ibaragi,253,580,672,2560,3,0,0,0,2888605,-23.1880101,6.801329063,-3.771928413,-37.46728895,D_53,D_Ibaragi,2860000,3.61904761904762,0.119047619047619,2888558,475.052955975701,899.798819964992,2857440,13.0975056689342,0.014172335600907,2502,6624,7992,722.433171896249,662.141850807474,70408357,22039,18.0698225214695,10.0005688901867,818701.825581395,256.267441860465,0,0,0,0,0,0,92.95392033038661,992.0520981126465,0,0,0,0.49836214285714286,0.4092877142857143,0.28027342857142856,0.2642474285714286,0.27792942857142855,0.27566742857142856,0.34941314285714287,0.34262042857142855,0.33792742857142855,0.23226971428571427,0.25407714285714283,0.2733528571428571,0.24971485714285713,0.3430622857142857,0.36264742857142857
Ibaragi-2021-01-04,308,202101_W1,2021-01-04,54,Ibaragi,580,672,550,3140,2,0,0,0,2884599,-32.13228412,5.333325879,15.34948307,-54.38229445,D_54,D_Ibaragi,2860000,2.54761904761905,0,2884569,918.327804128754,1345.01315472,2856860,6.49036281179138,0,6624,7992,7788,644.308939121794,424.638728131959,45193921,17741,17.6264731446073,9.78363362406065,525510.709302326,206.290697674419,0,0,0,0,0,0,25.540567328222096,1017.5926654408686,0,0,0,0.39425214285714283,0.36753085714285716,0.13831814285714286,0.14030814285714285,0.14804442857142858,0.13601857142857143,0.1875827142857143,0.17307571428571428,0.3498337142857143,0.14320771428571427,0.159621,0.17553414285714286,0.14264242857142856,0.20908714285714286,0.225665
Ibaragi-2021-01-11,314,202101_W2,2021-01-11,55,Ibaragi,672,550,456,3812,4,0,0,0,2894683,-39.19293554,8.065666158,-14.96073975,-26.7614965,D_55,D_Ibaragi,2860000,4.24285714285714,0.214285714285714,2894679,1348.55994887131,1305.03348076238,2856188,18.0018367346939,0.0459183673469386,7992,7788,6168,416.035819567369,318.642638743126,36385448,14533,17.4096794724538,9.58417720462617,423086.604651163,168.988372093023,0,0,0,0,0,0,57.88688080967404,1075.4795462505426,0,0,0,0.46671842857142853,0.19992728571428572,0.098999,0.10582942857142857,0.11311485714285714,0.11353242857142858,0.17808242857142859,0.18982257142857142,0.20195957142857143,0.147292,0.16595228571428572,0.15241157142857142,0.13539785714285715,0.22183885714285714,0.2567818571428572
Ibaragi-2021-01-18,320,202101_W3,2021-01-18,56,Ibaragi,550,456,324,4362,9,0,0,0,2881483,-43.95030433,5.703883452,-5.738914917,-31.34469276,D_56,D_Ibaragi,2860000,3.75714285714286,2.26190476190476,2881460,1290.22398035668,1055.72594462697,2855638,14.1161224489796,5.11621315192744,7788,6168,4524,317.173117507765,231.42361328895,30201665,12349,17.2234076132757,9.42133036711782,351182.151162791,143.593023255814,0,0,0,0,0,0,5.377185676712543,1080.8567319272552,0,0,1,0.5012511428571429,0.24008185714285712,0.1291342857142857,0.130376,0.12500942857142858,0.12478857142857143,0.18713928571428573,0.20828485714285716,0.23418814285714287,0.16210057142857143,0.1660252857142857,0.15129471428571428,0.13685442857142857,0.21936085714285714,0.2832977142857143
