エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
群馬県全体,2020年5月第1週,すべて,-38.010588816
群馬県全体,2020年5月第1週,ファミレス・ファストフード,57.683024940
群馬県全体,2020年5月第1週,中華,-32.642451836
群馬県全体,2020年5月第1週,和食,-40.899792026
群馬県全体,2020年5月第1週,居酒屋・バー,-60.271666797
群馬県全体,2020年5月第1週,洋食・西洋料理,-40.408669359
群馬県全体,2020年5月第1週,肉料理,-32.050243112
群馬県全体,2020年5月第1週,鍋料理,-21.790155894
群馬県全体,2020年5月第2週,アジア・エスニック,-37.422825895
群馬県全体,2020年5月第2週,カフェ・スイーツ,-50.080059834
群馬県全体,2020年5月第2週,すべて,-46.841973053
群馬県全体,2020年5月第2週,ファミレス・ファストフード,15.075825156
群馬県全体,2020年5月第2週,中華,-31.163351417
群馬県全体,2020年5月第2週,和食,-47.692908705
群馬県全体,2020年5月第2週,居酒屋・バー,-61.108482979
群馬県全体,2020年5月第2週,洋食・西洋料理,-51.198015660
群馬県全体,2020年5月第2週,肉料理,-18.124770136
群馬県全体,2020年5月第2週,鍋料理,-31.778523490
群馬県全体,2020年5月第3週,アジア・エスニック,-27.444505595
群馬県全体,2020年5月第3週,カフェ・スイーツ,-45.282192600
群馬県全体,2020年5月第3週,すべて,-27.554114968
群馬県全体,2020年5月第3週,ファミレス・ファストフード,15.649183147
群馬県全体,2020年5月第3週,中華,-22.966170701
群馬県全体,2020年5月第3週,和食,-10.523010336
群馬県全体,2020年5月第3週,居酒屋・バー,-55.582608696
群馬県全体,2020年5月第3週,洋食・西洋料理,-18.601873342
群馬県全体,2020年5月第3週,肉料理,-29.703040469
群馬県全体,2020年5月第3週,鍋料理,-25.803618479
群馬県全体,2020年5月第4週,アジア・エスニック,-23.641482872
群馬県全体,2020年5月第4週,カフェ・スイーツ,-41.469691990
群馬県全体,2020年5月第4週,すべて,-31.196058209
群馬県全体,2020年5月第4週,ファミレス・ファストフード,17.457305503
群馬県全体,2020年5月第4週,中華,-22.082198463
群馬県全体,2020年5月第4週,和食,-21.767403761
群馬県全体,2020年5月第4週,居酒屋・バー,-46.467101696
群馬県全体,2020年5月第4週,洋食・西洋料理,-31.708919160
群馬県全体,2020年5月第4週,肉料理,-25.887891445
群馬県全体,2020年5月第4週,鍋料理,-32.576010692
群馬県全体,2020年6月第1週,アジア・エスニック,-28.102602791
群馬県全体,2020年6月第1週,カフェ・スイーツ,-33.808813890
群馬県全体,2020年6月第1週,すべて,-29.135090964
群馬県全体,2020年6月第1週,ファミレス・ファストフード,5.071770335
群馬県全体,2020年6月第1週,中華,-27.250514852
群馬県全体,2020年6月第1週,和食,-25.543833302
群馬県全体,2020年6月第1週,居酒屋・バー,-38.319578802
群馬県全体,2020年6月第1週,洋食・西洋料理,-28.177475902
群馬県全体,2020年6月第1週,肉料理,-29.512694236
群馬県全体,2020年6月第1週,鍋料理,4.087420754
群馬県全体,2020年6月第2週,アジア・エスニック,-24.661955858
群馬県全体,2020年6月第2週,カフェ・スイーツ,-30.524272921
群馬県全体,2020年6月第2週,すべて,-23.914655412
群馬県全体,2020年6月第2週,ファミレス・ファストフード,8.126603935
群馬県全体,2020年6月第2週,中華,-22.984489214
群馬県全体,2020年6月第2週,和食,-20.150173461
群馬県全体,2020年6月第2週,居酒屋・バー,-33.670656578
群馬県全体,2020年6月第2週,洋食・西洋料理,-21.713864601
群馬県全体,2020年6月第2週,肉料理,-18.665165861
群馬県全体,2020年6月第2週,鍋料理,-15.576080150
群馬県全体,2020年6月第3週,アジア・エスニック,-17.727609178
群馬県全体,2020年6月第3週,カフェ・スイーツ,-23.026743457
群馬県全体,2020年6月第3週,すべて,-18.605838366
群馬県全体,2020年6月第3週,ファミレス・ファストフード,-11.513157895
群馬県全体,2020年6月第3週,中華,-20.182721104
群馬県全体,2020年6月第3週,和食,-17.019964959
