代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
山梨県全体,すべての時間帯,2021年4月第4週,市区町村内,4.087830531
山梨県全体,すべての時間帯,2021年4月第4週,都道府県内,-2.496580790
山梨県全体,すべての時間帯,2021年4月第4週,都道府県外,-22.386428937
山梨県全体,すべての時間帯,2021年4月第5週,市区町村内,6.759836588
山梨県全体,すべての時間帯,2021年4月第5週,都道府県内,-9.665613849
山梨県全体,すべての時間帯,2021年4月第5週,都道府県外,-15.484056047
山梨県全体,すべての時間帯,2021年5月第1週,市区町村内,9.211142330
山梨県全体,すべての時間帯,2021年5月第1週,都道府県内,6.895338165
山梨県全体,すべての時間帯,2021年5月第1週,都道府県外,-61.206488872
山梨県全体,すべての時間帯,2021年5月第2週,市区町村内,4.610561020
山梨県全体,すべての時間帯,2021年5月第2週,都道府県内,2.228228772
山梨県全体,すべての時間帯,2021年5月第2週,都道府県外,-34.473886596
山梨県全体,すべての時間帯,2021年5月第3週,市区町村内,7.814256263
山梨県全体,すべての時間帯,2021年5月第3週,都道府県内,-3.842229639
山梨県全体,すべての時間帯,2021年5月第3週,都道府県外,-38.286993703
山梨県全体,すべての時間帯,2021年5月第4週,市区町村内,7.486114889
山梨県全体,すべての時間帯,2021年5月第4週,都道府県内,-1.866552098
山梨県全体,すべての時間帯,2021年5月第4週,都道府県外,-35.308042542
山梨県全体,すべての時間帯,2021年6月第1週,市区町村内,8.275329162
山梨県全体,すべての時間帯,2021年6月第1週,都道府県内,-5.048570264
山梨県全体,すべての時間帯,2021年6月第1週,都道府県外,-34.605329169
山梨県全体,すべての時間帯,2021年6月第2週,市区町村内,6.935769051
山梨県全体,すべての時間帯,2021年6月第2週,都道府県内,-6.050325119
山梨県全体,すべての時間帯,2021年6月第2週,都道府県外,-34.034800538
山梨県全体,すべての時間帯,2021年6月第3週,市区町村内,7.294368876
山梨県全体,すべての時間帯,2021年6月第3週,都道府県内,-6.716191201
山梨県全体,すべての時間帯,2021年6月第3週,都道府県外,-37.851753614
山梨県全体,すべての時間帯,2021年6月第4週,市区町村内,7.298320849
山梨県全体,すべての時間帯,2021年6月第4週,都道府県内,-6.145635495
山梨県全体,すべての時間帯,2021年6月第4週,都道府県外,-35.593344400
山梨県全体,すべての時間帯,2021年7月第1週,市区町村内,8.434984440
山梨県全体,すべての時間帯,2021年7月第1週,都道府県内,-10.850549564
山梨県全体,すべての時間帯,2021年7月第1週,都道府県外,-41.274941397
山梨県全体,すべての時間帯,2021年7月第2週,市区町村内,3.924560262
山梨県全体,すべての時間帯,2021年7月第2週,都道府県内,-4.187435981
山梨県全体,すべての時間帯,2021年7月第2週,都道府県外,-16.208464866
山梨県全体,すべての時間帯,2021年7月第3週,市区町村内,5.176691730
山梨県全体,すべての時間帯,2021年7月第3週,都道府県内,-4.809265574
山梨県全体,すべての時間帯,2021年7月第3週,都道府県外,-28.886741494
山梨県全体,すべての時間帯,2021年7月第4週,市区町村内,3.192011107
山梨県全体,すべての時間帯,2021年7月第4週,都道府県内,-6.580702576
山梨県全体,すべての時間帯,2021年7月第4週,都道府県外,28.882211275
山梨県全体,すべての時間帯,2021年7月第5週,市区町村内,3.384286970
山梨県全体,すべての時間帯,2021年7月第5週,都道府県内,-4.535130203
山梨県全体,すべての時間帯,2021年7月第5週,都道府県外,-26.402841660
山梨県全体,すべての時間帯,2021年8月第1週,市区町村内,5.132190895
山梨県全体,すべての時間帯,2021年8月第1週,都道府県内,-5.716614892
山梨県全体,すべての時間帯,2021年8月第1週,都道府県外,-28.695284223
山梨県全体,すべての時間帯,2021年8月第2週,市区町村内,9.335268518
山梨県全体,すべての時間帯,2021年8月第2週,都道府県内,-21.355435678
山梨県全体,すべての時間帯,2021年8月第2週,都道府県外,-23.176125492
山梨県全体,すべての時間帯,2021年8月第3週,市区町村内,5.577433214
山梨県全体,すべての時間帯,2021年8月第3週,都道府県内,7.649627097
山梨県全体,すべての時間帯,2021年8月第3週,都道府県外,-67.129431212
山梨県全体,すべての時間帯,2021年8月第4週,市区町村内,5.452139269
山梨県全体,すべての時間帯,2021年8月第4週,都道府県内,-8.444056248
山梨県全体,すべての時間帯,2021年8月第4週,都道府県外,-43.634311933
山梨県全体,すべての時間帯,2021年9月第1週,市区町村内,4.886062178
