エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
栃木県全体,2020年4月第4週,アジア・エスニック,-40.780547969
栃木県全体,2020年4月第4週,カフェ・スイーツ,-67.512127451
栃木県全体,2020年4月第4週,すべて,-65.854847593
栃木県全体,2020年4月第4週,ファミレス・ファストフード,-21.966341895
栃木県全体,2020年4月第4週,中華,-64.979856690
栃木県全体,2020年4月第4週,和食,-63.644540616
栃木県全体,2020年4月第4週,居酒屋・バー,-78.739775406
栃木県全体,2020年4月第4週,洋食・西洋料理,-71.820355747
栃木県全体,2020年4月第4週,肉料理,-66.484384254
栃木県全体,2020年4月第4週,鍋料理,-80.219364599
栃木県全体,2020年4月第5週,アジア・エスニック,-50.040627539
栃木県全体,2020年4月第5週,カフェ・スイーツ,-77.231421181
栃木県全体,2020年4月第5週,すべて,-76.752142074
栃木県全体,2020年4月第5週,ファミレス・ファストフード,-47.067783701
栃木県全体,2020年4月第5週,中華,-82.780488533
栃木県全体,2020年4月第5週,和食,-75.695829521
栃木県全体,2020年4月第5週,居酒屋・バー,-79.063622599
栃木県全体,2020年4月第5週,洋食・西洋料理,-82.212698882
栃木県全体,2020年4月第5週,肉料理,-75.197520280
栃木県全体,2020年4月第5週,鍋料理,-71.940175631
栃木県全体,2020年5月第1週,アジア・エスニック,-15.510204082
栃木県全体,2020年5月第1週,カフェ・スイーツ,-49.171163965
栃木県全体,2020年5月第1週,すべて,-46.429485823
栃木県全体,2020年5月第1週,ファミレス・ファストフード,10.131411615
栃木県全体,2020年5月第1週,中華,-30.565896612
栃木県全体,2020年5月第1週,和食,-46.461623747
栃木県全体,2020年5月第1週,居酒屋・バー,-63.321459804
栃木県全体,2020年5月第1週,洋食・西洋料理,-59.796398510
栃木県全体,2020年5月第1週,肉料理,-38.233968726
栃木県全体,2020年5月第1週,鍋料理,-59.077745600
栃木県全体,2020年5月第2週,アジア・エスニック,-27.080881117
栃木県全体,2020年5月第2週,カフェ・スイーツ,-55.144786707
栃木県全体,2020年5月第2週,すべて,-51.308010928
栃木県全体,2020年5月第2週,ファミレス・ファストフード,-15.514018692
栃木県全体,2020年5月第2週,中華,-41.807574409
栃木県全体,2020年5月第2週,和食,-44.868802076
栃木県全体,2020年5月第2週,居酒屋・バー,-64.086017195
栃木県全体,2020年5月第2週,洋食・西洋料理,-64.422041632
栃木県全体,2020年5月第2週,肉料理,-49.544093944
栃木県全体,2020年5月第2週,鍋料理,-64.699616532
栃木県全体,2020年5月第3週,アジア・エスニック,-18.233713902
栃木県全体,2020年5月第3週,カフェ・スイーツ,-48.178287590
栃木県全体,2020年5月第3週,すべて,-42.363879479
栃木県全体,2020年5月第3週,ファミレス・ファストフード,-13.379629630
栃木県全体,2020年5月第3週,中華,-37.835061927
栃木県全体,2020年5月第3週,和食,-35.868951908
栃木県全体,2020年5月第3週,居酒屋・バー,-55.573593074
栃木県全体,2020年5月第3週,洋食・西洋料理,-52.099078488
栃木県全体,2020年5月第3週,肉料理,-36.702502230
栃木県全体,2020年5月第3週,鍋料理,-55.698097071
栃木県全体,2020年5月第4週,アジア・エスニック,-17.584516986
栃木県全体,2020年5月第4週,カフェ・スイーツ,-43.481565559
