エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
静岡県全体,2020年4月第4週,アジア・エスニック,-47.160829650
静岡県全体,2020年4月第4週,カフェ・スイーツ,-57.836931034
静岡県全体,2020年4月第4週,すべて,-68.699868284
静岡県全体,2020年4月第4週,ファミレス・ファストフード,-49.259818731
静岡県全体,2020年4月第4週,中華,-56.501860108
静岡県全体,2020年4月第4週,和食,-73.263764220
静岡県全体,2020年4月第4週,居酒屋・バー,-80.506441097
静岡県全体,2020年4月第4週,洋食・西洋料理,-71.812839248
静岡県全体,2020年4月第4週,肉料理,-67.478512974
静岡県全体,2020年4月第4週,鍋料理,-69.790071178
静岡県全体,2020年4月第5週,アジア・エスニック,-60.064697903
静岡県全体,2020年4月第5週,カフェ・スイーツ,-72.035379678
静岡県全体,2020年4月第5週,すべて,-79.975602105
静岡県全体,2020年4月第5週,ファミレス・ファストフード,-62.284122563
静岡県全体,2020年4月第5週,中華,-75.176075147
静岡県全体,2020年4月第5週,和食,-84.699163273
静岡県全体,2020年4月第5週,居酒屋・バー,-83.576250683
静岡県全体,2020年4月第5週,洋食・西洋料理,-81.285703515
静岡県全体,2020年4月第5週,肉料理,-74.777982402
静岡県全体,2020年4月第5週,鍋料理,-76.798690671
静岡県全体,2020年5月第1週,アジア・エスニック,-34.244399866
静岡県全体,2020年5月第1週,カフェ・スイーツ,-37.432846773
静岡県全体,2020年5月第1週,すべて,-51.681470428
静岡県全体,2020年5月第1週,ファミレス・ファストフード,-21.126513423
静岡県全体,2020年5月第1週,中華,-46.270725815
静岡県全体,2020年5月第1週,和食,-57.806359991
静岡県全体,2020年5月第1週,居酒屋・バー,-67.269183884
静岡県全体,2020年5月第1週,洋食・西洋料理,-64.094935567
静岡県全体,2020年5月第1週,肉料理,-45.256994609
静岡県全体,2020年5月第1週,鍋料理,-54.728121971
静岡県全体,2020年5月第2週,アジア・エスニック,-52.462281743
静岡県全体,2020年5月第2週,カフェ・スイーツ,-47.969089533
静岡県全体,2020年5月第2週,すべて,-57.158920998
静岡県全体,2020年5月第2週,ファミレス・ファストフード,-44.880910060
静岡県全体,2020年5月第2週,中華,-47.982056075
静岡県全体,2020年5月第2週,和食,-59.541136590
静岡県全体,2020年5月第2週,居酒屋・バー,-69.724560827
静岡県全体,2020年5月第2週,洋食・西洋料理,-61.535170106
静岡県全体,2020年5月第2週,肉料理,-52.251083254
静岡県全体,2020年5月第2週,鍋料理,-52.396283691
静岡県全体,2020年5月第3週,アジア・エスニック,-37.952835848
静岡県全体,2020年5月第3週,カフェ・スイーツ,-42.900934598
静岡県全体,2020年5月第3週,すべて,-47.672054756
静岡県全体,2020年5月第3週,ファミレス・ファストフード,-25.192954680
静岡県全体,2020年5月第3週,中華,-36.268601251
静岡県全体,2020年5月第3週,和食,-47.417700945
静岡県全体,2020年5月第3週,居酒屋・バー,-61.215534155
静岡県全体,2020年5月第3週,洋食・西洋料理,-54.249358249
静岡県全体,2020年5月第3週,肉料理,-39.907494399
静岡県全体,2020年5月第3週,鍋料理,-37.858585859
静岡県全体,2020年5月第4週,アジア・エスニック,-37.591862559
静岡県全体,2020年5月第4週,カフェ・スイーツ,-35.018421729
静岡県全体,2020年5月第4週,すべて,-41.118349422
静岡県全体,2020年5月第4週,ファミレス・ファストフード,-29.713536791
静岡県全体,2020年5月第4週,中華,-31.345738334
静岡県全体,2020年5月第4週,和食,-40.415434803
静岡県全体,2020年5月第4週,居酒屋・バー,-55.089886809
静岡県全体,2020年5月第4週,洋食・西洋料理,-50.087616295
静岡県全体,2020年5月第4週,肉料理,-32.804750095
静岡県全体,2020年5月第4週,鍋料理,-34.644682287
静岡県全体,2020年6月第1週,アジア・エスニック,-29.554424842
静岡県全体,2020年6月第1週,カフェ・スイーツ,-23.679866206
静岡県全体,2020年6月第1週,すべて,-32.225219361
静岡県全体,2020年6月第1週,ファミレス・ファストフード,-26.685153584
静岡県全体,2020年6月第1週,中華,-29.309598268
静岡県全体,2020年6月第1週,和食,-32.980837052
静岡県全体,2020年6月第1週,居酒屋・バー,-46.841335183
静岡県全体,2020年6月第1週,洋食・西洋料理,-37.485309748
静岡県全体,2020年6月第1週,肉料理,-24.964951058
静岡県全体,2020年6月第1週,鍋料理,-31.171458999
静岡県全体,2020年6月第2週,アジア・エスニック,-24.390584945
静岡県全体,2020年6月第2週,カフェ・スイーツ,-18.373146021
静岡県全体,2020年6月第2週,すべて,-26.416474554
静岡県全体,2020年6月第2週,ファミレス・ファストフード,-24.400377715
静岡県全体,2020年6月第2週,中華,-26.034702324
静岡県全体,2020年6月第2週,和食,-29.079849637
静岡県全体,2020年6月第2週,居酒屋・バー,-36.933304516
静岡県全体,2020年6月第2週,洋食・西洋料理,-26.403246803
静岡県全体,2020年6月第2週,肉料理,-17.831118227
静岡県全体,2020年6月第2週,鍋料理,-16.809222759
静岡県全体,2020年6月第3週,アジア・エスニック,-18.348710670
静岡県全体,2020年6月第3週,カフェ・スイーツ,-11.000351285
静岡県全体,2020年6月第3週,すべて,-13.856658805
静岡県全体,2020年6月第3週,ファミレス・ファストフード,-21.810060206
静岡県全体,2020年6月第3週,中華,-20.082789365
静岡県全体,2020年6月第3週,和食,-10.505357332
静岡県全体,2020年6月第3週,居酒屋・バー,-30.236514460
静岡県全体,2020年6月第3週,洋食・西洋料理,-22.158505465
静岡県全体,2020年6月第3週,肉料理,5.284307321
静岡県全体,2020年6月第3週,鍋料理,-14.553623755
静岡県全体,2020年6月第4週,アジア・エスニック,-19.129287599
静岡県全体,2020年6月第4週,カフェ・スイーツ,-9.306020427
静岡県全体,2020年6月第4週,すべて,-11.202007774
静岡県全体,2020年6月第4週,ファミレス・ファストフード,-21.195202647
静岡県全体,2020年6月第4週,中華,-15.479459151
静岡県全体,2020年6月第4週,和食,-5.410124278
静岡県全体,2020年6月第4週,居酒屋・バー,-30.198442375
静岡県全体,2020年6月第4週,洋食・西洋料理,-19.979437453
静岡県全体,2020年6月第4週,肉料理,-6.184787908
静岡県全体,2020年6月第4週,鍋料理,-13.282695491
静岡県全体,2020年7月第1週,アジア・エスニック,-24.659606657
静岡県全体,2020年7月第1週,カフェ・スイーツ,-13.864366199
静岡県全体,2020年7月第1週,すべて,-16.217987122
静岡県全体,2020年7月第1週,ファミレス・ファストフード,-21.340054610
静岡県全体,2020年7月第1週,中華,-22.779548777
静岡県全体,2020年7月第1週,和食,-15.009974613
静岡県全体,2020年7月第1週,居酒屋・バー,-27.655081937
静岡県全体,2020年7月第1週,洋食・西洋料理,-17.760212400
静岡県全体,2020年7月第1週,肉料理,-2.010315245
静岡県全体,2020年7月第1週,鍋料理,-11.801242236
静岡県全体,2020年7月第2週,アジア・エスニック,-22.485794173
静岡県全体,2020年7月第2週,カフェ・スイーツ,-20.861826391
静岡県全体,2020年7月第2週,すべて,-24.713493052
静岡県全体,2020年7月第2週,ファミレス・ファストフード,-30.102220656
静岡県全体,2020年7月第2週,中華,-26.621071636
静岡県全体,2020年7月第2週,和食,-24.564278935
静岡県全体,2020年7月第2週,居酒屋・バー,-32.889861665
静岡県全体,2020年7月第2週,洋食・西洋料理,-25.643714906
静岡県全体,2020年7月第2週,肉料理,-15.736560653
静岡県全体,2020年7月第2週,鍋料理,-16.290083868
静岡県全体,2020年7月第3週,アジア・エスニック,-14.344491289
静岡県全体,2020年7月第3週,カフェ・スイーツ,-9.834081902
静岡県全体,2020年7月第3週,すべて,-14.727113046
静岡県全体,2020年7月第3週,ファミレス・ファストフード,-21.427193828
静岡県全体,2020年7月第3週,中華,-19.702856779
静岡県全体,2020年7月第3週,和食,-15.752343823
静岡県全体,2020年7月第3週,居酒屋・バー,-22.890577837
静岡県全体,2020年7月第3週,洋食・西洋料理,-15.215454202
静岡県全体,2020年7月第3週,肉料理,-2.315756533
静岡県全体,2020年7月第3週,鍋料理,-5.997526793
静岡県全体,2020年7月第4週,アジア・エスニック,-5.424590772
静岡県全体,2020年7月第4週,カフェ・スイーツ,-0.403519965
静岡県全体,2020年7月第4週,すべて,-2.856563346
静岡県全体,2020年7月第4週,ファミレス・ファストフード,-20.171673820
静岡県全体,2020年7月第4週,中華,-3.163574804
静岡県全体,2020年7月第4週,和食,-2.885727834
静岡県全体,2020年7月第4週,居酒屋・バー,-14.799087587
静岡県全体,2020年7月第4週,洋食・西洋料理,-4.943613175
静岡県全体,2020年7月第4週,肉料理,7.624831309
静岡県全体,2020年7月第4週,鍋料理,-2.511191178
静岡県全体,2020年7月第5週,アジア・エスニック,-29.873404953
静岡県全体,2020年7月第5週,カフェ・スイーツ,-25.022140065
静岡県全体,2020年7月第5週,すべて,-33.047424169
静岡県全体,2020年7月第5週,ファミレス・ファストフード,-40.136809022
静岡県全体,2020年7月第5週,中華,-29.551473022
静岡県全体,2020年7月第5週,和食,-35.954912049
静岡県全体,2020年7月第5週,居酒屋・バー,-47.212209132
静岡県全体,2020年7月第5週,洋食・西洋料理,-31.248502396
