エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
長野県全体,2020年5月第4週,居酒屋・バー,-62.383660807
長野県全体,2020年5月第4週,洋食・西洋料理,-52.231818150
長野県全体,2020年5月第4週,肉料理,-47.423296450
長野県全体,2020年5月第4週,鍋料理,-64.493933116
長野県全体,2020年6月第1週,アジア・エスニック,-27.455919395
長野県全体,2020年6月第1週,カフェ・スイーツ,-30.223900670
長野県全体,2020年6月第1週,すべて,-38.977741876
長野県全体,2020年6月第1週,ファミレス・ファストフード,11.951384200
長野県全体,2020年6月第1週,中華,-31.100292113
長野県全体,2020年6月第1週,和食,-38.367812845
長野県全体,2020年6月第1週,居酒屋・バー,-55.369319432
長野県全体,2020年6月第1週,洋食・西洋料理,-43.259480728
長野県全体,2020年6月第1週,肉料理,-37.847144400
長野県全体,2020年6月第1週,鍋料理,-54.330708661
長野県全体,2020年6月第2週,アジア・エスニック,-24.233576642
長野県全体,2020年6月第2週,カフェ・スイーツ,-25.429510828
長野県全体,2020年6月第2週,すべて,-29.165500063
長野県全体,2020年6月第2週,ファミレス・ファストフード,0.243457091
長野県全体,2020年6月第2週,中華,-20.795704174
長野県全体,2020年6月第2週,和食,-27.354016634
長野県全体,2020年6月第2週,居酒屋・バー,-44.230567266
長野県全体,2020年6月第2週,洋食・西洋料理,-31.715113445
長野県全体,2020年6月第2週,肉料理,-23.523887045
長野県全体,2020年6月第2週,鍋料理,-48.926223521
長野県全体,2020年6月第3週,アジア・エスニック,-23.171679059
長野県全体,2020年6月第3週,カフェ・スイーツ,-14.379209556
長野県全体,2020年6月第3週,すべて,-17.622708894
長野県全体,2020年6月第3週,ファミレス・ファストフード,17.256317690
長野県全体,2020年6月第3週,中華,-18.003972195
長野県全体,2020年6月第3週,和食,-14.332668189
長野県全体,2020年6月第3週,居酒屋・バー,-36.829081747
長野県全体,2020年6月第3週,洋食・西洋料理,-17.387748716
長野県全体,2020年6月第3週,肉料理,-16.125950319
長野県全体,2020年6月第3週,鍋料理,-34.747231221
長野県全体,2020年6月第4週,アジア・エスニック,-8.150505854
長野県全体,2020年6月第4週,カフェ・スイーツ,-13.452718216
長野県全体,2020年6月第4週,すべて,-16.538001247
長野県全体,2020年6月第4週,ファミレス・ファストフード,-3.639728563
長野県全体,2020年6月第4週,中華,-15.729627290
長野県全体,2020年6月第4週,和食,-14.297102980
長野県全体,2020年6月第4週,居酒屋・バー,-34.904356680
長野県全体,2020年6月第4週,洋食・西洋料理,-18.556593544
長野県全体,2020年6月第4週,肉料理,-7.626279300
長野県全体,2020年6月第4週,鍋料理,-42.158172232
長野県全体,2020年7月第1週,アジア・エスニック,-17.012167643
長野県全体,2020年7月第1週,カフェ・スイーツ,-27.927377148
長野県全体,2020年7月第1週,すべて,-23.938660002
長野県全体,2020年7月第1週,ファミレス・ファストフード,17.854622442
長野県全体,2020年7月第1週,中華,-14.573920353
長野県全体,2020年7月第1週,和食,-15.647756846
長野県全体,2020年7月第1週,居酒屋・バー,-35.924695460
長野県全体,2020年7月第1週,洋食・西洋料理,-31.403956055
長野県全体,2020年7月第1週,肉料理,-14.573400008
長野県全体,2020年7月第1週,鍋料理,-33.176301501
長野県全体,2020年7月第2週,アジア・エスニック,-14.908456844
長野県全体,2020年7月第2週,カフェ・スイーツ,-27.585683816
長野県全体,2020年7月第2週,すべて,-27.282566457
長野県全体,2020年7月第2週,ファミレス・ファストフード,-4.617117117
長野県全体,2020年7月第2週,中華,-18.940517778
長野県全体,2020年7月第2週,和食,-21.836538488
長野県全体,2020年7月第2週,居酒屋・バー,-38.048699456
長野県全体,2020年7月第2週,洋食・西洋料理,-31.862369120
長野県全体,2020年7月第2週,肉料理,-22.126959686
長野県全体,2020年7月第2週,鍋料理,-33.175716901
長野県全体,2020年7月第3週,アジア・エスニック,-11.374510657
長野県全体,2020年7月第3週,カフェ・スイーツ,-20.402136766
長野県全体,2020年7月第3週,すべて,-20.403068430
長野県全体,2020年7月第3週,ファミレス・ファストフード,-2.066869301
長野県全体,2020年7月第3週,中華,-15.394750711
長野県全体,2020年7月第3週,和食,-11.980630785
長野県全体,2020年7月第3週,居酒屋・バー,-32.286170455
長野県全体,2020年7月第3週,洋食・西洋料理,-30.129773233
長野県全体,2020年7月第3週,肉料理,-18.141445760
長野県全体,2020年7月第3週,鍋料理,-33.375948861
長野県全体,2020年7月第4週,アジア・エスニック,3.513145966
長野県全体,2020年7月第4週,カフェ・スイーツ,-6.162513129
長野県全体,2020年7月第4週,すべて,-5.205683316
長野県全体,2020年7月第4週,ファミレス・ファストフード,16.093294461
長野県全体,2020年7月第4週,中華,3.337739590
長野県全体,2020年7月第4週,和食,1.229534989
長野県全体,2020年7月第4週,居酒屋・バー,-24.627487680
長野県全体,2020年7月第4週,洋食・西洋料理,-12.588796141
長野県全体,2020年7月第4週,肉料理,3.883686545
長野県全体,2020年7月第4週,鍋料理,-16
長野県全体,2020年7月第5週,アジア・エスニック,-21.478140180
長野県全体,2020年7月第5週,カフェ・スイーツ,-32.445450750
