エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
茨城県全体,2020年4月第2週,鍋料理,-42.633308062
茨城県全体,2020年4月第3週,アジア・エスニック,-41.277868794
茨城県全体,2020年4月第3週,カフェ・スイーツ,-55.781699069
茨城県全体,2020年4月第3週,すべて,-57.331941193
茨城県全体,2020年4月第3週,ファミレス・ファストフード,-6.065857886
茨城県全体,2020年4月第3週,中華,-40.823817292
茨城県全体,2020年4月第3週,和食,-57.592175609
茨城県全体,2020年4月第3週,居酒屋・バー,-69.976935534
茨城県全体,2020年4月第3週,洋食・西洋料理,-64.363660749
茨城県全体,2020年4月第3週,肉料理,-57.124794053
茨城県全体,2020年4月第3週,鍋料理,-55.677381842
茨城県全体,2020年4月第4週,アジア・エスニック,-47.884523075
茨城県全体,2020年4月第4週,カフェ・スイーツ,-61.413505337
茨城県全体,2020年4月第4週,すべて,-63.675270410
茨城県全体,2020年4月第4週,ファミレス・ファストフード,-32.786147965
茨城県全体,2020年4月第4週,中華,-37.989883779
茨城県全体,2020年4月第4週,和食,-64.492564406
茨城県全体,2020年4月第4週,居酒屋・バー,-76.402164990
茨城県全体,2020年4月第4週,洋食・西洋料理,-68.308224577
茨城県全体,2020年4月第4週,肉料理,-66.774442384
茨城県全体,2020年4月第4週,鍋料理,-63.215470393
茨城県全体,2020年4月第5週,アジア・エスニック,-60.252611882
茨城県全体,2020年4月第5週,カフェ・スイーツ,-68.672992283
茨城県全体,2020年4月第5週,すべて,-73.001530270
茨城県全体,2020年4月第5週,ファミレス・ファストフード,-50.592244037
茨城県全体,2020年4月第5週,中華,-57.224267487
茨城県全体,2020年4月第5週,和食,-76.728573637
茨城県全体,2020年4月第5週,居酒屋・バー,-77.873624676
茨城県全体,2020年4月第5週,洋食・西洋料理,-73.109542977
茨城県全体,2020年4月第5週,肉料理,-74.460609262
茨城県全体,2020年4月第5週,鍋料理,-81.253995574
茨城県全体,2020年5月第1週,アジア・エスニック,-37.576643978
茨城県全体,2020年5月第1週,カフェ・スイーツ,-40.456170406
茨城県全体,2020年5月第1週,すべて,-43.714683661
茨城県全体,2020年5月第1週,ファミレス・ファストフード,3.506423983
茨城県全体,2020年5月第1週,中華,-23.844835426
茨城県全体,2020年5月第1週,和食,-44.271051707
茨城県全体,2020年5月第1週,居酒屋・バー,-59.557230506
茨城県全体,2020年5月第1週,洋食・西洋料理,-53.513416696
茨城県全体,2020年5月第1週,肉料理,-51.532279265
茨城県全体,2020年5月第1週,鍋料理,-67.274072704
茨城県全体,2020年5月第2週,アジア・エスニック,-41.043906230
茨城県全体,2020年5月第2週,カフェ・スイーツ,-49.938694422
茨城県全体,2020年5月第2週,すべて,-50.205577033
茨城県全体,2020年5月第2週,ファミレス・ファストフード,-16.718794427
茨城県全体,2020年5月第2週,中華,-37.263308324
茨城県全体,2020年5月第2週,和食,-46.973692135
茨城県全体,2020年5月第2週,居酒屋・バー,-63.647165723
茨城県全体,2020年5月第2週,洋食・西洋料理,-58.548207265
茨城県全体,2020年5月第2週,肉料理,-52.599592296
茨城県全体,2020年5月第2週,鍋料理,-63.260933087
茨城県全体,2020年5月第3週,アジア・エスニック,-27.420934789
茨城県全体,2020年5月第3週,カフェ・スイーツ,-39.029301935
茨城県全体,2020年5月第3週,すべて,-37.451944105
茨城県全体,2020年5月第3週,ファミレス・ファストフード,-6.533575318
茨城県全体,2020年5月第3週,中華,-22.139189086
茨城県全体,2020年5月第3週,和食,-31.729561225
茨城県全体,2020年5月第3週,居酒屋・バー,-52.841425795
茨城県全体,2020年5月第3週,洋食・西洋料理,-45.885643414
茨城県全体,2020年5月第3週,肉料理,-43.541994001
茨城県全体,2020年5月第3週,鍋料理,-41.321214808
茨城県全体,2020年5月第4週,アジア・エスニック,-31.877759382
茨城県全体,2020年5月第4週,カフェ・スイーツ,-30.719081744
茨城県全体,2020年5月第4週,すべて,-31.333202275
茨城県全体,2020年5月第4週,ファミレス・ファストフード,-12.421052632
茨城県全体,2020年5月第4週,中華,-20.708615682
茨城県全体,2020年5月第4週,和食,-28.247820652
茨城県全体,2020年5月第4週,居酒屋・バー,-47.236832877
茨城県全体,2020年5月第4週,洋食・西洋料理,-33.062771281
茨城県全体,2020年5月第4週,肉料理,-31.947157695
茨城県全体,2020年5月第4週,鍋料理,-43.004265058
茨城県全体,2020年6月第1週,アジア・エスニック,-24.074835526
茨城県全体,2020年6月第1週,カフェ・スイーツ,-24.959969761
茨城県全体,2020年6月第1週,すべて,-23.639699112
茨城県全体,2020年6月第1週,ファミレス・ファストフード,-9.772382398
茨城県全体,2020年6月第1週,中華,-21.606393165
茨城県全体,2020年6月第1週,和食,-19.691530606
茨城県全体,2020年6月第1週,居酒屋・バー,-35.258117935
茨城県全体,2020年6月第1週,洋食・西洋料理,-29.663763893
茨城県全体,2020年6月第1週,肉料理,-25.255787865
茨城県全体,2020年6月第1週,鍋料理,-28.842923142
茨城県全体,2020年6月第2週,アジア・エスニック,-16.325117696
茨城県全体,2020年6月第2週,カフェ・スイーツ,-22.283590617
茨城県全体,2020年6月第2週,すべて,-19.864053879
茨城県全体,2020年6月第2週,ファミレス・ファストフード,-8.695652174
茨城県全体,2020年6月第2週,中華,-13.429847528
茨城県全体,2020年6月第2週,和食,-14.333720648
茨城県全体,2020年6月第2週,居酒屋・バー,-30.586930913
茨城県全体,2020年6月第2週,洋食・西洋料理,-25.071449308
茨城県全体,2020年6月第2週,肉料理,-19.590072758
茨城県全体,2020年6月第2週,鍋料理,-20.398256390
茨城県全体,2020年6月第3週,アジア・エスニック,-19.932292386
茨城県全体,2020年6月第3週,カフェ・スイーツ,-13.967485007
茨城県全体,2020年6月第3週,すべて,-9.965806399
茨城県全体,2020年6月第3週,ファミレス・ファストフード,-3.669451074
茨城県全体,2020年6月第3週,中華,-16.883116883
茨城県全体,2020年6月第3週,和食,-1.890231630
茨城県全体,2020年6月第3週,居酒屋・バー,-23.846208338
茨城県全体,2020年6月第3週,洋食・西洋料理,-16.223955039
茨城県全体,2020年6月第3週,肉料理,-1.703830064
茨城県全体,2020年6月第3週,鍋料理,-16.018071671
茨城県全体,2020年6月第4週,アジア・エスニック,-23.694250756
茨城県全体,2020年6月第4週,カフェ・スイーツ,-15.962067779
茨城県全体,2020年6月第4週,すべて,-12.860397526
茨城県全体,2020年6月第4週,ファミレス・ファストフード,-16.630316249
茨城県全体,2020年6月第4週,中華,-15.584367060
茨城県全体,2020年6月第4週,和食,-5.778702580
茨城県全体,2020年6月第4週,居酒屋・バー,-23.369631079
茨城県全体,2020年6月第4週,洋食・西洋料理,-18.150927649
茨城県全体,2020年6月第4週,肉料理,-14.327095323
茨城県全体,2020年6月第4週,鍋料理,-21.030756442
茨城県全体,2020年7月第1週,アジア・エスニック,-19.432555571
茨城県全体,2020年7月第1週,カフェ・スイーツ,-17.956270715
茨城県全体,2020年7月第1週,すべて,-15.234905753
茨城県全体,2020年7月第1週,ファミレス・ファストフード,-12.836185819
茨城県全体,2020年7月第1週,中華,-13.816700289
茨城県全体,2020年7月第1週,和食,-9.036448443
茨城県全体,2020年7月第1週,居酒屋・バー,-22.745516810
茨城県全体,2020年7月第1週,洋食・西洋料理,-20.731327354
茨城県全体,2020年7月第1週,肉料理,-9.437431058
茨城県全体,2020年7月第1週,鍋料理,-19.133970766
茨城県全体,2020年7月第2週,アジア・エスニック,-17.245134068
茨城県全体,2020年7月第2週,カフェ・スイーツ,-16.041943369
茨城県全体,2020年7月第2週,すべて,-15.848076573
茨城県全体,2020年7月第2週,ファミレス・ファストフード,-16.062903679
茨城県全体,2020年7月第2週,中華,-12.126365114
茨城県全体,2020年7月第2週,和食,-12.322950034
茨城県全体,2020年7月第2週,居酒屋・バー,-26.065874987
茨城県全体,2020年7月第2週,洋食・西洋料理,-16.318675906
茨城県全体,2020年7月第2週,肉料理,-12.621431914
茨城県全体,2020年7月第2週,鍋料理,-9.569926065
茨城県全体,2020年7月第3週,アジア・エスニック,-13.672844010
茨城県全体,2020年7月第3週,カフェ・スイーツ,-9.764637015
茨城県全体,2020年7月第3週,すべて,-8.898517055
茨城県全体,2020年7月第3週,ファミレス・ファストフード,-17.211703959
茨城県全体,2020年7月第3週,中華,-11.938107518
茨城県全体,2020年7月第3週,和食,-3.636761616
茨城県全体,2020年7月第3週,居酒屋・バー,-18.922100226
茨城県全体,2020年7月第3週,洋食・西洋料理,-13.480702643
茨城県全体,2020年7月第3週,肉料理,-1.937320718
茨城県全体,2020年7月第3週,鍋料理,1.216200260
茨城県全体,2020年7月第4週,アジア・エスニック,-3.298665011
茨城県全体,2020年7月第4週,カフェ・スイーツ,6.632242648
茨城県全体,2020年7月第4週,すべて,7.964601770
茨城県全体,2020年7月第4週,ファミレス・ファストフード,6.058770070
茨城県全体,2020年7月第4週,中華,5.277642150
茨城県全体,2020年7月第4週,和食,14.977667750
茨城県全体,2020年7月第4週,居酒屋・バー,-16.180204257
茨城県全体,2020年7月第4週,洋食・西洋料理,1.092532555
茨城県全体,2020年7月第4週,肉料理,13.163694650
茨城県全体,2020年7月第4週,鍋料理,16.700248904
茨城県全体,2020年7月第5週,アジア・エスニック,-11.242651204
茨城県全体,2020年7月第5週,カフェ・スイーツ,-12.759489024
茨城県全体,2020年7月第5週,すべて,-17.086096216
茨城県全体,2020年7月第5週,ファミレス・ファストフード,-24.566391811
茨城県全体,2020年7月第5週,中華,-3.641854681
茨城県全体,2020年7月第5週,和食,-16.832879495
茨城県全体,2020年7月第5週,居酒屋・バー,-34.078125
茨城県全体,2020年7月第5週,洋食・西洋料理,-18.416603464
