エリア,期間(週次),飲食店のジャンル,2019年同週比[%]
山梨県全体,2020年4月第5週,ファミレス・ファストフード,-51.4
山梨県全体,2020年4月第5週,中華,-58.370675748
山梨県全体,2020年4月第5週,和食,-84.730895538
山梨県全体,2020年4月第5週,居酒屋・バー,-87.256963373
山梨県全体,2020年4月第5週,洋食・西洋料理,-87.016551609
山梨県全体,2020年4月第5週,肉料理,-87.223017322
山梨県全体,2020年4月第5週,鍋料理,-81.900668577
山梨県全体,2020年5月第1週,アジア・エスニック,-55.770405048
山梨県全体,2020年5月第1週,カフェ・スイーツ,-64.619903169
山梨県全体,2020年5月第1週,すべて,-61.918842449
山梨県全体,2020年5月第1週,ファミレス・ファストフード,-13.787085515
山梨県全体,2020年5月第1週,中華,-19.747607821
山梨県全体,2020年5月第1週,和食,-56.905453482
山梨県全体,2020年5月第1週,居酒屋・バー,-72.041763341
山梨県全体,2020年5月第1週,洋食・西洋料理,-69.154610103
山梨県全体,2020年5月第1週,肉料理,-66.409021123
山梨県全体,2020年5月第1週,鍋料理,-58.832046332
山梨県全体,2020年5月第2週,アジア・エスニック,-55.265034466
山梨県全体,2020年5月第2週,カフェ・スイーツ,-68.601181701
山梨県全体,2020年5月第2週,すべて,-66.157092603
山梨県全体,2020年5月第2週,ファミレス・ファストフード,-23.920863309
山梨県全体,2020年5月第2週,中華,-30.146851172
山梨県全体,2020年5月第2週,和食,-60.996171299
山梨県全体,2020年5月第2週,居酒屋・バー,-75.364314910
山梨県全体,2020年5月第2週,洋食・西洋料理,-71.997111203
山梨県全体,2020年5月第2週,肉料理,-68.211140692
山梨県全体,2020年5月第2週,鍋料理,-69.857080987
山梨県全体,2020年5月第3週,アジア・エスニック,-53.452620968
山梨県全体,2020年5月第3週,カフェ・スイーツ,-63.033637109
山梨県全体,2020年5月第3週,すべて,-58.548025202
山梨県全体,2020年5月第3週,ファミレス・ファストフード,8.585858586
山梨県全体,2020年5月第3週,中華,-11.165127208
山梨県全体,2020年5月第3週,和食,-51.168342985
山梨県全体,2020年5月第3週,居酒屋・バー,-69.379464911
山梨県全体,2020年5月第3週,洋食・西洋料理,-63.527802954
山梨県全体,2020年5月第3週,肉料理,-59.076089682
山梨県全体,2020年5月第3週,鍋料理,-48.574144487
山梨県全体,2020年5月第4週,アジア・エスニック,-42.310735954
山梨県全体,2020年5月第4週,カフェ・スイーツ,-54.291278514
山梨県全体,2020年5月第4週,すべて,-52.301211352
山梨県全体,2020年5月第4週,ファミレス・ファストフード,-3.828828829
山梨県全体,2020年5月第4週,中華,-19.084641338
山梨県全体,2020年5月第4週,和食,-47.479046909
山梨県全体,2020年5月第4週,居酒屋・バー,-59.718114603
山梨県全体,2020年5月第4週,洋食・西洋料理,-57.238919520
山梨県全体,2020年5月第4週,肉料理,-52.055081418
山梨県全体,2020年5月第4週,鍋料理,-38.383371824
山梨県全体,2020年6月第1週,アジア・エスニック,-35.651738804
山梨県全体,2020年6月第1週,カフェ・スイーツ,-50.199155100
山梨県全体,2020年6月第1週,すべて,-47.224102406
山梨県全体,2020年6月第1週,ファミレス・ファストフード,17.794486216
山梨県全体,2020年6月第1週,中華,-5.365642579
山梨県全体,2020年6月第1週,和食,-44.294741276
山梨県全体,2020年6月第1週,居酒屋・バー,-56.042221120
山梨県全体,2020年6月第1週,洋食・西洋料理,-49.381270631
山梨県全体,2020年6月第1週,肉料理,-44.406813931
山梨県全体,2020年6月第1週,鍋料理,-32.886776145
山梨県全体,2020年6月第2週,アジア・エスニック,-33.072407045
山梨県全体,2020年6月第2週,カフェ・スイーツ,-41.246189458
山梨県全体,2020年6月第2週,すべて,-39.612825631
山梨県全体,2020年6月第2週,ファミレス・ファストフード,11.633663366
山梨県全体,2020年6月第2週,中華,-6.253804017
山梨県全体,2020年6月第2週,和食,-36.448744287
山梨県全体,2020年6月第2週,居酒屋・バー,-51.895534962
山梨県全体,2020年6月第2週,洋食・西洋料理,-42.181052772
山梨県全体,2020年6月第2週,肉料理,-37.867518594
山梨県全体,2020年6月第2週,鍋料理,-44.603434178
山梨県全体,2020年6月第3週,アジア・エスニック,-31.784294235
山梨県全体,2020年6月第3週,カフェ・スイーツ,-23.962882096
山梨県全体,2020年6月第3週,すべて,-22.876750232
山梨県全体,2020年6月第3週,ファミレス・ファストフード,7.524752475
山梨県全体,2020年6月第3週,中華,0.096571704
山梨県全体,2020年6月第3週,和食,-16.541549758
山梨県全体,2020年6月第3週,居酒屋・バー,-41.555869873
山梨県全体,2020年6月第3週,洋食・西洋料理,-27.907860858
山梨県全体,2020年6月第3週,肉料理,-26.186449110
山梨県全体,2020年6月第3週,鍋料理,-22.061328790
山梨県全体,2020年6月第4週,アジア・エスニック,-12.607848594
山梨県全体,2020年6月第4週,カフェ・スイーツ,-22.779031258
山梨県全体,2020年6月第4週,すべて,-17.985407861
山梨県全体,2020年6月第4週,ファミレス・ファストフード,23.684210526
山梨県全体,2020年6月第4週,中華,-0.509114797
山梨県全体,2020年6月第4週,和食,-9.072514007
山梨県全体,2020年6月第4週,居酒屋・バー,-38.334770528
山梨県全体,2020年6月第4週,洋食・西洋料理,-22.534498952
山梨県全体,2020年6月第4週,肉料理,-20.766129032
山梨県全体,2020年6月第4週,鍋料理,-17.482817869
山梨県全体,2020年7月第1週,アジア・エスニック,-26.273885350
山梨県全体,2020年7月第1週,カフェ・スイーツ,-26.403908713
山梨県全体,2020年7月第1週,すべて,-23.148581166
山梨県全体,2020年7月第1週,ファミレス・ファストフード,-19.480519481
山梨県全体,2020年7月第1週,中華,-0.669456067
山梨県全体,2020年7月第1週,和食,-17.133111772
山梨県全体,2020年7月第1週,居酒屋・バー,-33.988696198
山梨県全体,2020年7月第1週,洋食・西洋料理,-22.288537478
山梨県全体,2020年7月第1週,肉料理,-26.363046840
山梨県全体,2020年7月第1週,鍋料理,-30.760626398
山梨県全体,2020年7月第2週,アジア・エスニック,-29.229741763
山梨県全体,2020年7月第2週,カフェ・スイーツ,-38.689434623
山梨県全体,2020年7月第2週,すべて,-33.848525847
山梨県全体,2020年7月第2週,ファミレス・ファストフード,3.050108932
山梨県全体,2020年7月第2週,中華,0.092980009
山梨県全体,2020年7月第2週,和食,-29.432885709
山梨県全体,2020年7月第2週,居酒屋・バー,-42.157235093
山梨県全体,2020年7月第2週,洋食・西洋料理,-33.521093180
山梨県全体,2020年7月第2週,肉料理,-33.434003998
山梨県全体,2020年7月第2週,鍋料理,-32.623877619
山梨県全体,2020年7月第3週,アジア・エスニック,-8.104469575
山梨県全体,2020年7月第3週,カフェ・スイーツ,5.757518399
山梨県全体,2020年7月第3週,すべて,-7.851154688
山梨県全体,2020年7月第3週,ファミレス・ファストフード,1.089324619
山梨県全体,2020年7月第3週,中華,-5.453725962
山梨県全体,2020年7月第3週,和食,1.391880118
山梨県全体,2020年7月第3週,居酒屋・バー,-31.038606899
山梨県全体,2020年7月第3週,洋食・西洋料理,-18.019259425
山梨県全体,2020年7月第3週,肉料理,-21.794625720
山梨県全体,2020年7月第3週,鍋料理,-27.832110839
山梨県全体,2020年7月第4週,アジア・エスニック,-11.681070532
山梨県全体,2020年7月第4週,カフェ・スイーツ,-5.732065857
山梨県全体,2020年7月第4週,すべて,-3.176500474
山梨県全体,2020年7月第4週,ファミレス・ファストフード,5.967450271
山梨県全体,2020年7月第4週,中華,18.662544745
山梨県全体,2020年7月第4週,和食,7.571660708
山梨県全体,2020年7月第4週,居酒屋・バー,-22.592438336
山梨県全体,2020年7月第4週,洋食・西洋料理,-9.527713751
山梨県全体,2020年7月第4週,肉料理,-7.438812873
山梨県全体,2020年7月第4週,鍋料理,-0.635497049
