week,week_JP,weeknum,pref,newcase_day,newdeath_day,emergency,GZnew,cumGZ,newcaseday14,resview,in_city,in_pref,out_pref,treat,avg_temp,avg_rain,infectious_l1,infectious_l2,sum_pop,pop_resid,tests,newcase_lead1,newcase_lead2,tests_lead1,tests_lead2,cumcases,susceptible,sales_per,customers_per
2020-07-27,2020年7月第5週,31,Ibaraki,80,0,0,0,0,83,-17.086096216,4.900651424,-4.155207125,-24.152377956,Neighboring_prefs,73.65714285714286,3.7857142857142856,108.71061838326207,168.07485329711383,2884234,2860000,777,75,55,1075,801,322,2859678,584064.2906976744,228.2906976744186
2020-07-27,2020年7月第5週,31,Nagano,25,0,0,0,0,27,-33.303080973,4.320158621,-4.97272329,-52.770891229,Neighboring_prefs,75.64357142857142,5.928571428571429,47.71592216217446,56.870663830476296,2129845,2049000,1968,14,17,1711,1155,117,2048883,524390.8529411765,280.29411764705884
2020-07-27,2020年7月第5週,31,Shizuoka,121,0,0,0,0,109,-33.047424169,5.040958819,-6.274441814,-49.580277484,Neighboring_prefs,78.7657142857143,2.9761904761904763,220.34097605334705,207.43301036536596,3736658,3644000,2851,57,53,2979,2705,307,3643693,412475.4482758621,193.89655172413794
2020-07-27,2020年7月第5週,31,Tochigi,36,0,0,0,0,35,-26.733412644,4.68936697,-5.413205805,-33.23962311,Neighboring_prefs,75.07142857142858,4.857142857142857,75.49408927318633,94.7298751570671,1980791,1934000,2307,47,30,2221,1758,199,1933801,665939.3620689656,335.98275862068965
2020-07-27,2020年7月第5週,31,Yamanashi,17,0,0,21,26,19,-36.372401448,5.628480345,-5.994129928,-52.307178997,Yamanashi,74.39,4.857142857142857,34.62886178044564,55.180999718212206,851215,811000,467,27,10,727,515,103,810897,608767.2222222222,282
2020-08-03,2020年8月第1週,32,Gunma,34,0,0,0,0,40,-16.564180796,4.754430863,0.787348596,-29.42287844,Neighboring_prefs,84.40571428571428,0,60.20472115751772,116.00382556863346,1994398,1942000,673,72,82,851,1231,226,1941774,590536.5,164.93
2020-08-03,2020年8月第1週,32,Ibaraki,75,0,0,0,0,76,-16.395496794,5.687149042,-4.388931644,-32.794490541,Neighboring_prefs,79.98285714285714,0,168.58934262085108,144.1726170727363,2881062,2860000,1075,55,51,801,711,397,2859603,618279.9418604651,241.38372093023256
2020-08-03,2020年8月第1週,32,Nagano,14,0,0,0,0,13,-31.180464923,5.937637452,-5.150900377,-50.564690032,Neighboring_prefs,79.81571428571428,0.8214285714285714,58.1267536558456,49.68430113608305,2178406,2049000,1711,17,24,1155,1443,131,2048869,606982.6764705882,317.80882352941177
2020-08-03,2020年8月第1週,32,Shizuoka,57,0,0,0,0,61,-27.443547627,6.574880931,-6.053397281,-47.823654603,Neighboring_prefs,82.96571428571428,0.30952380952380953,206.16335018194508,138.28003037205588,3773321,3644000,2979,53,24,2705,3286,364,3643636,455402.2844827586,222.92241379310346
2020-08-03,2020年8月第1週,32,Tochigi,47,0,0,0,0,47,-16.030047022,5.372983665,-4.108774276,-35.272603058,Neighboring_prefs,81.91142857142859,0,94.4142979116166,88.72724339992911,1986576,1934000,2221,30,13,1758,1834,246,1933754,690032,365.58620689655174
2020-08-03,2020年8月第1週,32,Yamanashi,27,0,0,35,61,25,-22.559349273,6.003931799,-3.984337048,-41.578277571,Yamanashi,79.28857142857143,0.25,55.82702339333235,48.7673668509622,882321,811000,727,10,27,515,480,130,810870,715800.8888888889,329.3888888888889
2020-08-10,2020年8月第2週,33,Gunma,72,0,0,0,0,73,-39.872590744,7.448239265,-0.538924094,-37.655834943,Neighboring_prefs,88.16,3.928571428571429,115.56057958493108,159.31033799624944,2003490,1942000,851,82,57,1231,1560,298,1941702,643352.85,181.66
2020-08-10,2020年8月第2週,33,Ibaraki,55,0,0,0,0,53,-35.787828431,8.141017138,-7.110841069,-41.737267566,Neighboring_prefs,83.61714285714285,2.047619047619048,143.8120096757771,117.93487661644762,2873740,2860000,801,51,41,711,746,452,2859548,782320.8139534884,306.3837209302326
2020-08-10,2020年8月第2週,33,Nagano,17,0,0,0,0,17,-45.105106296,7.153520593,-6.024923304,-51.971270342,Neighboring_prefs,82.66357142857143,0.01785714285714285,48.13845900753343,55.40081360477997,2258628,2049000,1155,24,77,1443,1877,148,2048852,814675.2941176471,407.9117647058824
2020-08-10,2020年8月第2週,33,Shizuoka,53,0,0,0,0,48,-42.252078357,8.388119094,-3.447950344,-47.797772532,Neighboring_prefs,87.45714285714286,0,136.3798475002723,98.94290080560842,3790417,3644000,2705,24,39,3286,3223,417,3643583,679702.2586206896,319.5258620689655
2020-08-10,2020年8月第2週,33,Tochigi,30,1,0,0,0,28,-40.051600111,8.883284582,-6.857068605,-40.789172979,Neighboring_prefs,85.31857142857143,3.0357142857142856,87.80757809107592,54.073136603414135,2012398,1934000,1758,13,14,1834,1996,276,1933724,993765.2413793104,504.51724137931035
2020-08-10,2020年8月第2週,33,Yamanashi,10,0,0,22,83,10,-37.986699093,6.848601351,-4.328390526,-38.565830278,Yamanashi,82.78571428571429,0.03571428571428571,48.67102083435588,46.77255212750833,917528,811000,515,27,6,480,379,140,810860,986550.6666666666,429.6111111111111
2020-08-17,2020年8月第3週,34,Gunma,82,0,0,0,0,77,-20.18090923,4.352470277,-4.369494379,-26.335905785,Neighboring_prefs,86.27,1.1785714285714286,161.98736551400657,146.57449860389616,1980373,1942000,1231,57,45,1560,970,380,1941620,438542.82,136.64
2020-08-17,2020年8月第3週,34,Ibaraki,51,1,0,0,0,51,-12.84695574,5.530801501,-5.971883817,-23.634141275,Neighboring_prefs,81.47428571428571,4,119.58184975000778,104.4466418496508,2875530,2860000,711,41,39,746,528,503,2859497,605601.4302325582,246.88372093023256
2020-08-17,2020年8月第3週,34,Nagano,24,0,0,0,0,34,-26.9451984,4.26310655,-8.21197287,-45.412673304,Neighboring_prefs,80.09857142857143,2.6607142857142856,65.40863863166211,120.5082569829874,2140689,2049000,1443,77,38,1877,2063,172,2048828,587238.0735294118,305.27941176470586
2020-08-17,2020年8月第3週,34,Shizuoka,24,0,0,0,0,28,-23.210408845,5.685251477,-7.457676415,-42.332827544,Neighboring_prefs,85.05714285714288,4.8809523809523805,107.37224444802496,88.76039506930967,3753123,3644000,3286,39,14,3223,2224,441,3643559,441534.0948275862,227.01724137931035
2020-08-17,2020年8月第3週,34,Tochigi,13,0,0,0,0,12,-18.667717161,5.331268463,-10.134202405,-27.864873584,Neighboring_prefs,83.80142857142857,0.8214285714285714,58.20321207235576,41.365572409442954,1987332,1934000,1834,14,7,1996,1821,289,1933711,664443,369.5
2020-08-17,2020年8月第3週,34,Yamanashi,27,0,0,28,111,26,-21.338648401,5.212771199,-7.972464608,-32.926172421,Yamanashi,80.42,3.5,52.0922660003369,46.7188463222095,871057,811000,480,6,3,379,279,167,810833,660192.5555555555,300.77777777777777
2020-08-24,2020年8月第4週,35,Gunma,57,0,0,0,0,56,-9.799688769,3.460456283,-2.900973016,-19.895994805,Neighboring_prefs,85.25428571428571,0.42857142857142855,145.8930924109192,108.59253975887712,1979358,1942000,1560,45,65,970,1254,437,1941563,458595.32,147.14
2020-08-24,2020年8月第4週,35,Ibaraki,41,2,0,0,0,38,-13.691556217,4.715425646,-3.996400284,-18.584776348,Neighboring_prefs,81.93714285714286,0,104.14682803941352,89.65083418859899,2869012,2860000,746,39,29,528,484,544,2859456,627461.22093023255,247.2093023255814
2020-08-24,2020年8月第4週,35,Nagano,77,0,0,0,0,73,-25.202397381,4.286396694,-8.267498189,-35.47435297,Neighboring_prefs,80.90857142857143,4.053571428571429,120.79636121716742,129.9041479825009,2140545,2049000,1877,38,9,2063,972,249,2048751,561090.5,293.86764705882354
2020-08-24,2020年8月第4週,35,Shizuoka,39,0,0,0,0,34,-18.865488076,4.093544971,-6.175196049,-37.261867463,Neighboring_prefs,83.66857142857143,1.1666666666666663,88.9442115301594,73.78920098062288,3744544,3644000,3223,14,10,2224,2088,480,3643520,460720.5172413793,232.58620689655172
2020-08-24,2020年8月第4週,35,Tochigi,14,0,0,0,0,14,-13.185701817,4.143055139,-7.768515877,-24.87033106,Neighboring_prefs,83.78857142857143,0.03571428571428571,41.29210120601298,32.863427886087145,1985525,1934000,1996,7,28,1821,1692,303,1933697,706431.7413793104,379.7931034482759
2020-08-24,2020年8月第4週,35,Yamanashi,6,2,0,15,126,5,-17.232230438,3.882468526,-7.239660379,-38.869355493,Yamanashi,78.72285714285715,1.0714285714285714,46.20645630765354,20.96854988196555,857197,811000,379,3,3,279,257,173,810827,691681.8888888889,308.1111111111111
