date,pref,sales,customers,avg_temp,avg_rain,newcase_day,total_case,newdeath_day,total_death,emergency,GZnew,cumGZ,newcaseday14,lsales,lcustomers,sales_per,customers_per,dummy_school_closure,dummy_gathering_restriction
2019-01-09,Yamanashi,1233358,465,34.160000000000004,0,0,0,0,0,0,0,0,0,14.025251088746346,6.142037405587356,68519.88888888889,25.833333333333332,0,0
2019-01-09,Nagano,3643771,2287,30.62,0.8333333333333334,0,0,0,0,0,0,0,0,15.108529692357642,7.734996194022781,53584.867647058825,33.63235294117647,0,0
2019-01-09,Shizuoka,7859206,3720,43.519999999999996,0,0,0,0,0,0,0,0,0,15.877196141491043,8.221478947267192,67751.77586206897,32.06896551724138,0,0
2019-01-10,Ibaraki,8266690,4113,33.56,0,0,0,0,0,0,0,0,0,15.927744745043762,8.321907968230423,96124.30232558139,47.825581395348834,0,0
2019-01-10,Tochigi,5087221,2745,30.65,0,0,0,0,0,0,0,0,0,15.442242266934363,7.917536353943631,87710.70689655172,47.327586206896555,0,0
2019-01-10,Gunma,7475128,2285,34.79,0,0,0,0,0,0,0,0,0,15.827091800840234,7.734121303328305,74751.28,22.85,0,0
2019-01-10,Yamanashi,1520956,588,31.64,0,0,0,0,0,0,0,0,0,14.234849642486378,6.376726947898627,84497.55555555556,32.666666666666664,0,0
2019-01-10,Nagano,3727559,2349,25.52,0,0,0,0,0,0,0,0,0,15.131264153798917,7.761744984658913,54817.044117647056,34.544117647058826,0,0
2019-01-10,Shizuoka,7952010,3685,40.519999999999996,0,0,0,0,0,0,0,0,0,15.888935284863027,8.212025804623437,68551.81034482758,31.767241379310345,0,0
2019-01-11,Ibaraki,13737267,4621,40.4,0,0,0,0,0,0,0,0,0,16.435622916676657,8.438366410870266,159735.66279069768,53.73255813953488,0,0
2019-01-11,Tochigi,9772172,4072,37.58,0,0,0,0,0,0,0,0,0,16.095049312514732,8.311889558230359,168485.72413793104,70.20689655172414,0,0
2019-01-11,Gunma,14119189,3553,42.26,0,0,0,0,0,0,0,0,0,16.46304535211922,8.175547596021026,141191.89,35.53,0,0
2019-01-11,Yamanashi,2166001,736,39.92,0,0,0,0,0,0,0,0,0,14.588393168223483,6.601230118728877,120333.38888888889,40.888888888888886,0,0
