Date_approval,city,N
2020-10-09,道志村,1
2020-10-09,小菅村,0
2020-10-09,西桂町,0
2020-10-09,丹波山村,0
2020-10-16,甲府市,26
2020-10-16,富士河口湖町,22
2020-10-16,韮崎市,1
2020-10-16,北杜市,6
2020-10-16,富士吉田市,9
2020-10-16,南アルプス市,9
2020-10-16,上野原市,4
2020-10-16,鳴沢村,0
2020-10-16,昭和町,3
2020-10-16,都留市,9
2020-10-16,笛吹市,4
2020-10-16,市川三郷町,1
2020-10-16,山中湖村,1
2020-10-16,甲州市,4
2020-10-16,身延町,1
2020-10-16,大月市,0
2020-10-16,山梨市,3
2020-10-16,中央市,2
2020-10-16,富士川町,0
2020-10-16,甲斐市,7
2020-10-16,忍野村,4
2020-10-16,早川町,0
2020-10-16,南部町,0
2020-10-16,道志村,0
2020-10-16,小菅村,0
2020-10-16,西桂町,0
2020-10-16,丹波山村,0
2020-10-23,甲府市,35
2020-10-23,富士河口湖町,13
2020-10-23,韮崎市,4
2020-10-23,北杜市,15
2020-10-23,富士吉田市,10
2020-10-23,南アルプス市,10
2020-10-23,上野原市,3
2020-10-23,鳴沢村,0
2020-10-23,昭和町,10
2020-10-23,都留市,2
2020-10-23,笛吹市,9
2020-10-23,市川三郷町,4
2020-10-23,山中湖村,1
2020-10-23,甲州市,4
2020-10-23,身延町,4
2020-10-23,大月市,1
2020-10-23,山梨市,4
2020-10-23,中央市,3
2020-10-23,富士川町,0
2020-10-23,中央市,5
2020-10-23,忍野村,2
2020-10-23,早川町,0
2020-10-23,南部町,2
2020-10-23,道志村,0
2020-10-23,小菅村,1
2020-10-23,西桂町,1
2020-10-23,丹波山村,0
2020-10-30,甲府市,20
2020-10-30,富士河口湖町,8
2020-10-30,韮崎市,2
2020-10-30,北杜市,12
2020-10-30,富士吉田市,6
2020-10-30,南アルプス市,3
2020-10-30,上野原市,0
2020-10-30,鳴沢村,1
2020-10-30,昭和町,8
2020-10-30,都留市,3
2020-10-30,笛吹市,12
2020-10-30,市川三郷町,1
2020-10-30,山中湖村,7
2020-10-30,甲州市,4
2020-10-30,身延町,1
2020-10-30,大月市,0
2020-10-30,山梨市,4
2020-10-30,中央市,4
2020-10-30,富士川町,1
2020-10-30,甲斐市,3
2020-10-30,忍野村,2
2020-10-30,早川町,2
2020-10-30,南部町,0
2020-10-30,道志村,0
2020-10-30,小菅村,0
2020-10-30,西桂町,0
2020-10-30,丹波山村,0
2020-11-06,甲府市,40
2020-11-06,富士河口湖町,9
2020-11-06,韮崎市,0
