"","Date_approval","city","sum"
"263","2020-09-25","道志村",0
"264","2020-09-25","西桂町",0
"265","2020-09-25","忍野村",4
"266","2020-09-25","山中湖村",16
"267","2020-09-25","鳴沢村",1
"268","2020-09-25","富士河口湖町",11
"269","2020-09-25","小菅村",0
"270","2020-09-25","丹波山村",0
"271","2020-10-02","甲府市",28
"272","2020-10-02","富士吉田市",19
"273","2020-10-02","都留市",1
"274","2020-10-02","山梨市",2
"275","2020-10-02","大月市",1
"276","2020-10-02","韮崎市",2
"277","2020-10-02","南アルプス市",2
"278","2020-10-02","北杜市",25
"279","2020-10-02","甲斐市",8
"280","2020-10-02","笛吹市",12
"281","2020-10-02","上野原市",2
"282","2020-10-02","甲州市",5
"283","2020-10-02","中央市",3
"284","2020-10-02","市川三郷町",0
"285","2020-10-02","早川町",1
"286","2020-10-02","身延町",0
"287","2020-10-02","南部町",1
"288","2020-10-02","富士川町",0
"289","2020-10-02","昭和町",0
"290","2020-10-02","道志村",0
"291","2020-10-02","西桂町",0
"292","2020-10-02","忍野村",4
"293","2020-10-02","山中湖村",18
"294","2020-10-02","鳴沢村",0
"295","2020-10-02","富士河口湖町",36
"296","2020-10-02","小菅村",0
"297","2020-10-02","丹波山村",0
"298","2020-10-09","甲府市",23
"299","2020-10-09","富士吉田市",16
"300","2020-10-09","都留市",1
"301","2020-10-09","山梨市",3
"302","2020-10-09","大月市",0
"303","2020-10-09","韮崎市",2
"304","2020-10-09","南アルプス市",3
"305","2020-10-09","北杜市",12
"306","2020-10-09","甲斐市",3
"307","2020-10-09","笛吹市",12
"308","2020-10-09","上野原市",0
"309","2020-10-09","甲州市",9
"310","2020-10-09","中央市",1
"311","2020-10-09","市川三郷町",1
"312","2020-10-09","早川町",0
"313","2020-10-09","身延町",2
"314","2020-10-09","南部町",0
"315","2020-10-09","富士川町",5
"316","2020-10-09","昭和町",5
"317","2020-10-09","道志村",1
"318","2020-10-09","西桂町",0
"319","2020-10-09","忍野村",6
"320","2020-10-09","山中湖村",23
"321","2020-10-09","鳴沢村",2
"322","2020-10-09","富士河口湖町",22
"323","2020-10-09","小菅村",0
"324","2020-10-09","丹波山村",0
"325","2020-10-16","甲府市",27
"326","2020-10-16","富士吉田市",14
"327","2020-10-16","都留市",11
"328","2020-10-16","山梨市",3
"329","2020-10-16","大月市",0
"330","2020-10-16","韮崎市",1
"331","2020-10-16","南アルプス市",11
"332","2020-10-16","北杜市",9
"333","2020-10-16","甲斐市",7
"334","2020-10-16","笛吹市",4
"335","2020-10-16","上野原市",4
"336","2020-10-16","甲州市",4
"337","2020-10-16","中央市",2
"338","2020-10-16","市川三郷町",1
"339","2020-10-16","早川町",0
"340","2020-10-16","身延町",4
"341","2020-10-16","南部町",0
"342","2020-10-16","富士川町",0
"343","2020-10-16","昭和町",3
"344","2020-10-16","道志村",0
"345","2020-10-16","西桂町",0
"346","2020-10-16","忍野村",5
"347","2020-10-16","山中湖村",11
"348","2020-10-16","鳴沢村",0
"349","2020-10-16","富士河口湖町",32
"350","2020-10-16","小菅村",0
"351","2020-10-16","丹波山村",0
"352","2020-10-23","甲府市",37
"353","2020-10-23","富士吉田市",12
