代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
群馬県全体,すべての時間帯,2020年10月第1週,都道府県内,-0.355963162
群馬県全体,すべての時間帯,2020年10月第1週,都道府県外,-7.562359446
群馬県全体,すべての時間帯,2020年10月第2週,市区町村内,1.233645349
群馬県全体,すべての時間帯,2020年10月第2週,都道府県内,2.821222349
群馬県全体,すべての時間帯,2020年10月第2週,都道府県外,-4.907878851
群馬県全体,すべての時間帯,2020年10月第3週,市区町村内,2.084294550
群馬県全体,すべての時間帯,2020年10月第3週,都道府県内,3.470224907
群馬県全体,すべての時間帯,2020年10月第3週,都道府県外,-7.796261661
群馬県全体,すべての時間帯,2020年10月第4週,市区町村内,1.913938996
群馬県全体,すべての時間帯,2020年10月第4週,都道府県内,6.582333358
群馬県全体,すべての時間帯,2020年10月第4週,都道府県外,-6.231817422
群馬県全体,すべての時間帯,2020年10月第5週,市区町村内,3.206005395
群馬県全体,すべての時間帯,2020年10月第5週,都道府県内,-1.117843037
群馬県全体,すべての時間帯,2020年10月第5週,都道府県外,-14.139155881
群馬県全体,すべての時間帯,2020年11月第1週,市区町村内,2.695370845
群馬県全体,すべての時間帯,2020年11月第1週,都道府県内,-0.695369280
群馬県全体,すべての時間帯,2020年11月第1週,都道府県外,-11.219655611
群馬県全体,すべての時間帯,2020年11月第2週,市区町村内,2.249438531
群馬県全体,すべての時間帯,2020年11月第2週,都道府県内,0.269634333
群馬県全体,すべての時間帯,2020年11月第2週,都道府県外,-6.920653108
群馬県全体,すべての時間帯,2020年11月第3週,市区町村内,1.618095720
群馬県全体,すべての時間帯,2020年11月第3週,都道府県内,2.072153338
群馬県全体,すべての時間帯,2020年11月第3週,都道府県外,-1.716604539
群馬県全体,すべての時間帯,2020年11月第4週,市区町村内,3.601700652
群馬県全体,すべての時間帯,2020年11月第4週,都道府県内,-6.998680692
群馬県全体,すべての時間帯,2020年11月第4週,都道府県外,-6.687357524
群馬県全体,すべての時間帯,2020年12月第1週,市区町村内,2.922681882
群馬県全体,すべての時間帯,2020年12月第1週,都道府県内,-2.666061593
群馬県全体,すべての時間帯,2020年12月第1週,都道府県外,-13.950586054
群馬県全体,すべての時間帯,2020年12月第2週,市区町村内,3.246608336
群馬県全体,すべての時間帯,2020年12月第2週,都道府県内,-3.478165457
群馬県全体,すべての時間帯,2020年12月第2週,都道府県外,-14.167094020
群馬県全体,すべての時間帯,2020年12月第3週,市区町村内,3.781963808
群馬県全体,すべての時間帯,2020年12月第3週,都道府県内,-4.260213516
群馬県全体,すべての時間帯,2020年12月第3週,都道府県外,-15.999070135
群馬県全体,すべての時間帯,2020年12月第4週,市区町村内,4.511786757
群馬県全体,すべての時間帯,2020年12月第4週,都道府県内,-3.128512443
群馬県全体,すべての時間帯,2020年12月第4週,都道府県外,-24.559782502
群馬県全体,すべての時間帯,2020年12月第5週,市区町村内,6.774151243
群馬県全体,すべての時間帯,2020年12月第5週,都道府県内,-3.253032338
群馬県全体,すべての時間帯,2020年12月第5週,都道府県外,-42.019109576
群馬県全体,すべての時間帯,2021年1月第1週,市区町村内,3.435860289
群馬県全体,すべての時間帯,2021年1月第1週,都道府県内,23.905167791
群馬県全体,すべての時間帯,2021年1月第1週,都道府県外,-61.964598011
群馬県全体,すべての時間帯,2021年1月第2週,市区町村内,6.761979889
群馬県全体,すべての時間帯,2021年1月第2週,都道府県内,-10.922189695
群馬県全体,すべての時間帯,2021年1月第2週,都道府県外,-34.023157512
群馬県全体,すべての時間帯,2021年1月第3週,市区町村内,5.283819870
群馬県全体,すべての時間帯,2021年1月第3週,都道府県内,-0.297789345
群馬県全体,すべての時間帯,2021年1月第3週,都道府県外,-35.001424737
群馬県全体,すべての時間帯,2021年1月第4週,市区町村内,5.714469020
群馬県全体,すべての時間帯,2021年1月第4週,都道府県内,-2.603901620
群馬県全体,すべての時間帯,2021年1月第4週,都道府県外,-31.647048124
群馬県全体,すべての時間帯,2021年2月第1週,市区町村内,4.955463228
群馬県全体,すべての時間帯,2021年2月第1週,都道府県内,-4.087574859
群馬県全体,すべての時間帯,2021年2月第1週,都道府県外,-28.460695551
群馬県全体,すべての時間帯,2021年2月第2週,市区町村内,5.651893318
群馬県全体,すべての時間帯,2021年2月第2週,都道府県内,-8.037942387
群馬県全体,すべての時間帯,2021年2月第2週,都道府県外,-30.348315545
群馬県全体,すべての時間帯,2021年2月第3週,市区町村内,4.004465504
群馬県全体,すべての時間帯,2021年2月第3週,都道府県内,0.627851882
群馬県全体,すべての時間帯,2021年2月第3週,都道府県外,-28.406122688
群馬県全体,すべての時間帯,2021年2月第4週,市区町村内,5.769157139
群馬県全体,すべての時間帯,2021年2月第4週,都道府県内,-6.966047349
群馬県全体,すべての時間帯,2021年2月第4週,都道府県外,-29.558256640
群馬県全体,すべての時間帯,2021年3月第1週,市区町村内,4.264822897
群馬県全体,すべての時間帯,2021年3月第1週,都道府県内,-2.799376240
群馬県全体,すべての時間帯,2021年3月第1週,都道府県外,-22.756350567
群馬県全体,すべての時間帯,2021年3月第2週,市区町村内,3.924926989
群馬県全体,すべての時間帯,2021年3月第2週,都道府県内,-3.132530748
群馬県全体,すべての時間帯,2021年3月第2週,都道府県外,-23.009646187
群馬県全体,すべての時間帯,2021年3月第3週,市区町村内,4.431136892
群馬県全体,すべての時間帯,2021年3月第3週,都道府県内,-4.915302830
群馬県全体,すべての時間帯,2021年3月第3週,都道府県外,-20.454312825
群馬県全体,すべての時間帯,2021年3月第4週,市区町村内,2.871529846
群馬県全体,すべての時間帯,2021年3月第4週,都道府県内,0.516935497
群馬県全体,すべての時間帯,2021年3月第4週,都道府県外,-21.573016186
群馬県全体,すべての時間帯,2021年4月第1週,市区町村内,4.038674819
群馬県全体,すべての時間帯,2021年4月第1週,都道府県内,-2.858947047
群馬県全体,すべての時間帯,2021年4月第1週,都道府県外,-20.415967589
群馬県全体,すべての時間帯,2021年4月第2週,市区町村内,2.869600318
群馬県全体,すべての時間帯,2021年4月第2週,都道府県内,-2.560767842
群馬県全体,すべての時間帯,2021年4月第2週,都道府県外,-11.778705037
群馬県全体,すべての時間帯,2021年4月第3週,市区町村内,2.872929663
群馬県全体,すべての時間帯,2021年4月第3週,都道府県内,0.544615316
群馬県全体,すべての時間帯,2021年4月第3週,都道府県外,-14.659676572
群馬県全体,すべての時間帯,2021年4月第4週,市区町村内,3.913227991
群馬県全体,すべての時間帯,2021年4月第4週,都道府県内,-1.841801778
群馬県全体,すべての時間帯,2021年4月第4週,都道府県外,-19.869773709
群馬県全体,すべての時間帯,2021年4月第5週,市区町村内,6.001487347
群馬県全体,すべての時間帯,2021年4月第5週,都道府県内,-9.489424526
群馬県全体,すべての時間帯,2021年4月第5週,都道府県外,-18.265853223
群馬県全体,すべての時間帯,2021年5月第1週,市区町村内,9.188384911
群馬県全体,すべての時間帯,2021年5月第1週,都道府県内,8.592519620
群馬県全体,すべての時間帯,2021年5月第1週,都道府県外,-55.909789382
群馬県全体,すべての時間帯,2021年5月第2週,市区町村内,4.167903707
群馬県全体,すべての時間帯,2021年5月第2週,都道府県内,1.386888074
群馬県全体,すべての時間帯,2021年5月第2週,都道府県外,-24.867203010
群馬県全体,すべての時間帯,2021年5月第3週,市区町村内,5.975786092
群馬県全体,すべての時間帯,2021年5月第3週,都道府県内,-2.977649325
群馬県全体,すべての時間帯,2021年5月第3週,都道府県外,-32.606569107
群馬県全体,すべての時間帯,2021年5月第4週,市区町村内,6.017994102
群馬県全体,すべての時間帯,2021年5月第4週,都道府県内,-1.615354122
群馬県全体,すべての時間帯,2021年5月第4週,都道府県外,-35.400381692
群馬県全体,すべての時間帯,2021年6月第1週,市区町村内,5.968669928
群馬県全体,すべての時間帯,2021年6月第1週,都道府県内,-2.646779509
群馬県全体,すべての時間帯,2021年6月第1週,都道府県外,-36.794786556
群馬県全体,すべての時間帯,2021年6月第2週,市区町村内,5.335779055
群馬県全体,すべての時間帯,2021年6月第2週,都道府県内,-4.046792581
群馬県全体,すべての時間帯,2021年6月第2週,都道府県外,-29.460663961
群馬県全体,すべての時間帯,2021年6月第3週,市区町村内,5.148124051
群馬県全体,すべての時間帯,2021年6月第3週,都道府県内,-1.717633780
群馬県全体,すべての時間帯,2021年6月第3週,都道府県外,-29.526599305
群馬県全体,すべての時間帯,2021年6月第4週,市区町村内,4.630385999
群馬県全体,すべての時間帯,2021年6月第4週,都道府県内,1.461435107
群馬県全体,すべての時間帯,2021年6月第4週,都道府県外,-25.989852590
群馬県全体,すべての時間帯,2021年7月第1週,市区町村内,5.177097953
群馬県全体,すべての時間帯,2021年7月第1週,都道府県内,-2.339730595
群馬県全体,すべての時間帯,2021年7月第1週,都道府県外,-29.702169345
群馬県全体,すべての時間帯,2021年7月第2週,市区町村内,2.746991817
群馬県全体,すべての時間帯,2021年7月第2週,都道府県内,-0.655476086
群馬県全体,すべての時間帯,2021年7月第2週,都道府県外,-16.233689953
群馬県全体,すべての時間帯,2021年7月第3週,市区町村内,3.292172626
群馬県全体,すべての時間帯,2021年7月第3週,都道府県内,0.443319900
群馬県全体,すべての時間帯,2021年7月第3週,都道府県外,-24.207279337
群馬県全体,すべての時間帯,2021年7月第4週,市区町村内,1.802692927
群馬県全体,すべての時間帯,2021年7月第4週,都道府県内,-1.926002344
群馬県全体,すべての時間帯,2021年7月第4週,都道府県外,9.845896427
群馬県全体,すべての時間帯,2021年7月第5週,市区町村内,2.486237675
群馬県全体,すべての時間帯,2021年7月第5週,都道府県内,-1.043542888
群馬県全体,すべての時間帯,2021年7月第5週,都道府県外,-17.356715841
群馬県全体,すべての時間帯,2021年8月第1週,市区町村内,3.636702691
群馬県全体,すべての時間帯,2021年8月第1週,都道府県内,-0.714235957
群馬県全体,すべての時間帯,2021年8月第1週,都道府県外,-16.746636471
群馬県全体,すべての時間帯,2021年8月第2週,市区町村内,7.600400949
群馬県全体,すべての時間帯,2021年8月第2週,都道府県内,-18.419417341
群馬県全体,すべての時間帯,2021年8月第2週,都道府県外,-20.933283353
群馬県全体,すべての時間帯,2021年8月第3週,市区町村内,6.587026243
群馬県全体,すべての時間帯,2021年8月第3週,都道府県内,15.782322977
群馬県全体,すべての時間帯,2021年8月第3週,都道府県外,-55.226496672
群馬県全体,すべての時間帯,2021年8月第4週,市区町村内,4.174254083
群馬県全体,すべての時間帯,2021年8月第4週,都道府県内,-4.220973092
群馬県全体,すべての時間帯,2021年8月第4週,都道府県外,-28.228400529
群馬県全体,すべての時間帯,2021年9月第1週,市区町村内,3.959910513
群馬県全体,すべての時間帯,2021年9月第1週,都道府県内,-3.599810498
群馬県全体,すべての時間帯,2021年9月第1週,都道府県外,-31.799264287
群馬県全体,すべての時間帯,2021年9月第2週,市区町村内,4.091857744
群馬県全体,すべての時間帯,2021年9月第2週,都道府県内,-3.983985668
群馬県全体,すべての時間帯,2021年9月第2週,都道府県外,-24.229507495
群馬県全体,すべての時間帯,2021年9月第3週,市区町村内,5.484067714
群馬県全体,すべての時間帯,2021年9月第3週,都道府県内,-5.171370521
群馬県全体,すべての時間帯,2021年9月第3週,都道府県外,-29.729170520
群馬県全体,すべての時間帯,2021年9月第4週,市区町村内,5.469765769
群馬県全体,すべての時間帯,2021年9月第4週,都道府県内,-9.678104778
群馬県全体,すべての時間帯,2021年9月第4週,都道府県外,-26.211852680
群馬県全体,すべての時間帯,2021年9月第5週,市区町村内,2.726237791
群馬県全体,すべての時間帯,2021年9月第5週,都道府県内,-0.089103012
群馬県全体,すべての時間帯,2021年9月第5週,都道府県外,-23.680588487
群馬県全体,すべての時間帯,2021年10月第1週,市区町村内,2.129091635
群馬県全体,すべての時間帯,2021年10月第1週,都道府県内,-0.411594223
群馬県全体,すべての時間帯,2021年10月第1週,都道府県外,-10.116499980
