代表観測地点,時間帯,期間(週次),滞在人口の推定居住地,2019年同週比 [%]
栃木県全体,すべての時間帯,2020年10月第4週,市区町村内,1.598779329
栃木県全体,すべての時間帯,2020年10月第4週,都道府県内,3.114892324
栃木県全体,すべての時間帯,2020年10月第4週,都道府県外,-6.036720827
栃木県全体,すべての時間帯,2020年10月第5週,市区町村内,3.140214045
栃木県全体,すべての時間帯,2020年10月第5週,都道府県内,-5.648757463
栃木県全体,すべての時間帯,2020年10月第5週,都道府県外,-20.877773660
栃木県全体,すべての時間帯,2020年11月第1週,市区町村内,2.931598384
栃木県全体,すべての時間帯,2020年11月第1週,都道府県内,-6.127219394
栃木県全体,すべての時間帯,2020年11月第1週,都道府県外,-13.052400806
栃木県全体,すべての時間帯,2020年11月第2週,市区町村内,2.690254418
栃木県全体,すべての時間帯,2020年11月第2週,都道府県内,-5.202091532
栃木県全体,すべての時間帯,2020年11月第2週,都道府県外,-11.529429893
栃木県全体,すべての時間帯,2020年11月第3週,市区町村内,2.172205210
栃木県全体,すべての時間帯,2020年11月第3週,都道府県内,-2.382858049
栃木県全体,すべての時間帯,2020年11月第3週,都道府県外,-1.028720340
栃木県全体,すべての時間帯,2020年11月第4週,市区町村内,3.421373557
栃木県全体,すべての時間帯,2020年11月第4週,都道府県内,-8.201073291
栃木県全体,すべての時間帯,2020年11月第4週,都道府県外,-4.689005662
栃木県全体,すべての時間帯,2020年12月第1週,市区町村内,3.122187831
栃木県全体,すべての時間帯,2020年12月第1週,都道府県内,-5.873489923
栃木県全体,すべての時間帯,2020年12月第1週,都道府県外,-15.192947684
栃木県全体,すべての時間帯,2020年12月第2週,市区町村内,3.853423051
栃木県全体,すべての時間帯,2020年12月第2週,都道府県内,-6.072306108
栃木県全体,すべての時間帯,2020年12月第2週,都道府県外,-16.346448979
栃木県全体,すべての時間帯,2020年12月第3週,市区町村内,3.846837926
栃木県全体,すべての時間帯,2020年12月第3週,都道府県内,-5.367489267
栃木県全体,すべての時間帯,2020年12月第3週,都道府県外,-21.016814524
栃木県全体,すべての時間帯,2020年12月第4週,市区町村内,4.260771900
