week,treat,in_pref,out_pref,in_city,resview
2020-11-23,Neighboring_prefs,-8.237327982,-6.6314888417999995,3.9743551376,-13.0544746288
2020-11-23,Yamanashi,-6.176640832,11.239000994,3.792628102,0.221617332
2020-11-30,Neighboring_prefs,-5.051886061799999,-15.4207124086,3.40228106,-23.474190395
2020-11-30,Yamanashi,-3.016770104,-0.209258455,2.830117607,-10.937347788
2020-12-07,Neighboring_prefs,-5.71770768,-16.9661715624,3.9008960408,-20.7846052166
2020-12-07,Yamanashi,-5.112199075,-9.43581458,3.838965021,-16.903880996
2020-12-14,Neighboring_prefs,-5.5429655558,-17.747946560400003,3.9452507268,-25.0969288624
2020-12-14,Yamanashi,-4.495356924,-9.537838884,3.561855227,-15.176312596
2020-12-21,Neighboring_prefs,-3.4271472782,-30.0466509772,4.3191311,-25.9204609432
2020-12-21,Yamanashi,-1.6912796939999999,-31.124705898,3.58989271,-19.16679251
2020-12-28,Neighboring_prefs,-5.4889038348,-43.5449631558,7.147176348,-28.9329547568
2020-12-28,Yamanashi,1.004990746,-42.804182404,6.306528735,-25.958729439
2021-01-04,Neighboring_prefs,13.0835227504,-65.2054945972,5.4773568728,-39.4771777586
2021-01-04,Yamanashi,19.309236212,-71.749305489,4.418265667,-42.760312603
2021-01-11,Neighboring_prefs,-14.6856269702,-39.3031151498,7.0573875368,-42.4518424448
2021-01-11,Yamanashi,-13.140347291,-40.281932709,7.703988357,-39.960922076
2021-01-18,Neighboring_prefs,-6.4179521496,-43.041601467,5.9088293324,-46.6375638784
2021-01-18,Yamanashi,-3.638058477,-49.185584391,5.942909893,-39.767704019
2021-01-25,Neighboring_prefs,-8.1417479956,-40.373289678999996,6.4605414426,-26.215888838
2021-01-25,Yamanashi,-5.82045448,-43.570804941,6.404228697,-22.281844683
2021-02-01,Neighboring_prefs,-7.3277976726,-35.981788377200004,5.198749639,-36.1225331702
2021-02-01,Yamanashi,-5.563168808,-34.466572398,5.207795498,-31.832375024
2021-02-08,Neighboring_prefs,-10.1918315052,-33.7601219234,5.8956553624,-35.1646955872
2021-02-08,Yamanashi,-9.860106003,-35.205392672,6.359963441,-32.718564209
2021-02-15,Neighboring_prefs,-3.3678434266,-32.7104658178,4.39957069,-32.4930721688
2021-02-15,Yamanashi,-3.191928856,-35.878086902,4.53235361,-25.394902381
2021-02-22,Neighboring_prefs,-10.3126584898,-32.608329765,6.164155228,-28.7314470994
2021-02-22,Yamanashi,-10.531688847,-33.391499524,7.037318878,-22.77757274
2021-03-01,Neighboring_prefs,-5.7635989096,-29.425642063599998,4.4393524752,-30.6621080904
2021-03-01,Yamanashi,-4.970535618,-30.506732269,4.876005265,-25.239154268
2021-03-08,Neighboring_prefs,-5.0277635466,-23.9686302366,3.9191487814,-27.9671332782
2021-03-08,Yamanashi,-3.603988878,-30.524868028,4.138088944,-22.356736308
2021-03-15,Neighboring_prefs,-6.2910726992,-21.6123516072,4.3327031098,-28.9620499126
2021-03-15,Yamanashi,-5.03993995,-19.698674243,4.704758633,-21.966143345
2021-03-22,Neighboring_prefs,-1.7546180416000001,-22.7185744606,3.570623055,-29.0925256798
2021-03-22,Yamanashi,-1.101030324,-18.097768507,3.639459602,-21.470764287
2021-03-29,Neighboring_prefs,-5.5598533786,-21.9511354392,4.5813235786,-27.019077613
2021-03-29,Yamanashi,-5.588400793,-15.245733219,5.054349775,-15.661614474
2021-04-05,Neighboring_prefs,-4.2608724754,-14.6456731434,2.8018536518,-27.646321123
2021-04-05,Yamanashi,-3.725422143,-16.387620255,2.408396146,-27.324668705
2021-04-12,Neighboring_prefs,-4.4446961718,-20.5659608384,3.652850385,-28.721585414
2021-04-12,Yamanashi,-3.27141528,-27.751980804,2.961629111,-26.594197846
2021-04-19,Neighboring_prefs,-4.6511409818,-25.0647229978,4.3455686799999995,-35.6305969324
2021-04-19,Yamanashi,-2.49658079,-22.386428937,4.087830531,-33.093498571
2021-04-26,Neighboring_prefs,-11.5296557974,-22.832811288200002,6.3854169864,-29.5236379638
2021-04-26,Yamanashi,-9.665613849,-15.484056047,6.759836588,-28.464240759
