"","X","週","week","weeknum","pref","newcaseday","newcaset.1","newcaset.2","cumcases","newdeath","emergency","GZnew","cumGZ","mobility","resview","in_city","in_pref","out_pref","week_dummy","pref_dummy","population","avg_temp","rain","sum_pop","agrgt_potecovid_lag1","agrgt_potecovid_lag2","susceptable","avg_temp_q","rain_q","noftests","noftestst.1","noftestst.2","pred_covid","pred_covid2"
"Ibaragi-2020-03-30",68,"202004_W1","2020-03-30",14,"Ibaragi",48,45,30,64,2,0,0,0,2876041,-46.06904561,5.009306683,-9.017434309,-18.55710165,"D_14","D_Ibaragi",2860000,10.5714285714286,5.14285714285714,2876018,61.4452530258339,96.3671537110772,2859936,111.755102040816,26.4489795918367,3360,3745,3325,66.39217160239,34.5324025902785
"Ibaragi-2020-04-06",74,"202004_W2","2020-04-06",15,"Ibaragi",45,30,22,109,3,0,0,0,2884794,-56.89789903,9.096307149,-16.89496669,-37.22803151,"D_15","D_Ibaragi",2860000,9.87619047619048,1.45238095238095,2884750,95.8008738531593,81.0470816984347,2859891,97.5391383219955,2.109410430839,3745,3325,3105,35.8085095386921,17.8142528407685
"Ibaragi-2020-04-13",80,"202004_W3","2020-04-13",16,"Ibaragi",30,22,4,139,0,1,0,0,2901352,-57.33194119,10.78333322,-19.90655876,-38.35167837,"D_16","D_Ibaragi",2860000,10.7047619047619,14.6666666666667,2901326,80.4902087680393,57.0087738656817,2859861,114.591927437642,215.111111111111,3325,3105,3078,18.3421182657724,7.23910557394462
"Ibaragi-2020-04-20",86,"202004_W4","2020-04-20",17,"Ibaragi",22,4,3,161,1,1,0,0,2903424,-63.67527041,13.34776132,-25.0578287,-48.04605129,"D_17","D_Ibaragi",2860000,11.9666666666667,3.26190476190476,2903365,56.5720080157085,29.0762915887315,2859839,143.201111111111,10.640022675737,3105,3078,1830,7.17305006789381,3.48233670450335
"Ibaragi-2020-04-27",92,"202004_W5","2020-04-27",18,"Ibaragi",4,3,0,165,2,1,0,0,2903342,-73.00153027,17.38076867,-19.95396193,-74.75153528,"D_18","D_Ibaragi",2860000,16.0380952380953,0.785714285714285,2903315,28.9441832941316,8.84640315474259,2859835,257.220498866214,0.61734693877551,3078,1830,2442,3.56783840215442,2.12852016721044
"Ibaragi-2020-05-04",98,"202005_W1","2020-05-04",19,"Ibaragi",3,0,0,168,1,1,0,0,2900887,-43.71468366,19.00851932,-48.59422056,-71.33021657,"D_19","D_Ibaragi",2860000,16.7238095238095,4.07142857142857,2900861,8.84413822326322,3.99449649671858,2859832,279.685804988662,16.5765306122449,1830,2442,1320,2.1902295729555,3.20409918329404
"Ibaragi-2020-05-11",104,"202005_W2","2020-05-11",20,"Ibaragi",0,0,0,168,0,1,0,0,2899859,-50.20557703,12.13980054,-21.10911582,-44.94735123,"D_20","D_Ibaragi",2860000,19.5714285714286,1.42857142857143,2899821,4.0122582498823,0.589124965366031,2859832,383.040816326531,2.04081632653061,2442,1320,978,3.26502852541515,1.25964604228934
"Ibaragi-2020-05-18",110,"202005_W3","2020-05-18",21,"Ibaragi",0,0,0,168,0,0,0,0,2900444,-37.4519441,10.96345539,-15.79872341,-43.54136851,"D_21","D_Ibaragi",2860000,16.0095238095238,14.0714285714286,2900399,0.593498091671831,0.38519416492792,2859832,256.304852607709,198.005102040816,1320,978,1140,1.21547201668926,1.18795897592431
"Ibaragi-2020-05-25",116,"202005_W4","2020-05-25",22,"Ibaragi",0,0,0,168,1,0,0,0,2897976,-31.33320227,9.410330952,-12.77922335,-39.85459028,"D_22","D_Ibaragi",2860000,19.8238095238095,3.07142857142857,2897934,0.414363464830026,0.455479808165123,2859832,392.983424036281,9.43367346938772,978,1140,1116,1.24430543528927,1.29758238867656
"Ibaragi-2020-06-01",122,"202006_W1","2020-06-01",23,"Ibaragi",0,0,2,168,0,0,0,0,2885401,-23.63969911,13.65794367,-24.89246442,-56.80483921,"D_23","D_Ibaragi",2860000,21.4714285714286,0.166666666666667,2885364,0.483075521039612,0.6221739047123,2859832,461.022244897959,0.0277777777777777,1140,1116,690,1.3301415373842,1.76819051488161
"Ibaragi-2020-06-08",128,"202006_W2","2020-06-08",24,"Ibaragi",0,2,3,168,0,0,0,0,2881496,-19.86405388,12.63701493,-22.04268517,-53.28637065,"D_24","D_Ibaragi",2860000,23.0047619047619,10.4047619047619,2881468,0.669647104562719,2.73824445032678,2859832,529.219070294784,108.259070294784,1116,690,744,1.67904374637154,3.33047018302754
"Ibaragi-2020-06-15",134,"202006_W3","2020-06-15",25,"Ibaragi",2,3,10,170,0,0,0,0,2880328,-9.965806399,6.906716157,-8.919181324,-30.70647159,"D_25","D_Ibaragi",2860000,21.7047619047619,4.85714285714286,2880287,2.77310318864656,6.270872774291,2859830,471.096689342404,23.5918367346939,690,744,1524,3.29908471823369,7.11659381390013
"Ibaragi-2020-06-22",140,"202006_W4","2020-06-22",26,"Ibaragi",3,10,16,173,0,0,0,0,2876576,-12.86039753,6.225044836,-8.557529093,-27.48323554,"D_26","D_Ibaragi",2860000,20.5142857142857,11.4285714285714,2876527,6.41700791514153,15.7617594724589,2859827,420.835918367347,130.612244897959,744,1524,1920,6.79716610417025,7.37508265330555
"Ibaragi-2020-06-29",146,"202007_W1","2020-06-29",27,"Ibaragi",10,16,26,183,0,0,0,0,2868219,-15.23490575,3.878846952,-6.115536579,-14.20476285,"D_27","D_Ibaragi",2860000,22.8190476190476,11.3809523809524,2868177,15.8621378902938,30.9699061957323,2859817,520.708934240363,129.526077097506,1524,1920,2880,7.46885428062434,26.8818993199354
"Ibaragi-2020-07-06",152,"202007_W2","2020-07-06",28,"Ibaragi",16,26,17,199,0,0,0,0,2868190,-15.84807657,6.30784154,-8.535327301,-29.55308781,"D_28","D_Ibaragi",2860000,24.7666666666667,6.45238095238095,2868138,30.759131093224,49.3343497369008,2859801,613.387777777778,41.6332199546485,1920,2880,2580,26.8255217801854,38.8990530189858
"Ibaragi-2020-07-13",158,"202007_W3","2020-07-13",29,"Ibaragi",26,17,80,225,0,0,0,0,2872821,-8.898517055,4.169009146,-3.857405273,-24.62210833,"D_29","D_Ibaragi",2860000,20.2428571428571,4.92857142857142,2872777,49.3221750247811,52.7964127263325,2859775,409.773265306122,24.2908163265306,2880,2580,4662,37.0814191943194,55.191315109682
"Ibaragi-2020-07-20",164,"202007_W4","2020-07-20",30,"Ibaragi",17,80,75,242,0,0,0,0,2888528,7.96460177,5.932285992,-13.21253403,-7.332802287,"D_30","D_Ibaragi",2860000,23.4476190476191,7.92857142857143,2888484,52.8019222848012,107.327865635883,2859758,549.790839002268,62.8622448979592,2580,4662,6450,53.3560449617151,66.4238998749345
"Ibaragi-2020-07-27",170,"202007_W5","2020-07-27",31,"Ibaragi",80,75,55,322,0,0,0,0,2884262,-17.08609622,4.900651424,-4.155207125,-24.15237796,"D_31","D_Ibaragi",2860000,23.1428571428571,3.78571428571429,2884234,108.710618383262,168.074853297114,2859678,535.591836734694,14.3316326530612,4662,6450,4806,62.5178031857717,60.2019798073003
"Ibaragi-2020-08-03",176,"202008_W1","2020-08-03",32,"Ibaragi",75,55,51,397,0,0,0,0,2881094,-16.39549679,5.687149042,-4.388931644,-32.79449054,"D_32","D_Ibaragi",2860000,26.6571428571429,0,2881062,168.589342620851,144.172617072736,2859603,710.603265306122,0,6450,4806,4266,60.2240145620467,55.4347679867595
"Ibaragi-2020-08-10",182,"202008_W2","2020-08-10",33,"Ibaragi",55,51,41,452,0,0,0,0,2873769,-35.78782843,8.141017138,-7.110841069,-41.73726757,"D_33","D_Ibaragi",2860000,28.6761904761905,2.04761904761904,2873740,143.812009675777,117.934876616448,2859548,822.323900226756,4.19274376417232,4806,4266,4476,54.3084585907713,47.2916395819611
"Ibaragi-2020-08-17",188,"202008_W3","2020-08-17",34,"Ibaragi",51,41,39,503,1,0,0,0,2875559,-12.84695574,5.530801501,-5.971883817,-23.63414127,"D_34","D_Ibaragi",2860000,27.4857142857143,4,2875530,119.581849750008,104.446641849651,2859497,755.464489795918,16,4266,4476,3168,47.4267030016696,26.0061839754984
"Ibaragi-2020-08-24",194,"202008_W4","2020-08-24",35,"Ibaragi",41,39,29,544,2,0,0,0,2869049,-13.69155622,4.715425646,-3.996400284,-18.58477635,"D_35","D_Ibaragi",2860000,27.7428571428571,0,2869012,104.146828039414,89.650834188599,2859456,769.66612244898,0,4476,3168,2904,26.9898533844034,29.1444873722903
"Ibaragi-2020-08-31",200,"202009_W1","2020-08-31",36,"Ibaragi",39,29,12,583,1,0,0,0,2872406,-12.53109181,4.7489845,-5.357508323,-21.98765294,"D_36","D_Ibaragi",2860000,26.447619047619,3.3095238095238,2872357,88.106857016576,75.3266729643609,2859417,699.476553287981,10.952947845805,3168,2904,2544,28.4095408017397,29.5331348308354
"Ibaragi-2020-09-07",206,"202009_W2","2020-09-07",37,"Ibaragi",29,12,14,612,1,0,0,0,2874654,-7.980622005,4.981859717,-4.316123189,-26.21903028,"D_37","D_Ibaragi",2860000,26.2714285714286,3.78571428571429,2874624,74.8675079970817,50.0919438131411,2859388,690.187959183673,14.3316326530612,2904,2544,1560,28.2968557520599,18.0558324883887
"Ibaragi-2020-09-14",212,"202009_W3","2020-09-14",38,"Ibaragi",12,14,38,624,1,0,0,0,2868504,0.063083881,2.588109362,0.86415814,-13.55304012,"D_38","D_Ibaragi",2860000,23.3761904761905,1.42857142857143,2868479,50.2323666296059,35.1989693199499,2859376,546.446281179138,2.04081632653061,2544,1560,1704,17.9082038725566,24.3608496742716
"Ibaragi-2020-09-21",218,"202009_W4","2020-09-21",39,"Ibaragi",14,38,33,638,1,0,0,0,2880969,0.924361216,4.857270872,-11.02815012,-11.32562058,"D_39","D_Ibaragi",2860000,20.0619047619048,6.88095238095239,2880941,36.1684740520511,60.5050984844811,2859362,402.480022675737,47.3475056689343,1560,1704,1806,23.3143080781664,19.1976944240155
"Ibaragi-2020-09-28",224,"202010_W1","2020-09-28",40,"Ibaragi",38,33,19,676,0,0,0,0,2867298,-9.391010689,2.536393445,-1.739553082,-19.95921839,"D_40","D_Ibaragi",2860000,19.2428571428572,0,2867270,61.594222614019,80.9381076496357,2859324,370.287551020409,0,1704,1806,2856,19.4231919304488,22.0024420158807
"Ibaragi-2020-10-05",230,"202010_W2","2020-10-05",41,"Ibaragi",33,19,13,709,0,0,0,0,2863194,25.21395225,1.391757826,2.597176429,-13.29004558,"D_41","D_Ibaragi",2860000,17.7142857142857,16.2380952380952,2863171,80.49601529286,63.0558732851102,2859291,313.795918367347,263.675736961451,1806,2856,834,22.4618799390517,29.5872293829847
"Ibaragi-2020-10-12",236,"202010_W3","2020-10-12",42,"Ibaragi",19,13,29,728,1,0,0,0,2865289,3.396336825,2.358515192,0.532038624,-12.60686304,"D_42","D_Ibaragi",2860000,16.6952380952381,3.73809523809524,2865266,61.5939183531218,42.6504891638888,2859272,278.730975056689,13.9733560090703,2856,834,2502,29.992692678597,33.5036112874901
"Ibaragi-2020-10-19",242,"202010_W4","2020-10-19",43,"Ibaragi",13,29,48,741,0,0,0,0,2870882,-2.451696736,1.496242165,3.908914019,-10.8325108,"D_43","D_Ibaragi",2860000,15.1,2.11904761904762,2870848,42.7948039233068,52.1786559529841,2859259,228.01,4.4903628117914,834,2502,2148,34.3412823585553,44.7801877191866
"Ibaragi-2020-10-26",248,"202010_W5","2020-10-26",44,"Ibaragi",29,48,149,770,0,0,0,0,2860678,-7.260835187,3.264965939,-3.044159379,-14.95459728,"D_44","D_Ibaragi",2860000,13.7095238095238,0,2860666,53.2131503800362,87.8755224567791,2859230,187.9510430839,0,2502,2148,3906,43.1850318140748,98.4239671363465
"Ibaragi-2020-11-02",254,"202011_W1","2020-11-02",45,"Ibaragi",48,149,285,818,0,0,0,0,2873207,-1.861920108,3.095264253,-2.311426279,-12.56480874,"D_45","D_Ibaragi",2860000,13.5571428571428,2.11904761904762,2873181,87.8484125919812,206.499394711693,2859182,183.796122448979,4.49036281179139,2148,3906,5418,97.3205075958576,225.191606422737
"Ibaragi-2020-11-09",260,"202011_W2","2020-11-09",46,"Ibaragi",149,285,286,967,0,0,0,0,2876321,-10.38797341,3.197229284,-1.680629522,-6.904997719,"D_46","D_Ibaragi",2860000,10.3571428571428,0,2876286,206.970266948104,439.982978305628,2859033,107.270408163265,0,3906,5418,5424,232.158870517624,243.77523130962
"Ibaragi-2020-11-16",266,"202011_W3","2020-11-16",47,"Ibaragi",285,286,294,1252,1,0,0,0,2876132,-5.816776563,2.337816164,0.021046095,3.903732329,"D_47","D_Ibaragi",2860000,15.0571428571429,0,2876104,440.898876578539,575.147977608919,2858748,226.717551020408,0,5418,5424,4824,245.589681633714,360.91906373022
"Ibaragi-2020-11-23",272,"202011_W4","2020-11-23",48,"Ibaragi",286,294,155,1538,2,0,0,0,2881214,-15.66971536,4.694547789,-9.430117733,-11.01623176,"D_48","D_Ibaragi",2860000,10.5571428571429,0.619047619047619,2881169,575.542660439553,585.348897138475,2858462,111.453265306122,0.383219954648526,5424,4824,2862,346.468913845335,254.263549774928
"Ibaragi-2020-11-30",278,"202012_W1","2020-11-30",49,"Ibaragi",294,155,146,1832,2,0,0,0,2872334,-28.13973095,3.670023992,-3.997238445,-7.40788676,"D_49","D_Ibaragi",2860000,7.21428571428572,0.880952380952381,2872302,585.874635507873,467.794334114944,2858168,52.045918367347,0.77607709750567,4824,2862,1902,261.137649540159,201.781547745415
"Ibaragi-2020-12-07",284,"202012_W2","2020-12-07",50,"Ibaragi",155,146,174,1987,5,0,0,0,2879283,-25.35624402,4.088177578,-5.63078895,-8.075848073,"D_50","D_Ibaragi",2860000,8.30952380952381,0.166666666666667,2879249,466.042489645223,333.488432495446,2858013,69.0481859410431,0.0277777777777779,2862,1902,1770,214.334489516532,197.18081548434
"Ibaragi-2020-12-14",290,"202012_W3","2020-12-14",51,"Ibaragi",146,174,253,2133,6,0,0,0,2875621,-24.1388854,3.953683913,-5.823012871,-9.139878637,"D_51","D_Ibaragi",2860000,3.09047619047619,0,2875588,332.633969042939,361.281605099581,2857867,9.55104308390023,0,1902,1770,2502,205.594315455635,307.822886220612
"Ibaragi-2020-12-21",296,"202012_W4","2020-12-21",52,"Ibaragi",174,253,580,2307,1,0,0,0,2869284,-20.98803443,4.401062395,-2.849359901,-16.79696083,"D_52","D_Ibaragi",2860000,4.9,0,2869245,361.487401807002,477.026937239216,2857693,24.01,0,1770,2502,6624,296.447830390573,741.209184426634
"Ibaragi-2020-12-28",302,"202012_W5","2020-12-28",53,"Ibaragi",253,580,672,2560,3,0,0,0,2888605,-23.1880101,6.801329063,-3.771928413,-37.46728895,"D_53","D_Ibaragi",2860000,3.61904761904762,0.119047619047619,2888558,475.052955975701,899.798819964992,2857440,13.0975056689342,0.014172335600907,2502,6624,7992,722.433171896249,662.141850807474
"Ibaragi-2021-01-04",308,"202101_W1","2021-01-04",54,"Ibaragi",580,672,550,3140,2,0,0,0,2884599,-32.13228412,5.333325879,15.34948307,-54.38229445,"D_54","D_Ibaragi",2860000,2.54761904761905,0,2884569,918.327804128754,1345.01315472,2856860,6.49036281179138,0,6624,7992,7788,644.308939121794,424.638728131959
"Ibaragi-2021-01-11",314,"202101_W2","2021-01-11",55,"Ibaragi",672,550,456,3812,4,0,0,0,2894683,-39.19293554,8.065666158,-14.96073975,-26.7614965,"D_55","D_Ibaragi",2860000,4.24285714285714,0.214285714285714,2894679,1348.55994887131,1305.03348076238,2856188,18.0018367346939,0.0459183673469386,7992,7788,6168,416.035819567369,318.642638743126
"Ibaragi-2021-01-18",320,"202101_W3","2021-01-18",56,"Ibaragi",550,456,324,4362,9,0,0,0,2881483,-43.95030433,5.703883452,-5.738914917,-31.34469276,"D_56","D_Ibaragi",2860000,3.75714285714286,2.26190476190476,2881460,1290.22398035668,1055.72594462697,2855638,14.1161224489796,5.11621315192744,7788,6168,4524,317.173117507765,231.42361328895
"Ibaragi-2021-01-25",326,"202101_W4","2021-01-25",57,"Ibaragi",456,324,228,4818,9,0,0,0,2887124,-25.83848629,7.145464297,-9.520398541,-30.46506357,"D_57","D_Ibaragi",2860000,5.11904761904762,1,2887111,1054.33970337521,809.647552164337,2855182,26.2046485260771,0.999999999999999,6168,4524,3252,222.640454146108,152.130962155271
"Ibaragi-2021-02-01",332,"202102_W1","2021-02-01",58,"Ibaragi",324,228,211,5142,16,0,0,0,2884144,-34.73451439,5.462512482,-6.609531843,-22.11876809,"D_58","D_Ibaragi",2860000,5.91428571428571,0.833333333333333,2884125,808.653601378993,569.887290161562,2854858,34.9787755102041,0.694444444444444,4524,3252,2178,152.194472620605,152.0942915434
"Ibaragi-2021-02-08",338,"202102_W2","2021-02-08",59,"Ibaragi",228,211,174,5370,16,0,0,0,2883574,-29.82732752,6.088768685,-9.576924231,-19.29432105,"D_59","D_Ibaragi",2860000,5.80952380952381,0,2883544,571.345772638339,453.60661687614,2854630,33.7505668934241,0,3252,2178,534,149.946726511672,119.821862681435
"Ibaragi-2021-02-15",344,"202102_W3","2021-02-15",60,"Ibaragi",211,174,235,5581,9,0,0,0,2879268,-28.44297638,4.033567909,-1.773517746,-20.94698927,"D_60","D_Ibaragi",2860000,7.44285714285714,10.452380952381,2879230,453.415305605234,398.519639089484,2854419,55.3961224489796,109.252267573696,2178,534,1380,118.833413817978,115.882489087036
"Ibaragi-2021-02-22",350,"202102_W4","2021-02-22",61,"Ibaragi",174,235,194,5755,6,0,0,0,2883954,-25.00966534,7.063432825,-12.40332452,-24.01704644,"D_61","D_Ibaragi",2860000,6.46666666666666,0,2883923,398.451834452864,418.761711867146,2854245,41.8177777777777,0,534,1380,1836,121.111422820679,222.813496207246
"Ibaragi-2021-03-01",356,"202103_W1","2021-03-01",62,"Ibaragi",235,194,215,5990,7,0,0,0,2883041,-28.43135671,4.874875763,-5.574037436,-18.96431448,"D_62","D_Ibaragi",2860000,9.04761904761905,2.85714285714285,2883006,418.889685914756,438.674816518291,2854010,81.8594104308391,8.16326530612242,1380,1836,2808,220.668101036013,214.550658603426
"Ibaragi-2021-03-08",362,"202103_W2","2021-03-08",63,"Ibaragi",194,215,252,6184,5,0,0,0,2882770,-27.85871709,4.332535204,-5.093018427,-16.9010699,"D_63","D_Ibaragi",2860000,9.3095238095238,8.26190476190476,2882727,438.843810082525,420.390929383723,2853816,86.6672335600906,68.2590702947845,1836,2808,4530,218.020095358838,215.006858380867
"Ibaragi-2021-03-15",368,"202103_W3","2021-03-15",64,"Ibaragi",215,252,225,6399,2,0,0,0,2881808,-27.98593956,4.461418987,-5.304878899,-16.29076479,"D_64","D_Ibaragi",2860000,11.3285714285714,3.54761904761904,2881766,420.384740720484,477.399028103398,2853601,128.336530612245,12.5856009070294,2808,4530,3516,220.451251014864,344.330772434808
"Ibaragi-2021-03-22",374,"202103_W4","2021-03-22",65,"Ibaragi",252,225,237,6651,3,0,0,0,2885800,-25.80642702,3.63415535,-0.850393494,-14.68910561,"D_65","D_Ibaragi",2860000,11.7809523809524,1.88095238095238,2885783,477.347619919762,491.551200734634,2853349,138.790839002267,3.53798185941043,4530,3516,6120,332.724122345308,291.56231534831
"Ibaragi-2021-03-29",380,"202104_W1","2021-03-29",66,"Ibaragi",225,237,319,6876,1,0,0,0,2885944,-23.66357655,4.995887886,-4.840867821,-14.42918228,"D_66","D_Ibaragi",2860000,15.7190476190476,6.19047619047619,2885925,493.019794710485,482.686477641794,2853124,247.088458049886,38.3219954648525,3516,6120,4752,279.023137833201,290.746062385212
"Ibaragi-2021-04-05",386,"202104_W2","2021-04-05",67,"Ibaragi",237,319,455,7113,1,0,0,0,2881191,-23.66038011,3.2432339,-5.141867243,-6.820341452,"D_67","D_Ibaragi",2860000,10.3904761904762,2.76190476190476,2881159,484.501398432546,579.538909652361,2852887,107.961995464853,7.6281179138322,6120,4752,5736,297.192774606616,323.524658026387
"Ibaragi-2021-04-12",392,"202104_W3","2021-04-12",68,"Ibaragi",319,455,256,7432,1,0,0,0,2888284,-14.92335668,3.613882477,-3.530977562,-8.953155248,"D_68","D_Ibaragi",2860000,13.4571428571429,13.3333333333333,2888258,578.898272244913,795.590187215591,2852568,181.094693877551,177.777777777778,4752,5736,7056,347.717670296775,295.050043246497
"Ibaragi-2021-04-19",398,"202104_W4","2021-04-19",69,"Ibaragi",455,256,NA,7887,3,0,0,0,2894002,-28.19963861,4.446182658,-3.96168559,-14.55967539,"D_69","D_Ibaragi",2860000,13.9761904761905,0.119047619047619,2893962,795.768907081436,865.873580512634,2852113,195.333900226758,0.014172335600907,5736,7056,NA,309.90266526127,NA
"Ibaragi-2021-04-26",404,"202104_W5","2021-04-26",70,"Ibaragi",256,NA,NA,8143,1,0,0,0,2895185,-25.51821602,6.993716927,-12.17898966,-20.36750915,"D_70","D_Ibaragi",2860000,14.4266666666666,12,2895146,867.609507933588,720.411094457283,2851857,208.12871111111,144,7056,NA,NA,NA,NA
"Nagano-2020-01-13",3,"202001_W3","2020-01-13",3,"Nagano",0,0,0,0,0,0,0,0,2120402,-2.137822013,-2.707943741,-1.424666483,4.215343109,"D_3","D_Nagano",2049000,2.30714285714286,0.214285714285714,2120306,0,0.011142384540075,2049000,5.32290816326531,0.0459183673469388,0,0,0,0.80051524505734,0.821864059452887
"Nagano-2020-01-20",9,"202001_W4","2020-01-20",4,"Nagano",0,0,0,0,0,0,0,0,2113931,5.504448502,-3.055282064,0.72012406,3.069890287,"D_4","D_Nagano",2049000,3.59285714285714,1.21428571428571,2113866,0.00656854873891757,0.0121171276864257,2049000,12.9086224489796,1.47448979591837,0,0,0,0.818053169361774,0.797131122256026
"Nagano-2020-01-27",15,"202001_W5","2020-01-27",5,"Nagano",0,0,0,0,0,0,0,0,2121146,-0.136266513,-2.41147868,-1.283563927,4.0511705,"D_5","D_Nagano",2049000,3.35357142857143,1.58928571428571,2121067,0.011800272200054,0.00927048339455383,2049000,11.2464413265306,2.52582908163265,0,0,24,0.823196121984033,0.895967787744882
"Nagano-2020-02-03",21,"202002_W1","2020-02-03",6,"Nagano",0,0,0,0,0,0,0,0,2140796,-9.119350405,1.404795066,-2.516698099,-14.79310878,"D_6","D_Nagano",2049000,0.335714285714286,0.125,2140727,0.00910561846277857,0.0407452415809193,2049000,0.112704081632653,0.015625,0,24,124,0.714283269605534,0.78859150574893
"Nagano-2020-02-10",27,"202002_W2","2020-02-10",7,"Nagano",0,0,2,0,0,0,0,0,2141507,3.564069554,1.736820471,-4.193513805,-10.88002252,"D_7","D_Nagano",2049000,4.66428571428571,3.92857142857143,2141422,0.0484315789018788,0.130443724787289,2049000,21.7555612244898,15.4336734693878,24,124,280,0.908041996818838,0.96671642234493
"Nagano-2020-02-17",33,"202002_W3","2020-02-17",8,"Nagano",0,2,1,0,0,0,0,0,2159050,-0.019396793,1.310081744,-2.599509672,11.28501856,"D_8","D_Nagano",2049000,3.85714285714286,0.928571428571429,2158987,0.136009870321204,2.14311068979279,2049000,14.8775510204082,0.862244897959184,124,280,416,1.02090447953003,1.98031080400677
"Nagano-2020-02-24",39,"202002_W4","2020-02-24",9,"Nagano",2,1,1,2,0,0,0,0,2141901,-13.18145172,3.260774924,-10.6696108,-6.223707747,"D_9","D_Nagano",2049000,3.78571428571429,1.32142857142857,2141839,2.14331899924138,3.35743483811854,2048998,14.3316326530612,1.74617346938776,280,416,304,1.96821020493039,1.91318176895848
"Nagano-2020-03-02",45,"202003_W1","2020-03-02",10,"Nagano",1,1,0,3,0,0,0,0,2128285,-20.69764469,3.211845978,-6.600707714,-20.85146808,"D_10","D_Nagano",2049000,4.96785714285714,0.964285714285714,2128251,3.30209655139631,2.62042861552684,2048997,24.6796045918367,0.92984693877551,416,304,270,2.00342466339701,1.97441251927314
"Nagano-2020-03-09",51,"202003_W2","2020-03-09",11,"Nagano",1,0,4,4,0,0,0,0,2125353,-15.76049475,3.675255624,-4.762616682,-22.62152096,"D_11","D_Nagano",2049000,7.03214285714286,3.91071428571429,2125260,2.50394923240455,1.5750477252257,2048996,49.4510331632653,15.2936862244898,304,270,825,1.92246180381027,3.77285569357112
"Nagano-2020-03-16",57,"202003_W3","2020-03-16",12,"Nagano",0,4,4,4,0,0,0,0,2150795,-13.84074818,3.928307772,-5.57835706,-5.597346501,"D_12","D_Nagano",2049000,7,1.39285714285714,2150739,1.50937982861091,5.01638278370997,2048996,49,1.94005102040816,270,825,1325,3.59912743887753,7.26366977576652
"Nagano-2020-03-23",63,"202003_W4","2020-03-23",13,"Nagano",4,4,17,8,0,0,0,0,2115273,-26.64689223,4.822001235,-8.846205231,-28.08530162,"D_13","D_Nagano",2049000,6.78928571428571,8.25,2115167,5.36741570923024,11.3550490042034,2048992,46.0944005102041,68.0625,825,1325,1875,7.72240891606383,17.6652975844886
"Nagano-2020-03-30",69,"202004_W1","2020-03-30",14,"Nagano",4,17,23,12,0,0,0,0,2100665,-47.31045705,3.22586882,-8.067220411,-27.57785663,"D_14","D_Nagano",2049000,7.96071428571429,2.05357142857143,2100567,10.7005795070101,26.4916453394095,2048988,63.3729719387755,4.2171556122449,1325,1875,1675,17.4437525080939,12.2514161257052
"Nagano-2020-04-06",75,"202004_W2","2020-04-06",15,"Nagano",17,23,14,29,0,0,0,0,2100886,-62.07699044,7.831288944,-18.14036516,-55.73223244,"D_15","D_Nagano",2049000,7.61071428571429,0.321428571428571,2100834,24.5576695786107,44.6359068759375,2048971,57.9229719387755,0.103316326530612,1875,1675,1570,11.5037037102417,9.24629792415008
"Nagano-2020-04-13",81,"202004_W3","2020-04-13",16,"Nagano",23,14,4,52,0,1,0,0,2097873,-63.54460737,8.467332295,-20.80330229,-60.78138176,"D_16","D_Nagano",2049000,9.05357142857143,9.91071428571429,2097832,43.4809214356036,39.8746529865803,2048948,81.9671556122449,98.2222576530612,1675,1570,1914,9.07392029910294,4.21828453589115
"Nagano-2020-04-20",87,"202004_W4","2020-04-20",17,"Nagano",14,4,5,66,0,1,0,0,2100905,-71.85306304,10.80566654,-24.49311633,-72.86376502,"D_17","D_Nagano",2049000,9.39642857142857,1.78571428571429,2100844,39.542841200202,19.795291840028,2048934,88.2928698979592,3.18877551020408,1570,1914,1596,4.09654346713522,2.00820219489342
"Nagano-2020-04-27",93,"202004_W5","2020-04-27",18,"Nagano",4,5,1,70,0,1,0,0,2105473,-81.92785261,17.27517919,-25.07544805,-93.32956313,"D_18","D_Nagano",2049000,15.4714285714286,0,2105400,19.669563632975,9.98782471321885,2048930,239.365102040816,0,1914,1596,1872,2.05150287803931,1.66920735464397
"Nagano-2020-05-04",99,"202005_W1","2020-05-04",19,"Nagano",5,1,0,75,0,1,0,0,2104454,-55.93970105,17.7162152,-49.85912409,-89.00769077,"D_19","D_Nagano",2049000,16.0428571428571,2.375,2104381,10.004720814732,6.49148275321917,2048925,257.373265306123,5.640625,1596,1872,1284,1.66418405583397,2.91793729643534
"Nagano-2020-05-11",105,"202005_W2","2020-05-11",20,"Nagano",1,0,0,76,0,1,0,0,2102206,-59.43011314,11.57233099,-20.29409905,-67.32219391,"D_20","D_Nagano",2049000,17.7785714285714,1.92857142857143,2102127,6.52844480606627,1.26771204551523,2048924,316.077602040816,3.71938775510204,1872,1284,1278,2.92028946020412,1.04164252486944
"Nagano-2020-05-18",111,"202005_W3","2020-05-18",21,"Nagano",0,0,0,76,0,0,0,0,2102398,-52.13717362,11.11763011,-16.88966044,-70.73434457,"D_21","D_Nagano",2049000,17.6357142857143,4.55357142857143,2102344,1.24407029587604,0.180338439243331,2048924,311.018418367347,20.735012755102,1284,1278,1536,1.07646067423877,0.843915348964186
