treat,week,newcase_day_per,lnewcase_day_per
Neighboring_prefs,2020-09-14,1.9328794306206496,1.075984681281508
Neighboring_prefs,2020-09-21,0.9658912817547223,0.675945720986722
Neighboring_prefs,2020-09-28,0.88859525707399,0.6358333024987615
Neighboring_prefs,2020-10-05,0.7449916265585407,0.55674975710909
Neighboring_prefs,2020-10-12,0.62894038897373306,0.48792973531850503
Neighboring_prefs,2020-10-19,1.3277052302056307,0.8448829025248092
Neighboring_prefs,2020-10-26,1.1381107988057828,0.7599226348361962
Neighboring_prefs,2020-11-02,1.4334094287230368,0.8892933310752349
Neighboring_prefs,2020-11-09,3.1600760076731786,1.4255333451815413
Neighboring_prefs,2020-11-16,6.759127318566844,2.0488698689235743
Neighboring_prefs,2020-11-23,7.361081242995673,2.123587754020087
Neighboring_prefs,2020-11-30,7.9707168655337,2.193965590997121
Neighboring_prefs,2020-12-07,7.847019008709639,2.180080567104077
Neighboring_prefs,2020-12-14,7.387324176673606,2.126721539535443
Neighboring_prefs,2020-12-21,7.753927048482482,2.169502405227295
Neighboring_prefs,2020-12-28,10.990863658247417,2.484144997992183
Neighboring_prefs,2021-01-04,24.284360543056227,3.2301860442400803
Neighboring_prefs,2021-01-11,22.40308070613134,3.1528676678061913
Neighboring_prefs,2021-01-18,15.061051119431122,2.776397155905601
Neighboring_prefs,2021-01-25,10.936079199227635,2.4795656787634224
Neighboring_prefs,2021-02-01,7.27298165062679,2.112994982222604
Neighboring_prefs,2021-02-08,4.628113159803048,1.7277742456248213
Neighboring_prefs,2021-02-15,4.367064969486996,1.6802811984851258
Neighboring_prefs,2021-02-22,3.919798431295876,1.5932675604161484
Neighboring_prefs,2021-03-01,4.141130847694847,1.6372730645477347
Neighboring_prefs,2021-03-08,4.712492381132459,1.742655422500827
Neighboring_prefs,2021-03-15,5.894079643012924,1.930663020539247
Neighboring_prefs,2021-03-22,6.892688760876012,2.0659368576513146
Neighboring_prefs,2021-03-29,8.677647130291337,2.2698188066908402
Neighboring_prefs,2021-04-05,8.313318546803691,2.2314454774862558
Neighboring_prefs,2021-04-12,9.974464659689184,2.395571179611103
Neighboring_prefs,2021-04-19,10.4572953535617,2.4386266758898216
Neighboring_prefs,2021-04-26,7.9848494769331575,2.195539767388812
Yamanashi,2020-01-13,0,0
Yamanashi,2020-01-20,0,0
Yamanashi,2020-01-27,0,0
Yamanashi,2020-02-03,0,0
Yamanashi,2020-02-10,0,0
Yamanashi,2020-02-17,0,0
Yamanashi,2020-02-24,0,0
Yamanashi,2020-03-02,0.24660912453760792,0.22042716490505848
Yamanashi,2020-03-09,0,0
Yamanashi,2020-03-16,0,0
Yamanashi,2020-03-23,0.24660912453760792,0.22042716490505848
Yamanashi,2020-03-30,1.2330456226880395,0.8033664037680005
Yamanashi,2020-04-06,2.5893958076448826,1.2779838896302103
Yamanashi,2020-04-13,1.726263871763255,1.0029321267420332
Yamanashi,2020-04-20,0.36991368680641185,0.31474773552421714
Yamanashi,2020-04-27,0.49321824907521583,0.40093368943767926
Yamanashi,2020-05-04,0,0
Yamanashi,2020-05-11,0.12330456226880396,0.11627484314454549
Yamanashi,2020-05-18,0.36991368680641185,0.31474773552421714
Yamanashi,2020-05-25,0.49321824907521583,0.40093368943767926
Yamanashi,2020-06-01,0.36991368680641185,0.31474773552421714
Yamanashi,2020-06-08,0.49321824907521583,0.40093368943767926
