"","週","week","都道府県","sum_pop","agrgt潜在的感染者人流_lag1","agrgt潜在的感染者人流_lag2","in_risk_lag1","in_risk_lag2"
"76","202003_W4",2020-03-23,"茨城県",2870132,17.4540118398446,61.5898320562768,5.64667695934526e-06,2.05458357911946e-05
"77","202003_W4",2020-03-23,"長野県",2115167,5.36741570923024,11.3550490042034,2.15784438658757e-06,4.53576464969419e-06
"78","202003_W4",2020-03-23,"静岡県",3753875,3.47072616082679,18.6614477806217,6.33004601297584e-07,4.46552197775758e-06
"79","202004_W1",2020-03-30,"山梨県",842342,13.5885743308312,33.8985688194334,1.4618909284129e-05,3.75823441348274e-05
"80","202004_W1",2020-03-30,"栃木県",1977722,15.7377309493273,28.8665630976565,7.06556953760854e-06,1.28466935924747e-05
"81","202004_W1",2020-03-30,"群馬県",1967710,17.1517872859339,74.7272978284903,7.82589242936415e-06,3.64276326322768e-05
"82","202004_W1",2020-03-30,"茨城県",2876018,61.4452530258339,96.3671537110772,2.05913957442927e-05,3.21009841649299e-05
"83","202004_W1",2020-03-30,"長野県",2100567,10.7005795070101,26.4916453394095,4.39471423412937e-06,1.1383907851807e-05
"84","202004_W1",2020-03-30,"静岡県",3726802,18.1180326288984,45.8606735541504,4.42942069227128e-06,1.15628797684215e-05
"85","202004_W2",2020-04-06,"山梨県",837744,33.0846267451276,37.7779043665738,3.7803915131385e-05,4.26471625424373e-05
"86","202004_W2",2020-04-06,"栃木県",1978934,27.5734608695571,34.7627907563747,1.27314032787275e-05,1.593607292124e-05
"87","202004_W2",2020-04-06,"群馬県",1972124,73.8260104854561,98.3719486725031,3.64344060861905e-05,4.84643926876286e-05
"88","202004_W2",2020-04-06,"茨城県",2884750,95.8008738531593,81.0470816984347,3.21873018385658e-05,2.65619354158963e-05
"89","202004_W2",2020-04-06,"長野県",2100834,24.5576695786107,44.6359068759375,1.1067733144022e-05,2.05132949541953e-05
"90","202004_W2",2020-04-06,"静岡県",3719283,43.2762805141566,44.6774636158896,1.12375102566288e-05,1.13359677450885e-05
"91","202004_W3",2020-04-13,"山梨県",838280,37.346119496881,19.2361249715292,4.28993183852809e-05,2.09551183515462e-05
"92","202004_W3",2020-04-13,"栃木県",1976893,33.8886134613459,23.0224045946807,1.58813045615365e-05,1.04934787376783e-05
"93","202004_W3",2020-04-13,"群馬県",1978344,97.9139318900339,53.7281728701402,4.85856425315959e-05,2.60812193974268e-05
"94","202004_W3",2020-04-13,"茨城県",2901326,80.4902087680393,57.0087738656817,2.66085227310445e-05,1.8584496306229e-05
"95","202004_W3",2020-04-13,"長野県",2097832,43.4809214356036,39.8746529865803,2.03769431774855e-05,1.86929845085864e-05
"96","202004_W3",2020-04-13,"静岡県",3719842,42.1234066680758,28.242680618751,1.09577785710293e-05,7.16272959616225e-06
"97","202004_W4",2020-04-20,"山梨県",837264,18.8849638391092,8.48600123810606,2.10287666346477e-05,8.75946976546523e-06
"98","202004_W4",2020-04-20,"栃木県",1976227,22.4993487482897,10.3812745875205,1.0430437515085e-05,4.52723113250713e-06
"99","202004_W4",2020-04-20,"群馬県",1974279,53.5746648379035,25.904931634775,2.61875327189458e-05,1.23916492481038e-05
"100","202004_W4",2020-04-20,"茨城県",2903365,56.5720080157085,29.0762915887315,1.86041207999374e-05,9.3500584917974e-06
"101","202004_W4",2020-04-20,"長野県",2100844,39.542841200202,19.795291840028,1.86644283093503e-05,9.16157194753392e-06
"102","202004_W4",2020-04-20,"静岡県",3718639,26.8496713571005,24.4253163004864,6.95104598046594e-06,6.33611211398931e-06
"103","202004_W5",2020-04-27,"山梨県",837595,8.36683327828762,4.85199022596611,8.75962700752158e-06,5.0035876474167e-06
"104","202004_W5",2020-04-27,"栃木県",1975767,10.1876795480921,3.28859667038234,4.48169485408776e-06,1.21524126628565e-06
"105","202004_W5",2020-04-27,"群馬県",1973922,25.857087684445,7.30550756412614,1.24306995467336e-05,3.20991772715834e-06
"106","202004_W5",2020-04-27,"茨城県",2903315,28.9441832941316,8.84640315474259,9.37908598804867e-06,2.64514341478007e-06
"107","202004_W5",2020-04-27,"長野県",2105400,19.669563632975,9.98782471321885,9.13511341191725e-06,4.56826356617344e-06
"108","202004_W5",2020-04-27,"静岡県",3717371,24.0472570047905,11.7877960011525,6.27948545249969e-06,3.00220446417057e-06
"109","202005_W1",2020-05-04,"山梨県",835496,4.87931830488436,1.43135155006425,5.01068342616417e-06,1.27280379444282e-06
"110","202005_W1",2020-05-04,"栃木県",1972270,3.29590584778798,6.52725010231081,1.20913296726512e-06,3.12883461122941e-06
"111","202005_W1",2020-05-04,"群馬県",1971119,7.2709608742973,1.76142330885178,3.19888519289087e-06,6.21973949031342e-07
"112","202005_W1",2020-05-04,"茨城県",2900861,8.84413822326322,3.99449649671858,2.64556253648209e-06,1.17942027410402e-06
"113","202005_W1",2020-05-04,"長野県",2104381,10.004720814732,6.49148275321917,4.57709425503106e-06,3.01792562790027e-06
"114","202005_W1",2020-05-04,"静岡県",3711031,11.7293386650722,0.915837863116143,2.99386579119131e-06,1.26050334752638e-07
"115","202005_W2",2020-05-11,"山梨県",835355,1.48588666409297,4.2342275393872,1.27887921827115e-06,4.93131392348217e-06
"116","202005_W2",2020-05-11,"栃木県",1972121,6.52931852207085,8.14498324000259,3.12996943476109e-06,4.10243617743155e-06
"117","202005_W2",2020-05-11,"群馬県",1971121,1.73497762357014,2.33579582066303,6.16362278482647e-07,1.08275557220296e-06
"118","202005_W2",2020-05-11,"茨城県",2899821,4.0122582498823,0.589124965366031,1.17528606069245e-06,1.05523446497497e-07
"119","202005_W2",2020-05-11,"長野県",2102127,6.52844480606627,1.26771204551523,3.02108049595348e-06,5.50170322869917e-07
"120","202005_W2",2020-05-11,"静岡県",3720237,0.90866193762308,2.54608128136043,1.20873739412303e-07,6.41660666477286e-07
"121","202005_W3",2020-05-18,"山梨県",834969,4.2261139453909,7.13584853747009,4.93232332252456e-06,8.60104284047366e-06
"122","202005_W3",2020-05-18,"栃木県",1976230,8.12059251128104,5.09601647045923,4.09519728655102e-06,2.56544095261607e-06
"123","202005_W3",2020-05-18,"群馬県",1974935,2.32350114057706,2.18799255286963,1.0796602235942e-06,1.05421563974085e-06
"124","202005_W3",2020-05-18,"茨城県",2900399,0.593498091671831,0.38519416492792,1.06651117024948e-07,6.7837927492555e-08
"125","202005_W3",2020-05-18,"長野県",2102344,1.24407029587604,0.180338439243331,5.45917229937156e-07,5.69130203667419e-08
"126","202005_W3",2020-05-18,"静岡県",3722459,2.53647710878553,3.36700762127091,6.41691727180974e-07,9.06198980296303e-07
"127","202005_W4",2020-05-25,"山梨県",836981,7.13176935747469,7.16613690603868,8.5971477294979e-06,8.59905053384567e-06
"128","202005_W4",2020-05-25,"栃木県",1973159,5.08948323917341,2.19164167486058,2.56001190723342e-06,1.04260336500725e-06
"129","202005_W4",2020-05-25,"群馬県",1973313,2.20021768218335,2.18474793214222,1.05753334912243e-06,1.03828762760549e-06
"130","202005_W4",2020-05-25,"茨城県",2897934,0.414363464830026,0.455479808165123,7.60715487731415e-08,6.13983546220085e-08
"131","202005_W4",2020-05-25,"長野県",2099097,0.1688520135222,0.206279719488348,5.98805253402888e-08,5.77410934776966e-08
"132","202005_W4",2020-05-25,"静岡県",3722864,3.39771977297244,1.42469527588431,9.09179139020301e-07,3.56905861722253e-07
"133","202006_W1",2020-06-01,"山梨県",836579,7.17639080222559,7.21143439365613,8.58560261223961e-06,8.58486281157585e-06
"134","202006_W1",2020-06-01,"栃木県",1970890,2.20237010364366,1.29468632410586,1.04442722726557e-06,5.45337073436363e-07
"135","202006_W1",2020-06-01,"群馬県",1971661,2.19497562922747,2.27898600442583,1.03668224556379e-06,1.04338742550187e-06
"136","202006_W1",2020-06-01,"茨城県",2885364,0.483075521039612,0.6221739047123,6.41346481210074e-08,7.41212446995707e-08
"137","202006_W1",2020-06-01,"長野県",2104251,0.202658308994962,0.244680769395245,5.84260137017587e-08,6.02683595676263e-08
"138","202006_W1",2020-06-01,"静岡県",3724546,1.46308084437467,2.49735177306601,3.59710757683745e-07,6.33537344040433e-07
"139","202006_W2",2020-06-08,"山梨県",837829,7.21670043452241,5.35285642961674,8.53536042076807e-06,6.13326530891931e-06
"140","202006_W2",2020-06-08,"栃木県",1976843,1.3310651828664,0.468945184781739,5.47516144480088e-07,5.1289672298196e-08
"141","202006_W2",2020-06-08,"群馬県",1970623,2.31175054385628,0.498885724757851,1.04369074121316e-06,5.19927365001095e-08
"142","202006_W2",2020-06-08,"茨城県",2881468,0.669647104562719,2.73824445032678,7.87385239809349e-08,7.56681983228814e-07
"143","202006_W2",2020-06-08,"長野県",2101847,0.308207702134668,1.38126741795586,6.79019346489837e-08,5.48742448210246e-07
"144","202006_W2",2020-06-08,"静岡県",3724588,2.57065269935143,5.69284292301528,6.44738389452782e-07,1.46117492604131e-06
"145","202006_W3",2020-06-15,"山梨県",847227,5.34550046729919,3.58812334427798,6.09333008070698e-06,3.69200096987477e-06
"146","202006_W3",2020-06-15,"栃木県",1984353,0.501953654225062,8.60813861698653,5.5447591182721e-08,4.10978723983167e-06
"147","202006_W3",2020-06-15,"群馬県",1974242,0.527882789110322,2.02314445735168,5.59057408488149e-08,6.49560907071022e-07
"148","202006_W3",2020-06-15,"茨城県",2880287,2.77310318864656,6.270872774291,7.59791550984783e-07,1.87143736043008e-06
"149","202006_W3",2020-06-15,"長野県",2111630,1.4071840177137,1.58401980097764,5.55173169499011e-07,5.61690747922193e-07
"150","202006_W3",2020-06-15,"静岡県",3737514,5.7603155553462,4.11446811518473,1.46988895048995e-06,9.4468026339967e-07
"151","202006_W4",2020-06-22,"山梨県",852124,3.74360735219309,4.44895597145747,3.70049837420143e-06,3.76742417410671e-06
"152","202006_W4",2020-06-22,"栃木県",1990244,8.72133175399623,22.2906811130573,4.11020714239564e-06,1.07439716149513e-05
"153","202006_W4",2020-06-22,"群馬県",1979049,2.14119252735569,6.2711064932875,6.6310641173137e-07,2.35278037655369e-06
"154","202006_W4",2020-06-22,"茨城県",2876527,6.41700791514153,15.7617594724589,1.8800979655876e-06,4.80635280501454e-06
"155","202006_W4",2020-06-22,"長野県",2114271,1.68329354138063,1.29125350049209,5.73707773695725e-07,1.52816368028887e-07
"156","202006_W4",2020-06-22,"静岡県",3738637,4.2842359517459,8.45214874016762,9.59593212298258e-07,1.90209863592225e-06
"157","202007_W1",2020-06-29,"山梨県",838830,4.68597902102758,5.14436991779416,3.78259006647447e-06,2.70070462575859e-06
"158","202007_W1",2020-06-29,"栃木県",1979597,22.4745499227514,24.2532420256714,1.07550470849307e-05,1.09641823556761e-05
"159","202007_W1",2020-06-29,"群馬県",1969072,6.45838281748046,7.40302146473527,2.36868424204289e-06,2.08808100099337e-06
"160","202007_W1",2020-06-29,"茨城県",2868177,15.8621378902938,30.9699061957323,4.81545476679052e-06,9.44403006153435e-06
"161","202007_W1",2020-06-29,"長野県",2108921,1.47953989047669,3.67879320151375,1.74894149266982e-07,7.80861693400031e-07
"162","202007_W1",2020-06-29,"静岡県",3720802,8.76403495356871,19.0573191820885,1.92508829586603e-06,4.34375056811024e-06
"163","202007_W2",2020-07-06,"山梨県",840785,4.75845290943791,7.17310981970339,2.66386876979813e-06,4.01058868518293e-06
"164","202007_W2",2020-07-06,"栃木県",1973858,24.1539883522539,50.2573426949569,1.09545795251905e-05,2.37018052768389e-05
"165","202007_W2",2020-07-06,"群馬県",1971972,7.17974324374077,18.1009890351316,2.06274420458395e-06,6.89628160666269e-06
"166","202007_W2",2020-07-06,"茨城県",2868138,30.759131093224,49.3343497369008,9.41949584899563e-06,1.52581897508646e-05
"167","202007_W2",2020-07-06,"長野県",2106787,3.76711212895004,11.2348456410241,7.86386315547444e-07,3.88911078469201e-06
"168","202007_W2",2020-07-06,"静岡県",3721599,18.6763468508364,29.5390342547853,4.31290618592104e-06,6.84426523344285e-06
"169","202007_W3",2020-07-13,"山梨県",844704,6.80947659964012,14.7358808393047,3.9831017658468e-06,1.25375159451555e-05
"170","202007_W3",2020-07-13,"栃木県",1979978,49.9048352605117,72.5674405366228,2.3612983578779e-05,3.48181501853026e-05
"171","202007_W3",2020-07-13,"群馬県",1976549,18.0314874524673,31.2084786126008,6.89588355942774e-06,1.31389790461942e-05
"172","202007_W3",2020-07-13,"茨城県",2872777,49.3221750247811,52.7964127263325,1.52363978992505e-05,1.59917436171784e-05
"173","202007_W3",2020-07-13,"長野県",2112823,11.1840655380163,19.8431715118759,3.88536720607332e-06,7.58543591304644e-06
"174","202007_W3",2020-07-13,"静岡県",3734955,29.1652444908835,101.968067747503,6.81866096283118e-06,2.63448799210455e-05
"175","202007_W4",2020-07-20,"山梨県",879320,14.9675685395103,31.2260421185365,1.25925594959416e-05,3.08850395682762e-05
"176","202007_W4",2020-07-20,"栃木県",1997233,72.6851631519244,73.0672916170304,3.47813508091143e-05,3.42120221774139e-05
"177","202007_W4",2020-07-20,"群馬県",1984348,31.5903267101426,34.5937638461926,1.32005195154968e-05,1.40105323914229e-05
"178","202007_W4",2020-07-20,"茨城県",2888484,52.8019222848012,107.327865635883,1.5987150752702e-05,3.43691909110874e-05
"179","202007_W4",2020-07-20,"長野県",2170827,19.8941295452677,41.5380302180878,7.62098080491039e-06,1.73798059626527e-05
"180","202007_W4",2020-07-20,"静岡県",3772115,102.648599626048,215.263746920028,2.64456945079964e-05,5.66339904021555e-05
"181","202007_W5",2020-07-27,"山梨県",851215,34.6288617804456,55.1809997182122,3.11117096930189e-05,5.41651730054484e-05
"182","202007_W5",2020-07-27,"栃木県",1980791,75.4940892731863,94.7298751570671,3.4407128309864e-05,4.34486339274077e-05
"183","202007_W5",2020-07-27,"群馬県",1972168,36.6760958237162,60.1658718891393,1.42508292097661e-05,2.55398113200228e-05
"184","202007_W5",2020-07-27,"茨城県",2884234,108.710618383262,168.074853297114,3.45390175160903e-05,5.45859330428599e-05
"185","202007_W5",2020-07-27,"長野県",2129845,47.7159221621745,56.8706638304763,1.81932555783102e-05,2.19125011346414e-05
"186","202007_W5",2020-07-27,"静岡県",3736658,220.340976053347,207.433010365366,5.72128784926895e-05,5.3090292506356e-05
"187","202008_W1",2020-08-03,"山梨県",882321,55.8270233933323,48.7673668509622,5.42457341053113e-05,4.57527470941364e-05
"188","202008_W1",2020-08-03,"栃木県",1986576,94.4142979116166,88.7272433999291,4.34507278701513e-05,4.06452287704842e-05
"189","202008_W1",2020-08-03,"群馬県",1994398,60.2047211575177,116.003825568633,2.56813799971314e-05,5.46009346917224e-05
"190","202008_W1",2020-08-03,"茨城県",2881062,168.589342620851,144.172617072736,5.48647937344094e-05,4.64691106257539e-05
"191","202008_W1",2020-08-03,"長野県",2178406,58.1267536558456,49.6843011360831,2.20492609751741e-05,1.83184525308445e-05
"192","202008_W1",2020-08-03,"静岡県",3773321,206.163350181945,138.280030372056,5.28566321043548e-05,3.44327607805697e-05
"193","202008_W2",2020-08-10,"山梨県",917528,48.6710208343559,46.7725521275083,4.58703891848792e-05,4.55730953267469e-05
"194","202008_W2",2020-08-10,"栃木県",2012398,87.8075780910759,54.0731366034141,4.05931457907044e-05,2.38225469355747e-05
"195","202008_W2",2020-08-10,"群馬県",2003490,115.560579584931,159.310337996249,5.4547887494679e-05,7.77467543688418e-05
"196","202008_W2",2020-08-10,"茨城県",2873740,143.812009675777,117.934876616448,4.6679226209322e-05,3.80653633942214e-05
"197","202008_W2",2020-08-10,"長野県",2258628,48.1384590075334,55.40081360478,1.79720400756735e-05,2.25373881257668e-05
"198","202008_W2",2020-08-10,"静岡県",3790417,136.379847500272,98.9429008056084,3.4084132689157e-05,2.44883091768398e-05
"199","202008_W3",2020-08-17,"山梨県",871057,52.0922660003369,46.7188463222095,4.55445964344341e-05,4.10716078811826e-05
"200","202008_W3",2020-08-17,"栃木県",1987332,58.2032120723558,41.365572409443,2.42555396395298e-05,1.61197897937471e-05
"201","202008_W3",2020-08-17,"群馬県",1980373,161.987365514007,146.574498603896,7.74729366464224e-05,7.0093166191948e-05
"202","202008_W3",2020-08-17,"茨城県",2875530,119.581849750008,104.446641849651,3.81520801379257e-05,3.31942952817574e-05
"203","202008_W3",2020-08-17,"長野県",2140689,65.4086386316621,120.508256982987,2.40274532310954e-05,5.20701267084767e-05
"204","202008_W3",2020-08-17,"静岡県",3753123,107.372244448025,88.7603950693097,2.55316280169986e-05,2.0978465274495e-05
"205","202008_W4",2020-08-24,"山梨県",857197,46.2064563076535,20.9685498819656,4.06036459954167e-05,1.20905478903311e-05
"206","202008_W4",2020-08-24,"栃木県",1985525,41.292101206013,32.8634278860871,1.61591909083505e-05,1.26091592250635e-05
"207","202008_W4",2020-08-24,"群馬県",1979358,145.893092410919,108.592539758877,6.99009789304169e-05,5.15375555642836e-05
"208","202008_W4",2020-08-24,"茨城県",2869012,104.146828039414,89.650834188599,3.30676353629672e-05,2.85726826736647e-05
