"","Pref","Week","noftests"
"256","茨城県",2020-11-09,3906
"257","長野県",2020-11-09,13320
"258","静岡県",2020-11-09,26736
"259","山梨県",2020-11-16,2568
"260","栃木県",2020-11-16,20040
"261","群馬県",2020-11-16,6522
"262","茨城県",2020-11-16,5418
"263","長野県",2020-11-16,17898
"264","静岡県",2020-11-16,33618
"265","山梨県",2020-11-23,2700
"266","栃木県",2020-11-23,18432
"267","群馬県",2020-11-23,7680
"268","茨城県",2020-11-23,5424
"269","長野県",2020-11-23,17214
"270","静岡県",2020-11-23,32898
"271","山梨県",2020-11-30,1164
"272","栃木県",2020-11-30,23712
"273","群馬県",2020-11-30,12834
"274","茨城県",2020-11-30,4824
"275","長野県",2020-11-30,17964
"276","静岡県",2020-11-30,48108
"277","山梨県",2020-12-07,2604
"278","栃木県",2020-12-07,24624
"279","群馬県",2020-12-07,15054
"280","茨城県",2020-12-07,2862
"281","長野県",2020-12-07,21444
"282","静岡県",2020-12-07,53106
"283","山梨県",2020-12-14,930
"284","栃木県",2020-12-14,NA
"285","群馬県",2020-12-14,16614
"286","茨城県",2020-12-14,1902
"287","長野県",2020-12-14,23028
"288","静岡県",2020-12-14,50136
"289","山梨県",2020-12-21,720
"290","栃木県",2020-12-21,NA
"291","群馬県",2020-12-21,15696
"292","茨城県",2020-12-21,1770
"293","長野県",2020-12-21,21090
"294","静岡県",2020-12-21,50070
"295","山梨県",2020-12-28,888
"296","栃木県",2020-12-28,NA
"297","群馬県",2020-12-28,10914
"298","茨城県",2020-12-28,2502
"299","長野県",2020-12-28,31494
"300","静岡県",2020-12-28,39198
"301","山梨県",2021-01-04,5694
"302","栃木県",2021-01-04,NA
"303","群馬県",2021-01-04,25410
"304","茨城県",2021-01-04,6624
"305","長野県",2021-01-04,42660
"306","静岡県",2021-01-04,81864
"307","山梨県",2021-01-11,4452
"308","栃木県",2021-01-11,NA
"309","群馬県",2021-01-11,24726
"310","茨城県",2021-01-11,7992
"311","長野県",2021-01-11,58380
"312","静岡県",2021-01-11,72246
"313","山梨県",2021-01-18,1302
"314","栃木県",2021-01-18,NA
"315","群馬県",2021-01-18,22056
"316","茨城県",2021-01-18,7788
"317","長野県",2021-01-18,43824
"318","静岡県",2021-01-18,71676
"319","山梨県",2021-01-25,1776
"320","栃木県",2021-01-25,NA
"321","群馬県",2021-01-25,20568
"322","茨城県",2021-01-25,6168
"323","長野県",2021-01-25,42162
"324","静岡県",2021-01-25,83154
"325","山梨県",2021-02-01,624
"326","栃木県",2021-02-01,NA
"327","群馬県",2021-02-01,22530
"328","茨城県",2021-02-01,4524
"329","長野県",2021-02-01,30954
"330","静岡県",2021-02-01,69390
"331","山梨県",2021-02-08,822
"332","栃木県",2021-02-08,NA
"333","群馬県",2021-02-08,17550
"334","茨城県",2021-02-08,3252
"335","長野県",2021-02-08,22968
"336","静岡県",2021-02-08,63570
"337","山梨県",2021-02-15,678
"338","栃木県",2021-02-15,NA
"339","群馬県",2021-02-15,20082
"340","茨城県",2021-02-15,2178
"341","長野県",2021-02-15,21126
"342","静岡県",2021-02-15,66126
"343","山梨県",2021-02-22,324
"344","栃木県",2021-02-22,NA
"345","群馬県",2021-02-22,15996
"346","茨城県",2021-02-22,534
"347","長野県",2021-02-22,18990
"348","静岡県",2021-02-22,68940
"349","山梨県",2021-03-01,378
"350","栃木県",2021-03-01,NA
"351","群馬県",2021-03-01,16980
"352","茨城県",2021-03-01,1380
"353","長野県",2021-03-01,20220
"354","静岡県",2021-03-01,63816
"355","山梨県",2021-03-08,1020
"356","栃木県",2021-03-08,NA
"357","群馬県",2021-03-08,18876
"358","茨城県",2021-03-08,1836
"359","長野県",2021-03-08,19716
"360","静岡県",2021-03-08,68694
"361","山梨県",2021-03-15,438
"362","栃木県",2021-03-15,NA
"363","群馬県",2021-03-15,18552
"364","茨城県",2021-03-15,2808
"365","長野県",2021-03-15,23904
"366","静岡県",2021-03-15,64050
"367","山梨県",2021-03-22,612
"368","栃木県",2021-03-22,NA
"369","群馬県",2021-03-22,18996
"370","茨城県",2021-03-22,4530
"371","長野県",2021-03-22,30180
"372","静岡県",2021-03-22,63180
"373","山梨県",2021-03-29,1050
"374","栃木県",2021-03-29,NA
"375","群馬県",2021-03-29,22158
"376","茨城県",2021-03-29,3516
"377","長野県",2021-03-29,40638
"378","静岡県",2021-03-29,65022
"379","山梨県",2021-04-05,1200
"380","栃木県",2021-04-05,NA
"381","群馬県",2021-04-05,24420
"382","茨城県",2021-04-05,6120
"383","長野県",2021-04-05,41856
"384","静岡県",2021-04-05,59634
"385","山梨県",2021-04-12,2292
"386","栃木県",2021-04-12,NA
"387","群馬県",2021-04-12,24384
"388","茨城県",2021-04-12,4752
"389","長野県",2021-04-12,49116
"390","静岡県",2021-04-12,67596
"391","山梨県",2021-04-19,2796
"392","栃木県",2021-04-19,NA
"393","群馬県",2021-04-19,27270
"394","茨城県",2021-04-19,5736
"395","長野県",2021-04-19,46722
"396","静岡県",2021-04-19,68550
"397","山梨県",2021-04-26,2916
"398","栃木県",2021-04-26,NA
"399","群馬県",2021-04-26,27684
"400","茨城県",2021-04-26,7056
"401","長野県",2021-04-26,34200
"402","静岡県",2021-04-26,68604
"403","山梨県",2021-05-03,2496
"404","栃木県",2021-05-03,NA
"405","群馬県",2021-05-03,30540
"406","茨城県",2021-05-03,4488
"407","長野県",2021-05-03,38616
"408","静岡県",2021-05-03,73626
"409","山梨県",2021-05-10,3366
"410","栃木県",2021-05-10,NA
"411","群馬県",2021-05-10,37008
"412","茨城県",2021-05-10,4380
"413","長野県",2021-05-10,52518
"414","静岡県",2021-05-10,101226
"415","山梨県",2021-05-17,1950
"416","栃木県",2021-05-17,NA
"417","群馬県",2021-05-17,32934
"418","茨城県",2021-05-17,4470
"419","長野県",2021-05-17,53622
"420","静岡県",2021-05-17,85890
"421","山梨県",2021-05-24,1950
"422","栃木県",2021-05-24,NA
"423","群馬県",2021-05-24,30258
"424","茨城県",2021-05-24,3354
"425","長野県",2021-05-24,46902
"426","静岡県",2021-05-24,79182
"427","山梨県",2021-05-31,3438
"428","栃木県",2021-05-31,NA
"429","群馬県",2021-05-31,19236
"430","茨城県",2021-05-31,1788
"431","長野県",2021-05-31,43152
"432","静岡県",2021-05-31,74172
"433","山梨県",2021-06-07,5034
"434","栃木県",2021-06-07,NA
"435","群馬県",2021-06-07,17586
"436","茨城県",2021-06-07,1476
"437","長野県",2021-06-07,35730
"438","静岡県",2021-06-07,70638
"439","山梨県",2021-06-14,2562
"440","栃木県",2021-06-14,NA
"441","群馬県",2021-06-14,15714
"442","茨城県",2021-06-14,1098
"443","長野県",2021-06-14,30156
"444","静岡県",2021-06-14,64518
"445","山梨県",2021-06-21,5694
"446","栃木県",2021-06-21,26076
"447","群馬県",2021-06-21,14208
"448","茨城県",2021-06-21,1248
"449","長野県",2021-06-21,31884
"450","静岡県",2021-06-21,63696
"451","山梨県",2021-06-28,797
"452","栃木県",2021-06-28,3012
"453","群馬県",2021-06-28,7433
"454","茨城県",2021-06-28,1439
"455","長野県",2021-06-28,13903
"456","静岡県",2021-06-28,37770
