週,都道府県,居住都道府県,sum_pop
202001_W5,19:山梨県,29:奈良県,180
202001_W5,19:山梨県,30:和歌山県,34
202001_W5,19:山梨県,31:鳥取県,50
202001_W5,19:山梨県,32:島根県,24
202001_W5,19:山梨県,33:岡山県,44
202001_W5,19:山梨県,34:広島県,81
202001_W5,19:山梨県,35:山口県,217
202001_W5,19:山梨県,36:徳島県,49
202001_W5,19:山梨県,37:香川県,52
202001_W5,19:山梨県,38:愛媛県,75
202001_W5,19:山梨県,40:福岡県,136
202001_W5,19:山梨県,41:佐賀県,87
202001_W5,19:山梨県,42:長崎県,44
202001_W5,19:山梨県,43:熊本県,37
202001_W5,19:山梨県,44:大分県,6
202001_W5,19:山梨県,45:宮崎県,9
202001_W5,19:山梨県,46:鹿児島県,166
202001_W5,19:山梨県,47:沖縄県,98
202002_W1,19:山梨県,01:北海道,518
202002_W1,19:山梨県,02:青森県,104
202002_W1,19:山梨県,03:岩手県,190
202002_W1,19:山梨県,04:宮城県,435
202002_W1,19:山梨県,05:秋田県,334
202002_W1,19:山梨県,06:山形県,119
202002_W1,19:山梨県,07:福島県,308
202002_W1,19:山梨県,08:茨城県,1439
202002_W1,19:山梨県,09:栃木県,739
202002_W1,19:山梨県,10:群馬県,844
202002_W1,19:山梨県,11:埼玉県,5540
202002_W1,19:山梨県,12:千葉県,3579
202002_W1,19:山梨県,13:東京都,17802
202002_W1,19:山梨県,14:神奈川県,9339
202002_W1,19:山梨県,15:新潟県,319
202002_W1,19:山梨県,16:富山県,29
202002_W1,19:山梨県,17:石川県,124
202002_W1,19:山梨県,18:福井県,134
202002_W1,19:山梨県,19:山梨県,777724
202002_W1,19:山梨県,20:長野県,7185
202002_W1,19:山梨県,21:岐阜県,564
202002_W1,19:山梨県,22:静岡県,5191
202002_W1,19:山梨県,23:愛知県,1479
202002_W1,19:山梨県,24:三重県,173
202002_W1,19:山梨県,25:滋賀県,174
202002_W1,19:山梨県,26:京都府,188
202002_W1,19:山梨県,27:大阪府,890
202002_W1,19:山梨県,28:兵庫県,311
202002_W1,19:山梨県,29:奈良県,157
202002_W1,19:山梨県,30:和歌山県,36
202002_W1,19:山梨県,31:鳥取県,0
202002_W1,19:山梨県,32:島根県,0
202002_W1,19:山梨県,33:岡山県,120
202002_W1,19:山梨県,34:広島県,150
202002_W1,19:山梨県,35:山口県,116
202002_W1,19:山梨県,36:徳島県,19
202002_W1,19:山梨県,37:香川県,24
202002_W1,19:山梨県,38:愛媛県,87
202002_W1,19:山梨県,39:高知県,0
202002_W1,19:山梨県,40:福岡県,178
202002_W1,19:山梨県,41:佐賀県,126
202002_W1,19:山梨県,42:長崎県,37
202002_W1,19:山梨県,43:熊本県,115
202002_W1,19:山梨県,44:大分県,46
202002_W1,19:山梨県,46:鹿児島県,112
202002_W1,19:山梨県,47:沖縄県,139
202002_W2,19:山梨県,01:北海道,601
202002_W2,19:山梨県,02:青森県,64
202002_W2,19:山梨県,03:岩手県,90
202002_W2,19:山梨県,04:宮城県,458
202002_W2,19:山梨県,05:秋田県,192
202002_W2,19:山梨県,06:山形県,134
202002_W2,19:山梨県,07:福島県,198
202002_W2,19:山梨県,08:茨城県,1081
202002_W2,19:山梨県,09:栃木県,708
202002_W2,19:山梨県,10:群馬県,777
202002_W2,19:山梨県,11:埼玉県,5614
202002_W2,19:山梨県,12:千葉県,3502
202002_W2,19:山梨県,13:東京都,16605
202002_W2,19:山梨県,14:神奈川県,9757
202002_W2,19:山梨県,15:新潟県,543
202002_W2,19:山梨県,16:富山県,170
202002_W2,19:山梨県,17:石川県,127
202002_W2,19:山梨県,18:福井県,26
202002_W2,19:山梨県,19:山梨県,775415
202002_W2,19:山梨県,20:長野県,7909
202002_W2,19:山梨県,21:岐阜県,573
202002_W2,19:山梨県,22:静岡県,5448
202002_W2,19:山梨県,23:愛知県,1272
202002_W2,19:山梨県,24:三重県,274
202002_W2,19:山梨県,25:滋賀県,145
202002_W2,19:山梨県,26:京都府,288
202002_W2,19:山梨県,27:大阪府,627
202002_W2,19:山梨県,28:兵庫県,369
202002_W2,19:山梨県,29:奈良県,179
202002_W2,19:山梨県,30:和歌山県,40
202002_W2,19:山梨県,31:鳥取県,56
202002_W2,19:山梨県,32:島根県,36
202002_W2,19:山梨県,33:岡山県,179
202002_W2,19:山梨県,34:広島県,92
202002_W2,19:山梨県,35:山口県,0
202002_W2,19:山梨県,36:徳島県,7
202002_W2,19:山梨県,37:香川県,14
202002_W2,19:山梨県,38:愛媛県,13
202002_W2,19:山梨県,39:高知県,52
202002_W2,19:山梨県,40:福岡県,308
202002_W2,19:山梨県,41:佐賀県,96
202002_W2,19:山梨県,42:長崎県,5
202002_W2,19:山梨県,43:熊本県,186
202002_W2,19:山梨県,44:大分県,85
202002_W2,19:山梨県,45:宮崎県,7
202002_W2,19:山梨県,46:鹿児島県,11
202002_W2,19:山梨県,47:沖縄県,58
202002_W3,19:山梨県,01:北海道,1033
202002_W3,19:山梨県,02:青森県,136
202002_W3,19:山梨県,03:岩手県,147
202002_W3,19:山梨県,04:宮城県,285
202002_W3,19:山梨県,05:秋田県,338
202002_W3,19:山梨県,06:山形県,157
202002_W3,19:山梨県,07:福島県,326
202002_W3,19:山梨県,08:茨城県,1684
202002_W3,19:山梨県,09:栃木県,1344
202002_W3,19:山梨県,10:群馬県,1025
202002_W3,19:山梨県,11:埼玉県,6565
202002_W3,19:山梨県,12:千葉県,4106
202002_W3,19:山梨県,13:東京都,21059
202002_W3,19:山梨県,14:神奈川県,12495
202002_W3,19:山梨県,15:新潟県,732
202002_W3,19:山梨県,16:富山県,263
202002_W3,19:山梨県,17:石川県,125
202002_W3,19:山梨県,18:福井県,90
202002_W3,19:山梨県,19:山梨県,774462
202002_W3,19:山梨県,20:長野県,7793
202002_W3,19:山梨県,21:岐阜県,431
202002_W3,19:山梨県,22:静岡県,6121
202002_W3,19:山梨県,23:愛知県,1702
202002_W3,19:山梨県,24:三重県,169
202002_W3,19:山梨県,25:滋賀県,148
202002_W3,19:山梨県,26:京都府,378
202002_W3,19:山梨県,27:大阪府,1016
202002_W3,19:山梨県,28:兵庫県,538
202002_W3,19:山梨県,29:奈良県,372
202002_W3,19:山梨県,30:和歌山県,62
202002_W3,19:山梨県,31:鳥取県,18
202002_W3,19:山梨県,32:島根県,107
202002_W3,19:山梨県,33:岡山県,170
202002_W3,19:山梨県,34:広島県,187
202002_W3,19:山梨県,35:山口県,9
202002_W3,19:山梨県,36:徳島県,28
202002_W3,19:山梨県,37:香川県,12
202002_W3,19:山梨県,38:愛媛県,72
202002_W3,19:山梨県,39:高知県,111
202002_W3,19:山梨県,40:福岡県,380
202002_W3,19:山梨県,41:佐賀県,43
202002_W3,19:山梨県,42:長崎県,27
202002_W3,19:山梨県,43:熊本県,127
202002_W3,19:山梨県,44:大分県,1
202002_W3,19:山梨県,45:宮崎県,0
202002_W3,19:山梨県,46:鹿児島県,39
202002_W3,19:山梨県,47:沖縄県,30
202002_W4,19:山梨県,01:北海道,459
202002_W4,19:山梨県,02:青森県,74
202002_W4,19:山梨県,03:岩手県,93
202002_W4,19:山梨県,04:宮城県,321
202002_W4,19:山梨県,05:秋田県,174
202002_W4,19:山梨県,06:山形県,218
202002_W4,19:山梨県,07:福島県,276
202002_W4,19:山梨県,08:茨城県,843
202002_W4,19:山梨県,09:栃木県,1045
202002_W4,19:山梨県,10:群馬県,642
202002_W4,19:山梨県,11:埼玉県,5592
202002_W4,19:山梨県,12:千葉県,3306
202002_W4,19:山梨県,13:東京都,17451
202002_W4,19:山梨県,14:神奈川県,10294
202002_W4,19:山梨県,15:新潟県,216
202002_W4,19:山梨県,16:富山県,225
202002_W4,19:山梨県,17:石川県,133
202002_W4,19:山梨県,18:福井県,181
202002_W4,19:山梨県,19:山梨県,785168
202002_W4,19:山梨県,20:長野県,6173
202002_W4,19:山梨県,21:岐阜県,463
202002_W4,19:山梨県,22:静岡県,5417
202002_W4,19:山梨県,23:愛知県,1590
202002_W4,19:山梨県,24:三重県,88
202002_W4,19:山梨県,25:滋賀県,119
202002_W4,19:山梨県,26:京都府,343
202002_W4,19:山梨県,27:大阪府,813
202002_W4,19:山梨県,28:兵庫県,362
202002_W4,19:山梨県,29:奈良県,220
202002_W4,19:山梨県,30:和歌山県,56
202002_W4,19:山梨県,31:鳥取県,24
202002_W4,19:山梨県,32:島根県,85
202002_W4,19:山梨県,33:岡山県,47
202002_W4,19:山梨県,34:広島県,200
202002_W4,19:山梨県,35:山口県,13
202002_W4,19:山梨県,36:徳島県,69
202002_W4,19:山梨県,37:香川県,13
202002_W4,19:山梨県,38:愛媛県,43
202002_W4,19:山梨県,39:高知県,55
202002_W4,19:山梨県,40:福岡県,163
202002_W4,19:山梨県,41:佐賀県,63
202002_W4,19:山梨県,42:長崎県,26
202002_W4,19:山梨県,43:熊本県,199
202002_W4,19:山梨県,44:大分県,45
202002_W4,19:山梨県,45:宮崎県,2
202002_W4,19:山梨県,46:鹿児島県,21
202002_W4,19:山梨県,47:沖縄県,3
202003_W1,19:山梨県,01:北海道,444
202003_W1,19:山梨県,02:青森県,78
202003_W1,19:山梨県,03:岩手県,495
202003_W1,19:山梨県,04:宮城県,189
202003_W1,19:山梨県,05:秋田県,35
202003_W1,19:山梨県,06:山形県,92
202003_W1,19:山梨県,07:福島県,326
202003_W1,19:山梨県,08:茨城県,1262
202003_W1,19:山梨県,09:栃木県,499
202003_W1,19:山梨県,10:群馬県,862
202003_W1,19:山梨県,11:埼玉県,4759
202003_W1,19:山梨県,12:千葉県,2839
202003_W1,19:山梨県,13:東京都,15108
202003_W1,19:山梨県,14:神奈川県,8312
202003_W1,19:山梨県,15:新潟県,263
202003_W1,19:山梨県,16:富山県,369
202003_W1,19:山梨県,17:石川県,33
202003_W1,19:山梨県,18:福井県,56
202003_W1,19:山梨県,19:山梨県,787451
202003_W1,19:山梨県,20:長野県,5561
202003_W1,19:山梨県,21:岐阜県,322
202003_W1,19:山梨県,22:静岡県,4943
202003_W1,19:山梨県,23:愛知県,1280
202003_W1,19:山梨県,24:三重県,69
202003_W1,19:山梨県,25:滋賀県,190
202003_W1,19:山梨県,26:京都府,173
202003_W1,19:山梨県,27:大阪府,516
202003_W1,19:山梨県,28:兵庫県,218
202003_W1,19:山梨県,29:奈良県,84
202003_W1,19:山梨県,30:和歌山県,83
202003_W1,19:山梨県,31:鳥取県,6
202003_W1,19:山梨県,33:岡山県,102
202003_W1,19:山梨県,34:広島県,16
202003_W1,19:山梨県,35:山口県,7
202003_W1,19:山梨県,36:徳島県,9
202003_W1,19:山梨県,37:香川県,31
202003_W1,19:山梨県,38:愛媛県,18
202003_W1,19:山梨県,39:高知県,38
202003_W1,19:山梨県,40:福岡県,81
202003_W1,19:山梨県,41:佐賀県,1
202003_W1,19:山梨県,42:長崎県,0
202003_W1,19:山梨県,43:熊本県,200
202003_W1,19:山梨県,44:大分県,0
202003_W1,19:山梨県,47:沖縄県,2
202003_W2,19:山梨県,01:北海道,826
202003_W2,19:山梨県,02:青森県,193
202003_W2,19:山梨県,03:岩手県,553
202003_W2,19:山梨県,04:宮城県,201
202003_W2,19:山梨県,05:秋田県,9
202003_W2,19:山梨県,06:山形県,463
