date,pref,NSHR,M15,M20,M30,M40,M50,M60,M70,F15,F20,F30,F40,F50,F60,F70
2020-01-03,宮城県,0.394288,0.465867,0.55693,0.471284,0.487013,0.521562,0.450282,0.322502,0.483809,0.393828,0.335307,0.407747,0.418542,0.302832,0.298556
2020-01-03,宮崎県,0.002122,0.393054,0.447831,0.358086,0.361734,0.400694,0.354117,0.238043,0.117623,0.34447,0.300886,0.319541,0.371001,0.283265,0.254693
2020-01-03,富山県,1.81e-4,0.5754,0.499622,0.477253,0.499044,0.516375,0.48967,0.350118,0.47648,0.381147,0.356176,0.454744,0.471418,0.361556,0.320872
2020-01-03,山口県,-0.073969,0.469588,0.482789,0.413444,0.432372,0.485113,0.43504,0.323014,0.316705,0.313542,0.299155,0.370908,0.382513,0.332267,0.325709
2020-01-03,山形県,-0.22956,0.545843,0.405577,0.33711,0.383028,0.448302,0.37706,0.316723,0.390157,0.243065,0.294307,0.34841,0.384488,0.332404,0.306185
2020-01-03,山梨県,-0.153951,0.456447,0.429533,0.395244,0.402051,0.446906,0.39724,0.313232,0.439733,0.292364,0.251217,0.344932,0.37827,0.270061,0.268403
2020-01-03,岐阜県,-0.136422,0.447378,0.371555,0.388543,0.409864,0.462096,0.425504,0.30658,0.390242,0.267316,0.282909,0.367462,0.3701,0.321229,0.286804
2020-01-03,岡山県,0.061885,0.516893,0.495002,0.441774,0.460162,0.482268,0.45918,0.340282,0.431417,0.340212,0.329173,0.393851,0.427691,0.35942,0.321506
2020-01-03,岩手県,-0.121146,0.412138,0.450674,0.399391,0.409754,0.438903,0.390744,0.292819,0.343234,0.300486,0.326772,0.367255,0.386171,0.334713,0.283112
2020-01-03,島根県,-0.303149,0.543525,0.516619,0.452482,0.447288,0.480979,0.454951,0.397839,0.310728,0.337657,0.441423,0.446049,0.500072,0.377864,0.446961
2020-01-03,広島県,0.308582,0.480832,0.523445,0.484404,0.473974,0.515247,0.480865,0.375081,0.382627,0.325715,0.337714,0.388281,0.432401,0.354076,0.388444
2020-01-03,徳島県,-0.279086,0.480294,0.316095,0.338332,0.385341,0.459262,0.376228,0.209789,0.354662,0.272361,0.252111,0.366976,0.39095800000000003,0.297494,0.271572
2020-01-03,愛媛県,-0.172848,0.348905,0.466974,0.377634,0.412653,0.428126,0.401942,0.318367,0.265062,0.281954,0.284984,0.318919,0.367906,0.294705,0.297774
2020-01-03,愛知県,0.421355,0.529202,0.562134,0.530723,0.502179,0.52289,0.464854,0.310774,0.477496,0.375718,0.331366,0.379795,0.398371,0.307321,0.262281
2020-01-03,新潟県,-0.227913,0.533014,0.451962,0.392541,0.429379,0.464742,0.441918,0.3877,0.475259,0.239375,0.286213,0.378384,0.39512,0.33794,0.329685
2020-01-03,東京都,0.71898,0.465001,0.605133,0.574851,0.538237,0.551908,0.490314,0.352987,0.392346,0.517514,0.498628,0.472316,0.475305,0.378106,0.309381
2020-01-03,栃木県,0.038324,0.47467,0.503829,0.447078,0.434053,0.481007,0.417675,0.275124,0.450704,0.299008,0.279604,0.353483,0.362942,0.272403,0.264289
2020-01-03,沖縄県,0.169842,0.599639,0.627264,0.496272,0.460493,0.485716,0.421557,0.278133,0.530907,0.443389,0.36958,0.418666,0.407471,0.279858,0.256906
2020-01-03,滋賀県,0.221221,0.523415,0.487065,0.419643,0.425948,0.488636,0.45132,0.34855,0.42118,0.34674,0.298858,0.411997,0.425761,0.363262,0.323133
2020-01-03,熊本県,-0.059714,0.406382,0.433379,0.363464,0.385366,0.415241,0.365944,0.262769,0.346501,0.265864,0.260965,0.338898,0.346887,0.282212,0.264917
2020-01-03,石川県,0.071101,0.629294,0.588943,0.48163,0.490694,0.539047,0.464216,0.315856,0.515386,0.408336,0.356329,0.441704,0.427387,0.320009,0.293509
2020-01-03,神奈川県,0.61345,0.534689,0.586215,0.565757,0.556322,0.582893,0.54849,0.438448,0.443932,0.456118,0.439398,0.449203,0.468666,0.394584,0.37872
2020-01-03,福井県,-0.240754,0.469893,0.452164,0.405192,0.40812,0.486638,0.418271,0.320912,0.450677,0.244837,0.284044,0.381773,0.384403,0.2691,0.285211
2020-01-03,福岡県,0.349447,0.506809,0.501317,0.444293,0.45798,0.505419,0.4556,0.352197,0.405415,0.371415,0.349264,0.402983,0.432603,0.341355,0.325454
