"","公表日","city","Nofcases"
"322",2020-05-17,"都留市",0
"323",2020-05-17,"韮崎市",0
"324",2020-05-17,"鳴沢村",0
"325",2020-05-24,"上野原市",0.028
"326",2020-05-24,"中央市",0.703
"327",2020-05-24,"丹波山村",0.001
"328",2020-05-24,"北杜市",0.056
"329",2020-05-24,"南アルプス市",0.087
"330",2020-05-24,"南部町",0.009
"331",2020-05-24,"大月市",0.029
"332",2020-05-24,"富士吉田市",0.059
"333",2020-05-24,"富士川町",0.018
"334",2020-05-24,"富士河口湖町",0.032
"335",2020-05-24,"小菅村",0.001
"336",2020-05-24,"山中湖村",0.007
"337",2020-05-24,"山梨市",0.042
"338",2020-05-24,"市川三郷町",0.354
"339",2020-05-24,"忍野村",0.012
"340",2020-05-24,"早川町",0.001
"341",2020-05-24,"昭和町",0.025
"342",2020-05-24,"甲州市",0.038
"343",2020-05-24,"甲府市",1.228
"344",2020-05-24,"甲斐市",1.092
"345",2020-05-24,"笛吹市",0.084
"346",2020-05-24,"西桂町",0.005
"347",2020-05-24,"身延町",0.014
"348",2020-05-24,"道志村",0.002
"349",2020-05-24,"都留市",0.036
"350",2020-05-24,"韮崎市",0.035
"351",2020-05-24,"鳴沢村",0.004
"352",2020-05-31,"上野原市",0
"353",2020-05-31,"中央市",0
"354",2020-05-31,"丹波山村",0
"355",2020-05-31,"北杜市",0.694
"356",2020-05-31,"南アルプス市",0
"357",2020-05-31,"南部町",0
"358",2020-05-31,"大月市",0
"359",2020-05-31,"富士吉田市",0.645
"360",2020-05-31,"富士川町",0
"361",2020-05-31,"富士河口湖町",0.355
"362",2020-05-31,"小菅村",0
"363",2020-05-31,"山中湖村",0
"364",2020-05-31,"山梨市",0
"365",2020-05-31,"市川三郷町",0
"366",2020-05-31,"忍野村",0
"367",2020-05-31,"早川町",0
"368",2020-05-31,"昭和町",0.306
"369",2020-05-31,"甲州市",0
"370",2020-05-31,"甲府市",0
"371",2020-05-31,"甲斐市",0
"372",2020-05-31,"笛吹市",0
"373",2020-05-31,"西桂町",0
"374",2020-05-31,"身延町",0
"375",2020-05-31,"道志村",0
