"","city","公表日","Nofcases","cum_cases"
"192","都留市",2020-03-13,0,0.072
"193","山梨市",2020-03-13,0,0.084
"194","大月市",2020-03-13,0,0.058
"195","韮崎市",2020-03-13,0,0.07
"196","南アルプス市",2020-03-13,0,0.174
"197","北杜市",2020-03-13,0,0.112
"198","甲斐市",2020-03-13,0,0.184
"199","笛吹市",2020-03-13,0,0.168
"200","上野原市",2020-03-13,0,0.056
"201","甲州市",2020-03-13,0,0.076
"202","中央市",2020-03-13,0,0.076
"203","市川三郷町",2020-03-13,0,0.038
"204","早川町",2020-03-13,0,0.002
"205","身延町",2020-03-13,0,0.028
"206","南部町",2020-03-13,0,0.018
"207","富士川町",2020-03-13,0,0.036
"208","昭和町",2020-03-13,0,0.05
"209","道志村",2020-03-13,0,0.004
"210","西桂町",2020-03-13,0,0.01
"211","忍野村",2020-03-13,0,0.024
"212","山中湖村",2020-03-13,0,0.014
"213","鳴沢村",2020-03-13,0,0.008
"214","富士河口湖町",2020-03-13,0,0.064
"215","小菅村",2020-03-13,0,0.002
"216","丹波山村",2020-03-13,0,0.002
"217","甲府市",2020-03-14,0,0.456
"218","富士吉田市",2020-03-14,0,0.118
"219","都留市",2020-03-14,0,0.072
"220","山梨市",2020-03-14,0,0.084
"221","大月市",2020-03-14,0,0.058
"222","韮崎市",2020-03-14,0,0.07
"223","南アルプス市",2020-03-14,0,0.174
"224","北杜市",2020-03-14,0,0.112
"225","甲斐市",2020-03-14,0,0.184
"226","笛吹市",2020-03-14,0,0.168
"227","上野原市",2020-03-14,0,0.056
"228","甲州市",2020-03-14,0,0.076
"229","中央市",2020-03-14,0,0.076
"230","市川三郷町",2020-03-14,0,0.038
"231","早川町",2020-03-14,0,0.002
"232","身延町",2020-03-14,0,0.028
"233","南部町",2020-03-14,0,0.018
"234","富士川町",2020-03-14,0,0.036
"235","昭和町",2020-03-14,0,0.05
"236","道志村",2020-03-14,0,0.004
"237","西桂町",2020-03-14,0,0.01
"238","忍野村",2020-03-14,0,0.024
