date,type,customers
2020-03-14,actual,50.611111111111114
2020-03-15,fitted,47.27300521301286
2020-03-15,counterfactual,47.27300521301433
2020-03-15,actual,43.44444444444444
2020-03-16,fitted,26.898295241840152
2020-03-16,counterfactual,26.898295241840472
2020-03-16,actual,25.666666666666668
2020-03-17,fitted,31.72038709543057
2020-03-17,counterfactual,31.72038709543012
2020-03-17,actual,28.333333333333332
2020-03-18,fitted,33.6964000550788
2020-03-18,counterfactual,33.696400055079316
2020-03-18,actual,25.61111111111111
2020-03-19,fitted,46.736512255715155
2020-03-19,counterfactual,46.736512255717834
2020-03-19,actual,44.94444444444444
2020-03-20,fitted,60.27920953115293
2020-03-20,counterfactual,60.27920953115149
2020-03-20,actual,63.111111111111114
2020-03-21,fitted,67.26390053534628
2020-03-21,counterfactual,67.26390053534872
2020-03-21,actual,65.72222222222223
2020-03-22,fitted,47.9461466433959
2020-03-22,counterfactual,47.946146643394194
2020-03-22,actual,43.888888888888886
2020-03-23,fitted,29.169986612445086
2020-03-23,counterfactual,29.169986612445047
2020-03-23,actual,29.833333333333332
2020-03-24,fitted,33.13685385957366
2020-03-24,counterfactual,33.13685385957395
2020-03-24,actual,24
2020-03-25,fitted,36.3802763319119
2020-03-25,counterfactual,36.380276331910636
2020-03-25,actual,31.61111111111111
2020-03-26,fitted,39.1567603786862
2020-03-26,counterfactual,39.15676037868744
2020-03-26,actual,47.5
2020-03-27,fitted,45.83622441461909
2020-03-27,counterfactual,45.83622441461909
2020-03-27,actual,45.5
2020-03-28,fitted,52.617337164219315
2020-03-28,counterfactual,52.617337164223564
2020-03-28,actual,48.666666666666664
2020-03-29,fitted,32.10402138962004
2020-03-29,counterfactual,32.104021389619966
2020-03-29,actual,34.77777777777778
2020-03-30,fitted,25.40023333938325
2020-03-30,counterfactual,25.4002333393836
2020-03-30,actual,26.444444444444443
2020-03-31,fitted,24.624349141659287
2020-03-31,counterfactual,24.62434914165966
2020-03-31,actual,17.72222222222222
2020-04-01,fitted,20.180681151475323
2020-04-01,counterfactual,20.180681151475476
2020-04-01,actual,20
2020-04-02,fitted,20.820147595016696
2020-04-02,counterfactual,20.82014759501688
2020-04-02,actual,20.444444444444443
2020-04-03,fitted,26.62616039022101
2020-04-03,counterfactual,26.62616039022135
2020-04-03,actual,25.333333333333332
2020-04-04,fitted,35.72787224106553
2020-04-04,counterfactual,35.727872241065135
2020-04-04,actual,36.94444444444444
2020-04-05,fitted,26.615851440647504
2020-04-05,counterfactual,26.615851440647702
2020-04-05,actual,26.27777777777778
2020-04-06,fitted,15.988158612219022
2020-04-06,counterfactual,15.98815861221925
2020-04-06,actual,17.72222222222222
2020-04-07,fitted,16.7295092549487
2020-04-07,counterfactual,16.729509254948717
2020-04-07,actual,12.833333333333334
2020-04-08,fitted,17.759201677041663
2020-04-08,counterfactual,17.759201677041908
2020-04-08,actual,22.055555555555557
2020-04-09,fitted,16.765045204211443
2020-04-09,counterfactual,16.765045204211503
2020-04-09,actual,17.88888888888889
2020-04-10,fitted,20.727392518440187
2020-04-10,counterfactual,20.7273925184405
2020-04-10,actual,18.77777777777778
2020-04-11,fitted,25.202186280503913
2020-04-11,counterfactual,25.202186280504115
2020-04-11,actual,26.22222222222222
2020-04-12,fitted,18.250964241385432
2020-04-12,counterfactual,18.250964241385635
2020-04-12,actual,25.666666666666668
2020-04-13,fitted,9.26336345777493
2020-04-13,counterfactual,9.263363457775009
2020-04-13,actual,10.38888888888889
