"date","Sales","type","week"
2019-04-16,90270.9663063959,"fitted",2019-04-15
2019-04-17,91319.2777777778,"actual",2019-04-15
2019-04-17,205396.225282351,"counterfactual",2019-04-15
2019-04-17,97119.998210896,"fitted",2019-04-15
2019-04-18,104264.833333333,"actual",2019-04-15
2019-04-18,115186.290466928,"counterfactual",2019-04-15
2019-04-18,103604.917242811,"fitted",2019-04-15
2019-04-19,162998.722222222,"actual",2019-04-15
2019-04-19,76190.2055124587,"counterfactual",2019-04-15
2019-04-19,176993.657041834,"fitted",2019-04-15
2019-04-20,198220.944444444,"actual",2019-04-15
2019-04-20,90270.9663063964,"counterfactual",2019-04-15
2019-04-20,207952.685287031,"fitted",2019-04-15
2019-04-21,168913.111111111,"actual",2019-04-15
2019-04-21,97119.998210897,"counterfactual",2019-04-15
2019-04-21,128456.868378714,"fitted",2019-04-15
2019-04-22,106377.666666667,"actual",2019-04-22
2019-04-22,103604.917242813,"counterfactual",2019-04-22
2019-04-22,79279.9544027133,"fitted",2019-04-22
2019-04-23,106187.111111111,"actual",2019-04-22
2019-04-23,176993.657041835,"counterfactual",2019-04-22
2019-04-23,98871.9699345279,"fitted",2019-04-22
2019-04-24,97282.6111111111,"actual",2019-04-22
2019-04-24,207952.685287033,"counterfactual",2019-04-22
2019-04-24,98853.2531174739,"fitted",2019-04-22
2019-04-25,85926.2222222222,"actual",2019-04-22
2019-04-25,128456.868378716,"counterfactual",2019-04-22
2019-04-25,102238.647598647,"fitted",2019-04-22
2019-04-26,174547.944444444,"actual",2019-04-22
2019-04-26,79279.9544027142,"counterfactual",2019-04-22
2019-04-26,182425.191899866,"fitted",2019-04-22
2019-04-27,178309.555555556,"actual",2019-04-22
2019-04-27,98871.9699345288,"counterfactual",2019-04-22
2019-04-27,201550.830176203,"fitted",2019-04-22
2019-04-28,206400.222222222,"actual",2019-04-22
2019-04-28,98853.2531174748,"counterfactual",2019-04-22
2019-04-28,194819.989174157,"fitted",2019-04-22
2019-04-29,201232.277777778,"actual",2019-04-29
2019-04-29,102238.647598649,"counterfactual",2019-04-29
2019-04-29,185543.796405637,"fitted",2019-04-29
2019-04-30,172029.777777778,"actual",2019-04-29
2019-04-30,182425.191899869,"counterfactual",2019-04-29
2019-04-30,187426.806716614,"fitted",2019-04-29
2019-05-01,195373.222222222,"actual",2019-04-29
2019-05-01,201550.830176209,"counterfactual",2019-04-29
2019-05-01,187573.711760307,"fitted",2019-04-29
2019-05-02,196817.222222222,"actual",2019-04-29
2019-05-02,194819.989174159,"counterfactual",2019-04-29
2019-05-02,199685.256256109,"fitted",2019-04-29
2019-05-03,207107.722222222,"actual",2019-04-29
2019-05-03,185543.79640564,"counterfactual",2019-04-29
2019-05-03,205698.134485368,"fitted",2019-04-29
2019-05-04,196867.5,"actual",2019-04-29
2019-05-04,187426.806716616,"counterfactual",2019-04-29
2019-05-04,205611.091323445,"fitted",2019-04-29
2019-05-05,175912.888888889,"actual",2019-04-29
2019-05-05,187573.711760306,"counterfactual",2019-04-29
2019-05-05,174892.612845077,"fitted",2019-04-29
2019-05-06,106809.833333333,"actual",2019-05-06
2019-05-06,199685.256256112,"counterfactual",2019-05-06
2019-05-06,94657.5259483647,"fitted",2019-05-06
2019-05-07,66557.7222222222,"actual",2019-05-06
2019-05-07,205698.134485371,"counterfactual",2019-05-06
2019-05-07,59399.9998119125,"fitted",2019-05-06
2019-05-08,71531.9444444444,"actual",2019-05-06
2019-05-08,205611.091323449,"counterfactual",2019-05-06
2019-05-08,74638.7781779101,"fitted",2019-05-06
2019-05-09,84632.1666666667,"actual",2019-05-06
2019-05-09,174892.612845077,"counterfactual",2019-05-06
2019-05-09,81524.608470532,"fitted",2019-05-06
2019-05-10,156225.333333333,"actual",2019-05-06
2019-05-10,94657.5259483659,"counterfactual",2019-05-06
2019-05-10,145014.980948444,"fitted",2019-05-06
2019-05-11,185488.888888889,"actual",2019-05-06
2019-05-11,59399.9998119131,"counterfactual",2019-05-06
2019-05-11,179812.846950558,"fitted",2019-05-06
2019-05-12,133791.222222222,"actual",2019-05-06
2019-05-12,74638.778177911,"counterfactual",2019-05-06
2019-05-12,128084.716410084,"fitted",2019-05-06
2019-05-13,90713.5,"actual",2019-05-13
2019-05-13,81524.6084705333,"counterfactual",2019-05-13
2019-05-13,72084.878732158,"fitted",2019-05-13
2019-05-14,80277.3888888889,"actual",2019-05-13
2019-05-14,145014.980948446,"counterfactual",2019-05-13
2019-05-14,80999.0949444554,"fitted",2019-05-13
2019-05-15,102948.444444444,"actual",2019-05-13
2019-05-15,179812.84695056,"counterfactual",2019-05-13
2019-05-15,94972.412234595,"fitted",2019-05-13
2019-05-16,101495.555555556,"actual",2019-05-13
2019-05-16,128084.716410086,"counterfactual",2019-05-13
2019-05-16,90951.3416816023,"fitted",2019-05-13
2019-05-17,150901.944444444,"actual",2019-05-13
2019-05-17,72084.8787321585,"counterfactual",2019-05-13
2019-05-17,153887.400585383,"fitted",2019-05-13
2019-05-18,175709.166666667,"actual",2019-05-13
2019-05-18,80999.0949444557,"counterfactual",2019-05-13
2019-05-18,189482.299077928,"fitted",2019-05-13
2019-05-19,126101,"actual",2019-05-13
2019-05-19,94972.412234596,"counterfactual",2019-05-13
2019-05-19,119014.879049405,"fitted",2019-05-13
2019-05-20,77256.1666666667,"actual",2019-05-20
2019-05-20,90951.3416816034,"counterfactual",2019-05-20
2019-05-20,67062.5585129492,"fitted",2019-05-20
2019-05-21,64422.1666666667,"actual",2019-05-20
2019-05-21,153887.400585386,"counterfactual",2019-05-20
2019-05-21,80627.2550849642,"fitted",2019-05-20
2019-05-22,85100,"actual",2019-05-20
2019-05-22,189482.299077932,"counterfactual",2019-05-20
2019-05-22,91359.91012469,"fitted",2019-05-20
2019-05-23,87096.6111111111,"actual",2019-05-20
2019-05-23,119014.879049407,"counterfactual",2019-05-20
2019-05-23,88562.7315610178,"fitted",2019-05-20
2019-05-24,139719.444444444,"actual",2019-05-20
2019-05-24,67062.5585129504,"counterfactual",2019-05-20
2019-05-24,157902.120363423,"fitted",2019-05-20
