week,type,sales_per
2019-05-20,counterfactual,793841.8970634739
2019-05-20,fitted,793841.8970633855
2019-05-27,actual,792000.5
2019-05-27,counterfactual,806963.6511534232
2019-05-27,fitted,806963.6511533335
2019-06-03,actual,777806.3888888889
2019-06-03,counterfactual,769469.0267508434
2019-06-03,fitted,769469.0267508144
2019-06-10,actual,826038.3333333334
2019-06-10,counterfactual,817294.4405867275
2019-06-10,fitted,817294.4405866815
2019-06-17,actual,837726.7777777778
2019-06-17,counterfactual,832840.1874721282
2019-06-17,fitted,832840.1874720851
2019-06-24,actual,841229.5
2019-06-24,counterfactual,868750.2103607943
2019-06-24,fitted,868750.210360729
2019-07-01,actual,781339.5555555555
2019-07-01,counterfactual,793926.7895422375
2019-07-01,fitted,793926.7895422125
2019-07-08,actual,837980.8333333333
2019-07-08,counterfactual,888720.4933144704
2019-07-08,fitted,888720.4933144434
2019-07-15,actual,829787.111111111
2019-07-15,counterfactual,849748.9895738898
2019-07-15,fitted,849748.9895738536
2019-07-22,actual,883633.2777777778
2019-07-22,counterfactual,887562.779913565
2019-07-22,fitted,887562.7799135394
2019-07-29,actual,876092.8888888889
2019-07-29,counterfactual,859200.4242881138
2019-07-29,fitted,859200.4242880753
2019-08-05,actual,1014256.1111111111
2019-08-05,counterfactual,984086.2008987641
2019-08-05,fitted,984086.2008987163
2019-08-12,actual,1263228.5
2019-08-12,counterfactual,1153467.7965329455
2019-08-12,fitted,1153467.7965328603
2019-08-19,actual,889084.7222222222
2019-08-19,counterfactual,842102.2971244028
2019-08-19,fitted,842102.2971243588
2019-08-26,actual,887949.2222222222
2019-08-26,counterfactual,849837.1794347351
2019-08-26,fitted,849837.1794346749
2019-09-02,actual,842164.6666666666
2019-09-02,counterfactual,750487.2911720829
2019-09-02,fitted,750487.2911720475
2019-09-09,actual,871193.3333333333
2019-09-09,counterfactual,836352.7761819713
2019-09-09,fitted,836352.7761819161
2019-09-16,actual,923742.2222222222
2019-09-16,counterfactual,848106.3149973074
2019-09-16,fitted,848106.3149972936
2019-09-23,actual,896451.3888888889
2019-09-23,counterfactual,840687.0601196976
2019-09-23,fitted,840687.0601196623
2019-09-30,actual,778115.7222222222
2019-09-30,counterfactual,770874.3371106359
2019-09-30,fitted,770874.3371106155
2019-10-07,actual,591559.5555555555
2019-10-07,counterfactual,592577.8526628487
2019-10-07,fitted,592577.8526628138
2019-10-14,actual,766942.1111111111
2019-10-14,counterfactual,764452.3018227222
2019-10-14,fitted,764452.301822685
2019-10-21,actual,879103.6666666666
2019-10-21,counterfactual,830362.9406640147
2019-10-21,fitted,830362.9406639775
2019-10-28,actual,864188.4444444445
2019-10-28,counterfactual,839326.835306655
2019-10-28,fitted,839326.8353066487
2019-11-04,actual,873351.2777777778
2019-11-04,counterfactual,798334.1137665175
2019-11-04,fitted,798334.1137664937
2019-11-11,actual,872799.5
2019-11-11,counterfactual,807979.0975640985
2019-11-11,fitted,807979.0975640328
2019-11-18,actual,938551.8888888889
2019-11-18,counterfactual,848574.0651180914
2019-11-18,fitted,848574.0651180737
2019-11-25,actual,911316.1111111111
2019-11-25,counterfactual,855538.0694798579
2019-11-25,fitted,855538.069479787
2019-12-02,actual,889358.4444444445
2019-12-02,counterfactual,895092.6183971836
2019-12-02,fitted,895092.6183971416
2019-12-09,actual,988296.3888888889
2019-12-09,counterfactual,1016152.7706223314
