"week","type","customers"
2020-02-03,"fitted",292.149950143415
2020-02-10,"actual",272.722222222222
2020-02-10,"counterfactual",315.88237600088
2020-02-10,"fitted",315.882376000882
2020-02-17,"actual",265.055555555556
2020-02-17,"counterfactual",315.555908444152
2020-02-17,"fitted",315.555908444155
2020-02-24,"actual",263.222222222222
2020-02-24,"counterfactual",288.737939622112
2020-02-24,"fitted",288.737939622115
2020-03-02,"actual",205.944444444444
2020-03-02,"counterfactual",246.252674880293
2020-03-02,"fitted",246.252674880296
2020-03-09,"actual",221.333333333333
2020-03-09,"counterfactual",269.185866707958
2020-03-09,"fitted",269.18586670796
2020-03-16,"actual",297.277777777778
2020-03-16,"counterfactual",323.662387106943
2020-03-16,"fitted",323.662387106947
2020-03-23,"actual",261.888888888889
2020-03-23,"counterfactual",277.390701425971
2020-03-23,"fitted",277.390701425974
2020-03-30,"actual",173.166666666667
2020-03-30,"counterfactual",184.858516911026
2020-03-30,"fitted",184.858516911029
2020-04-06,"actual",141.166666666667
2020-04-06,"counterfactual",134.990970508941
2020-04-06,"fitted",134.990970508943
2020-04-13,"actual",105.888888888889
2020-04-13,"counterfactual",99.7527877944881
2020-04-13,"fitted",99.7527877944894
2020-04-20,"actual",113.833333333333
2020-04-20,"counterfactual",93.5059052049127
2020-04-20,"fitted",93.505905204913
2020-04-27,"actual",119.222222222222
2020-04-27,"counterfactual",96.0013716346891
2020-04-27,"fitted",96.0013716346898
2020-05-04,"actual",135.666666666667
2020-05-04,"counterfactual",122.832196575264
2020-05-04,"fitted",122.832196575265
2020-05-11,"actual",139.944444444444
2020-05-11,"counterfactual",129.64832353187
2020-05-11,"fitted",129.648323531871
2020-05-18,"actual",151.555555555556
2020-05-18,"counterfactual",150.29143222327
2020-05-18,"fitted",150.291432223271
2020-05-25,"actual",177.611111111111
2020-05-25,"counterfactual",181.387099094229
2020-05-25,"fitted",181.38709909423
2020-06-01,"actual",198.777777777778
2020-06-01,"counterfactual",201.043917994409
2020-06-01,"fitted",201.043917994411
2020-06-08,"actual",212.5
2020-06-08,"counterfactual",218.240826306957
2020-06-08,"fitted",218.240826306958
2020-06-15,"actual",269.944444444444
2020-06-15,"counterfactual",254.324658768307
2020-06-15,"fitted",254.324658768308
2020-06-22,"actual",278.222222222222
2020-06-22,"counterfactual",261.964044353611
2020-06-22,"fitted",261.964044353613
2020-06-29,"actual",278.333333333333
2020-06-29,"counterfactual",252.103849867635
2020-06-29,"fitted",252.103849867637
2020-07-06,"actual",279.555555555555
2020-07-06,"counterfactual",254.496226705854
2020-07-06,"fitted",254.496226705857
2020-07-13,"actual",275.666666666667
2020-07-13,"counterfactual",259.041063551724
2020-07-13,"fitted",267.861250918549
2020-07-20,"actual",375.722222222222
2020-07-20,"counterfactual",301.185665673222
2020-07-20,"fitted",319.526736157274
2020-07-27,"actual",282
2020-07-27,"counterfactual",231.458305472816
2020-07-27,"fitted",252.373911555627
2020-08-03,"actual",329.388888888889
2020-08-03,"counterfactual",253.217836949561
2020-08-03,"fitted",286.779735565824
2020-08-10,"actual",429.611111111111
2020-08-10,"counterfactual",328.988422496336
2020-08-10,"fitted",378.797316640271
2020-08-17,"actual",300.777777777778
2020-08-17,"counterfactual",239.485786658553
2020-08-17,"fitted",278.627467527941
2020-08-24,"actual",308.111111111111
2020-08-24,"counterfactual",246.849453159923
2020-08-24,"fitted",289.101786559104
2020-08-31,"actual",296.5
2020-08-31,"counterfactual",232.910109422823
2020-08-31,"fitted",274.839268291889
2020-09-07,"actual",313.333333333333
2020-09-07,"counterfactual",246.175436668345
2020-09-07,"fitted",293.291572436846
2020-09-14,"actual",362.611111111111
2020-09-14,"counterfactual",283.723300126913
2020-09-14,"fitted",340.751201001831
2020-09-21,"actual",418.833333333334
2020-09-21,"counterfactual",299.751289828922
2020-09-21,"fitted",362.02616676387
2020-09-28,"actual",323.222222222222
2020-09-28,"counterfactual",257.451747449672
2020-09-28,"fitted",313.482792038868
2020-10-05,"actual",307.055555555555
2020-10-05,"counterfactual",238.643356694231
2020-10-05,"fitted",292.895236844897
2020-10-12,"actual",344.666666666667
2020-10-12,"counterfactual",268.122964786832
2020-10-12,"fitted",331.384795746514
2020-10-19,"actual",358.111111111111
2020-10-19,"counterfactual",275.336252559502
2020-10-19,"fitted",342.471737298758
2020-10-26,"actual",370.222222222222
2020-10-26,"counterfactual",278.537606144704
2020-10-26,"fitted",348.191449874749
2020-11-02,"actual",377.055555555556
2020-11-02,"counterfactual",283.493049673901
2020-11-02,"fitted",355.926145532027
2020-11-09,"actual",355.888888888889
2020-11-09,"counterfactual",275.720610410384
2020-11-09,"fitted",347.729962608587
2020-11-16,"actual",382.833333333333
2020-11-16,"counterfactual",280.52431041518
2020-11-16,"fitted",355.130056219525
2020-11-23,"actual",340.166666666667
2020-11-23,"counterfactual",264.336419950923
2020-11-23,"fitted",335.736902294388
2020-11-30,"actual",278.833333333333
2020-11-30,"counterfactual",225.771520596249
2020-11-30,"fitted",287.583569216588
2020-12-07,"actual",284.055555555556
2020-12-07,"counterfactual",241.044615255287
2020-12-07,"fitted",307.560586414172
2020-12-14,"actual",281.222222222222
2020-12-14,"counterfactual",234.745478400957
2020-12-14,"fitted",299.828421037757
2020-12-21,"actual",313.944444444445
2020-12-21,"counterfactual",244.509839771833
2020-12-21,"fitted",312.634292902963
2020-12-28,"actual",313.611111111111
2020-12-28,"counterfactual",241.117710808684
2020-12-28,"fitted",308.460399472553
2021-01-04,"actual",254.5
2021-01-04,"counterfactual",197.106526890256
2021-01-04,"fitted",252.246808492971
2021-01-11,"actual",195.611111111111
2021-01-11,"counterfactual",160.27356521082
2021-01-11,"fitted",205.306574722984
2021-01-18,"actual",197.666666666667
2021-01-18,"counterfactual",154.195486553901
2021-01-18,"fitted",197.766402379892
2021-01-25,"actual",217.666666666667
2021-01-25,"counterfactual",174.655772369497
2021-01-25,"fitted",224.263877344484
2021-02-01,"actual",199.833333333333
2021-02-01,"counterfactual",170.881518862689
2021-02-01,"fitted",219.584099075003
2021-02-08,"actual",259.611111111111
2021-02-08,"counterfactual",206.076584829178
2021-02-08,"fitted",265.21037473924
2021-02-15,"actual",253.944444444445
2021-02-15,"counterfactual",203.820594956674
2021-02-15,"fitted",262.977100928459
2021-02-22,"actual",295.833333333333
2021-02-22,"counterfactual",242.673467254755
2021-02-22,"fitted",313.79357801988
2021-03-01,"actual",268.944444444444
2021-03-01,"counterfactual",232.004973793346
2021-03-01,"fitted",300.73696203609
2021-03-08,"actual",296.055555555555
2021-03-08,"counterfactual",251.109534540195
2021-03-08,"fitted",326.246044512407
2021-03-15,"actual",319.5
2021-03-15,"counterfactual",270.259889603701
2021-03-15,"fitted",351.903426694049
2021-03-22,"actual",365.611111111111
2021-03-22,"counterfactual",288.304462584102
2021-03-22,"fitted",376.19236502326
2021-03-29,"actual",329.277777777778
2021-03-29,"counterfactual",266.736531566139
2021-03-29,"fitted",348.575395776587
2021-04-05,"actual",302.555555555555
2021-04-05,"counterfactual",230.962941318558
2021-04-05,"fitted",302.303326516619
2021-04-12,"actual",260.388888888889
2021-04-12,"counterfactual",220.515868281335
