,週,week,weeknum,pref,newcaseday,newcaset.1,newcaset.2,cumcases,newdeath,emergency,GZnew,cumGZ,mobility,resview,in_city,in_pref,out_pref,week_dummy,pref_dummy,population,avg_temp,rain,sum_pop,agrgt_potecovid_lag1,agrgt_potecovid_lag2,susceptable,avg_temp_q,rain_q
30,202002_W2,2020-02-10,7,Yamanashi,0,0,0,0,0,0,0,0,834422,4.696892037,0.528107033,-1.331027586,-8.25039658,D_7,D_Yamanashi,811000,6.00714285714286,1.42857142857143,834391,0.0251262112114435,0.0563952632155432,811000,36.0857653061224,2.04081632653061
31,202002_W3,2020-02-17,8,Gunma,0,0,1,0,0,0,0,0,1982511,5.77219484,1.036128169,-1.7539475,2.68927099,D_8,D_Gunma,1942000,8.21428571428571,0.0357142857142857,1982478,0.0953494182298374,0.115063787996209,1942000,67.4744897959184,0.00127551020408163
32,202002_W3,2020-02-17,8,Ibaragi,0,0,0,0,0,0,0,0,2838798,1.841845583,0.687470107,-1.696672177,-5.034142746,D_8,D_Ibaragi,2860000,7.73809523809524,2.52380952380952,2838767,0.14312223088576,0.181872222255638,2860000,59.8781179138323,6.36961451247166
33,202002_W3,2020-02-17,8,Nagano,0,2,1,0,0,0,0,0,2159050,-0.019396793,1.310081744,-2.599509672,11.28501856,D_8,D_Nagano,2049000,3.85714285714286,0.928571428571429,2158987,0.136009870321204,2.14311068979279,2049000,14.8775510204082,0.862244897959184
34,202002_W3,2020-02-17,8,Shizuoka,0,1,0,0,0,0,0,0,3773299,-0.516870306,0.328520316,0.689101781,5.102008693,D_8,D_Shizuoka,3644000,9.48571428571429,2.71428571428571,3773292,0.258428477165107,1.33969714279474,3644000,89.9787755102041,7.36734693877551
35,202002_W3,2020-02-17,8,Tochigi,1,0,1,1,0,0,0,0,1976656,-4.873975068,1.831568039,-3.944337103,-0.569780475,D_8,D_Tochigi,1934000,7.23571428571429,1.82142857142857,1976637,1.01420386013526,1.0300999542414,1933999,52.3555612244898,3.31760204081633
36,202002_W3,2020-02-17,8,Yamanashi,0,0,2,0,0,0,0,0,846494,6.983863844,1.378723311,-3.178600985,16.01220865,D_8,D_Yamanashi,811000,5.63571428571429,0.678571428571429,846463,0.0601020938565404,0.0791589294939593,811000,31.7612755102041,0.460459183673469
37,202002_W4,2020-02-24,9,Gunma,0,1,4,0,0,0,0,0,1980798,-4.975000252,3.197936859,-9.628916456,-4.461833362,D_9,D_Gunma,1942000,7.95714285714286,0.678571428571429,1980774,0.125090206616557,1.1694508083235,1942000,63.3161224489796,0.460459183673469
38,202002_W4,2020-02-24,9,Ibaragi,0,0,0,0,0,0,0,0,2859287,-13.64786862,3.527168298,-8.298390447,-11.94114708,D_9,D_Ibaragi,2860000,7.02857142857143,1.07142857142857,2859256,0.187514192610668,0.287597266290823,2860000,49.4008163265306,1.14795918367347
39,202002_W4,2020-02-24,9,Nagano,2,1,1,2,0,0,0,0,2141901,-13.18145172,3.260774924,-10.6696108,-6.223707747,D_9,D_Nagano,2049000,3.78571428571429,1.32142857142857,2141839,2.14331899924138,3.35743483811854,2048998,14.3316326530612,1.74617346938776
