week,pref,resview,weeknum
2021年6月第3週,Shizuoka,-39.157951841,77
2021年6月第4週,Yamanashi,-38.377204431,78
2021年6月第4週,Gunma,-44.70856102,78
2021年6月第4週,Ibaragi,-34.292416348,78
2021年6月第4週,Tochigi,-36.998252744,78
2021年6月第4週,Nagano,-39.364736419,78
2021年6月第4週,Shizuoka,-40.323021406,78
2021年7月第1週,Yamanashi,-25.524587116,79
2021年7月第1週,Gunma,-43.249872179,79
2021年7月第1週,Ibaragi,-34.779646383,79
2021年7月第1週,Tochigi,-38.053336613,79
2021年7月第1週,Nagano,-40.233789,79
2021年7月第1週,Shizuoka,-42.268565149,79
2021年7月第2週,Yamanashi,-27.537587417,80
2021年7月第2週,Gunma,-40.323082505,80
2021年7月第2週,Ibaragi,-31.742707508,80
2021年7月第2週,Tochigi,-39.614831068,80
2021年7月第2週,Nagano,-39.891272421,80
2021年7月第2週,Shizuoka,-39.798841734,80
2021年7月第3週,Yamanashi,-34.135336341,81
2021年7月第3週,Gunma,-43.667574932,81
2021年7月第3週,Ibaragi,-36.821864846,81
2021年7月第3週,Tochigi,-43.593259057,81
2021年7月第3週,Nagano,-33.958111716,81
2021年7月第3週,Shizuoka,-44.88049361,81
2021年7月第4週,Yamanashi,-13.147115396,82
2021年7月第4週,Gunma,-36.69878899,82
2021年7月第4週,Ibaragi,-24.245809345,82
2021年7月第4週,Tochigi,-31.971200922,82
2021年7月第4週,Nagano,-26.333061808,82
2021年7月第4週,Shizuoka,-34.11323182,82
2021年7月第5週,Yamanashi,-33.091627466,83
2021年7月第5週,Gunma,-44.600976896,83
2021年7月第5週,Ibaragi,-35.981818962,83
2021年7月第5週,Tochigi,-42.20812815,83
2021年7月第5週,Nagano,-41.161751751,83
2021年7月第5週,Shizuoka,-43.090133464,83
2021年8月第1週,Yamanashi,-35.999959318,84
2021年8月第1週,Gunma,-42.819481949,84
2021年8月第1週,Ibaragi,-35.473376658,84
2021年8月第1週,Tochigi,-41.58735598,84
2021年8月第1週,Nagano,-39.240077196,84
2021年8月第1週,Shizuoka,-43.198582408,84
2021年8月第2週,Yamanashi,-35.596142934,85
2021年8月第2週,Gunma,-32.998882176,85
2021年8月第2週,Ibaragi,-26.50009158,85
2021年8月第2週,Tochigi,-31.050518027,85
2021年8月第2週,Nagano,-38.558352403,85
2021年8月第2週,Shizuoka,-38.296768446,85
2021年8月第3週,Yamanashi,-74.605178414,86
2021年8月第3週,Gunma,-75.358744076,86
2021年8月第3週,Ibaragi,-68.967566738,86
2021年8月第3週,Tochigi,-75.315259359,86
2021年8月第3週,Nagano,-77.085276723,86
2021年8月第3週,Shizuoka,-78.687335495,86
2021年8月第4週,Yamanashi,-44.470463744,87
2021年8月第4週,Gunma,-51.900723614,87
2021年8月第4週,Ibaragi,-40.54935748,87
2021年8月第4週,Tochigi,-51.234129824,87
2021年8月第4週,Nagano,-53.53105847,87
2021年8月第4週,Shizuoka,-61.097146424,87
2021年9月第1週,Yamanashi,-50.001378783,88
2021年9月第1週,Gunma,-51.389096868,88
2021年9月第1週,Ibaragi,-47.240424805,88
2021年9月第1週,Tochigi,-50.37556309,88
2021年9月第1週,Nagano,-49.479299092,88
2021年9月第1週,Shizuoka,-58.984512862,88
2021年9月第2週,Yamanashi,-39.53551078,89
2021年9月第2週,Gunma,-48.416357653,89
2021年9月第2週,Ibaragi,-41.77658356,89
2021年9月第2週,Tochigi,-30.969174272,89
2021年9月第2週,Nagano,-43.87828661,89
2021年9月第2週,Shizuoka,-53.436058427,89
2021年9月第3週,Yamanashi,-37.951301748,90
2021年9月第3週,Gunma,-46.818690767,90
2021年9月第3週,Ibaragi,-41.254250844,90
2021年9月第3週,Tochigi,-37.898874185,90
2021年9月第3週,Nagano,-40.630905716,90
2021年9月第3週,Shizuoka,-51.786623626,90
2021年9月第4週,Yamanashi,-30.814277041,91
2021年9月第4週,Gunma,-46.331472534,91
2021年9月第4週,Ibaragi,-34.240735535,91
2021年9月第4週,Tochigi,-35.709579997,91
2021年9月第4週,Nagano,-32.574972522,91
2021年9月第4週,Shizuoka,-45.13987681,91
2021年9月第5週,Yamanashi,-34.108630555,92
2021年9月第5週,Gunma,-48.861193272,92
2021年9月第5週,Ibaragi,-37.838291575,92
2021年9月第5週,Tochigi,-39.814454935,92
2021年9月第5週,Nagano,-35.057080347,92
2021年9月第5週,Shizuoka,-47.756563395,92
2021年10月第1週,Yamanashi,-24.88403544,93
2021年10月第1週,Gunma,-40.059755162,93
2021年10月第1週,Ibaragi,-28.316329635,93
2021年10月第1週,Tochigi,-29.869694398,93
2021年10月第1週,Nagano,-30.571456273,93
2021年10月第1週,Shizuoka,-34.549711856,93
