"date","pref","Sales","customers","Rt","Ymns","Rt.lag7","Rt.lag14"
2019-01-05,"熊本県",11644171,4542,NA,0,NA,NA
2019-01-05,"大分県",7337967,3387,NA,0,NA,NA
2019-01-05,"宮崎県",5519340,2008,NA,0,NA,NA
2019-01-05,"鹿児島県",9464528,3976,NA,0,NA,NA
2019-01-05,"沖縄県",22260539,8883,NA,0,NA,NA
2019-01-06,"北海道",27037991,12930,NA,0,NA,NA
2019-01-06,"青森県",2411778,903,NA,0,NA,NA
2019-01-06,"岩手県",2893284,1646,NA,0,NA,NA
2019-01-06,"宮城県",6837718,2682,NA,0,NA,NA
2019-01-06,"秋田県",660320,349,NA,0,NA,NA
2019-01-06,"山形県",2348147,952,NA,0,NA,NA
2019-01-06,"福島県",3100054,1610,NA,0,NA,NA
2019-01-06,"茨城県",10045955,3911,NA,0,NA,NA
2019-01-06,"栃木県",7709387,4608,NA,0,NA,NA
2019-01-06,"群馬県",7217481,2855,NA,0,NA,NA
2019-01-06,"埼玉県",19444131,9686,NA,0,NA,NA
2019-01-06,"千葉県",22442115,8842,NA,0,NA,NA
2019-01-06,"東京都",132403583,52931,NA,0,NA,NA
2019-01-06,"神奈川県",34977849,16258,NA,0,NA,NA
2019-01-06,"新潟県",4286028,1901,NA,0,NA,NA
2019-01-06,"山梨県",1826394,832,NA,1,NA,NA
2019-01-06,"長野県",6340077,4222,NA,0,NA,NA
2019-01-06,"富山県",3242843,1873,NA,0,NA,NA
2019-01-06,"石川県",4075455,2024,NA,0,NA,NA
2019-01-06,"福井県",1652720,1074,NA,0,NA,NA
2019-01-06,"岐阜県",6258009,3319,NA,0,NA,NA
2019-01-06,"静岡県",8284284,5035,NA,0,NA,NA
2019-01-06,"愛知県",34107116,16506,NA,0,NA,NA
2019-01-06,"三重県",6822855,4237,NA,0,NA,NA
2019-01-06,"滋賀県",9811367,3033,NA,0,NA,NA
2019-01-06,"京都府",17562278,7999,NA,0,NA,NA
2019-01-06,"大阪府",62574037,31064,NA,0,NA,NA
2019-01-06,"兵庫県",33542356,19399,NA,0,NA,NA
2019-01-06,"奈良県",5418090,2979,NA,0,NA,NA
2019-01-06,"和歌山県",3178661,1321,NA,0,NA,NA
2019-01-06,"鳥取県",1749897,814,NA,0,NA,NA
2019-01-06,"島根県",1276762,482,NA,0,NA,NA
2019-01-06,"岡山県",7667384,3721,NA,0,NA,NA
2019-01-06,"広島県",13928186,8262,NA,0,NA,NA
2019-01-06,"山口県",5905235,2359,NA,0,NA,NA
2019-01-06,"徳島県",998735,600,NA,0,NA,NA
2019-01-06,"香川県",4932674,3393,NA,0,NA,NA
2019-01-06,"愛媛県",5598297,3943,NA,0,NA,NA
2019-01-06,"高知県",2485607,1577,NA,0,NA,NA
2019-01-06,"福岡県",24399921,11137,NA,0,NA,NA
2019-01-06,"佐賀県",3150289,1470,NA,0,NA,NA
2019-01-06,"長崎県",3165102,1834,NA,0,NA,NA
2019-01-06,"熊本県",8116023,3478,NA,0,NA,NA
2019-01-06,"大分県",4791541,2533,NA,0,NA,NA
2019-01-06,"宮崎県",3122788,1450,NA,0,NA,NA
2019-01-06,"鹿児島県",5627317,2847,NA,0,NA,NA
2019-01-06,"沖縄県",15165294,6715,NA,0,NA,NA
2019-01-07,"北海道",23881831,10746,NA,0,NA,NA
2019-01-07,"青森県",2078124,770,NA,0,NA,NA
2019-01-07,"岩手県",2810274,1410,NA,0,NA,NA
2019-01-07,"宮城県",7692210,2802,NA,0,NA,NA
2019-01-07,"秋田県",590825,236,NA,0,NA,NA
2019-01-07,"山形県",1500803,548,NA,0,NA,NA
2019-01-07,"福島県",3247159,1395,NA,0,NA,NA
2019-01-07,"茨城県",6578573,2679,NA,0,NA,NA
2019-01-07,"栃木県",3678337,2440,NA,0,NA,NA
2019-01-07,"群馬県",5196692,1714,NA,0,NA,NA
2019-01-07,"埼玉県",13276175,6669,NA,0,NA,NA
2019-01-07,"千葉県",13837663,5316,NA,0,NA,NA
2019-01-07,"東京都",146144434,59886,NA,0,NA,NA
2019-01-07,"神奈川県",27871476,12898,NA,0,NA,NA
2019-01-07,"新潟県",3748024,1379,NA,0,NA,NA
2019-01-07,"山梨県",1813408,584,NA,1,NA,NA
2019-01-07,"長野県",3881004,2626,NA,0,NA,NA
2019-01-07,"富山県",1922612,1936,NA,0,NA,NA
2019-01-07,"石川県",2337222,863,NA,0,NA,NA
2019-01-07,"福井県",726314,446,NA,0,NA,NA
2019-01-07,"岐阜県",3613905,1557,NA,0,NA,NA
2019-01-07,"静岡県",5304798,2637,NA,0,NA,NA
2019-01-07,"愛知県",27751362,12267,NA,0,NA,NA
2019-01-07,"三重県",3992257,2666,NA,0,NA,NA
2019-01-07,"滋賀県",4583276,1738,NA,0,NA,NA
2019-01-07,"京都府",12591667,5529,NA,0,NA,NA
2019-01-07,"大阪府",48226540,25195,NA,0,NA,NA
2019-01-07,"兵庫県",22458620,12800,NA,0,NA,NA
2019-01-07,"奈良県",3578037,1883,NA,0,NA,NA
2019-01-07,"和歌山県",1881073,852,NA,0,NA,NA
2019-01-07,"鳥取県",1483608,577,NA,0,NA,NA
2019-01-07,"島根県",787891,299,NA,0,NA,NA
2019-01-07,"岡山県",5315205,2328,NA,0,NA,NA
2019-01-07,"広島県",8637825,4378,NA,0,NA,NA
2019-01-07,"山口県",4167520,1562,NA,0,NA,NA
2019-01-07,"徳島県",835832,408,NA,0,NA,NA
2019-01-07,"香川県",3238357,2152,NA,0,NA,NA
2019-01-07,"愛媛県",3253967,2162,NA,0,NA,NA
2019-01-07,"高知県",2036626,1153,NA,0,NA,NA
2019-01-07,"福岡県",19139077,8431,NA,0,NA,NA
2019-01-07,"佐賀県",1066620,744,NA,0,NA,NA
2019-01-07,"長崎県",2863730,1445,NA,0,NA,NA
2019-01-07,"熊本県",4643032,2060,NA,0,NA,NA
2019-01-07,"大分県",2709708,1567,NA,0,NA,NA
2019-01-07,"宮崎県",1994286,884,NA,0,NA,NA
2019-01-07,"鹿児島県",4178763,1829,NA,0,NA,NA
2019-01-07,"沖縄県",11441615,4803,NA,0,NA,NA
2019-01-08,"北海道",23797274,10513,NA,0,NA,NA
2019-01-08,"青森県",2212423,703,NA,0,NA,NA
2019-01-08,"岩手県",3129464,1389,NA,0,NA,NA
2019-01-08,"宮城県",8623864,3007,NA,0,NA,NA
2019-01-08,"秋田県",924679,269,NA,0,NA,NA
2019-01-08,"山形県",1972222,683,NA,0,NA,NA
2019-01-08,"福島県",3160637,1272,NA,0,NA,NA
2019-01-08,"茨城県",6314899,2399,NA,0,NA,NA
2019-01-08,"栃木県",3968608,2317,NA,0,NA,NA
2019-01-08,"群馬県",6888404,2022,NA,0,NA,NA
2019-01-08,"埼玉県",14102594,6507,NA,0,NA,NA
2019-01-08,"千葉県",15158474,5931,NA,0,NA,NA
2019-01-08,"東京都",155090339,61478,NA,0,NA,NA
2019-01-08,"神奈川県",27186304,12911,NA,0,NA,NA
2019-01-08,"新潟県",3235916,1436,NA,0,NA,NA
2019-01-08,"山梨県",1010833,416,NA,1,NA,NA
2019-01-08,"長野県",3768395,2491,NA,0,NA,NA
2019-01-08,"富山県",1722109,881,NA,0,NA,NA
2019-01-08,"石川県",2524164,1064,NA,0,NA,NA
2019-01-08,"福井県",1431366,619,NA,0,NA,NA
2019-01-08,"岐阜県",4041685,1813,NA,0,NA,NA
2019-01-08,"静岡県",6929062,3031,NA,0,NA,NA
2019-01-08,"愛知県",29936283,12307,NA,0,NA,NA
2019-01-08,"三重県",3899237,2095,NA,0,NA,NA
2019-01-08,"滋賀県",4223207,1677,NA,0,NA,NA
2019-01-08,"京都府",12652654,5447,NA,0,NA,NA
2019-01-08,"大阪府",46942801,24069,NA,0,NA,NA
2019-01-08,"兵庫県",21229433,12153,NA,0,NA,NA
2019-01-08,"奈良県",2874533,1664,NA,0,NA,NA
2019-01-08,"和歌山県",2507559,1110,NA,0,NA,NA
2019-01-08,"鳥取県",1421658,432,NA,0,NA,NA
2019-01-08,"島根県",891747,284,NA,0,NA,NA
2019-01-08,"岡山県",5851426,2329,NA,0,NA,NA
2019-01-08,"広島県",9032041,4510,NA,0,NA,NA
2019-01-08,"山口県",4411464,1714,NA,0,NA,NA
2019-01-08,"徳島県",1106379,480,NA,0,NA,NA
2019-01-08,"香川県",3041400,1672,NA,0,NA,NA
2019-01-08,"愛媛県",4128577,2391,NA,0,NA,NA
2019-01-08,"高知県",1568237,635,NA,0,NA,NA
2019-01-08,"福岡県",19366954,8178,NA,0,NA,NA
2019-01-08,"佐賀県",1308440,691,NA,0,NA,NA
2019-01-08,"長崎県",2277540,1224,NA,0,NA,NA
2019-01-08,"熊本県",4557841,2015,NA,0,NA,NA
2019-01-08,"大分県",2631391,1371,NA,0,NA,NA
2019-01-08,"宮崎県",2377932,944,NA,0,NA,NA
2019-01-08,"鹿児島県",3553125,1652,NA,0,NA,NA
2019-01-08,"沖縄県",10549830,4538,NA,0,NA,NA
2019-01-09,"北海道",24732956,11025,NA,0,NA,NA
2019-01-09,"青森県",2378195,833,NA,0,NA,NA
2019-01-09,"岩手県",2866478,1317,NA,0,NA,NA
2019-01-09,"宮城県",8040513,2715,NA,0,NA,NA
2019-01-09,"秋田県",992589,388,NA,0,NA,NA
2019-01-09,"山形県",1345008,489,NA,0,NA,NA
2019-01-09,"福島県",3543634,1386,NA,0,NA,NA
2019-01-09,"茨城県",7082514,2963,NA,0,NA,NA
2019-01-09,"栃木県",4839982,2588,NA,0,NA,NA
2019-01-09,"群馬県",7156974,2126,NA,0,NA,NA
2019-01-09,"埼玉県",16039165,7049,NA,0,NA,NA
2019-01-09,"千葉県",16820108,6292,NA,0,NA,NA
2019-01-09,"東京都",161679264,62409,NA,0,NA,NA
2019-01-09,"神奈川県",30057885,13676,NA,0,NA,NA
2019-01-09,"新潟県",3371314,1381,NA,0,NA,NA
2019-01-09,"山梨県",1233358,465,NA,1,NA,NA
2019-01-09,"長野県",3643771,2287,NA,0,NA,NA
2019-01-09,"富山県",2236335,868,NA,0,NA,NA
2019-01-09,"石川県",3303012,1364,NA,0,NA,NA
2019-01-09,"福井県",1007204,636,NA,0,NA,NA
2019-01-09,"岐阜県",4039660,1915,NA,0,NA,NA
2019-01-09,"静岡県",7859206,3720,NA,0,NA,NA
2019-01-09,"愛知県",32074948,13384,NA,0,NA,NA
2019-01-09,"三重県",3951111,2024,NA,0,NA,NA
2019-01-09,"滋賀県",6600404,1914,NA,0,NA,NA
2019-01-09,"京都府",13976183,5495,NA,0,NA,NA
2019-01-09,"大阪府",53399294,25190,NA,0,NA,NA
2019-01-09,"兵庫県",26013123,13465,NA,0,NA,NA
2019-01-09,"奈良県",3854423,2028,NA,0,NA,NA
2019-01-09,"和歌山県",2847041,1210,NA,0,NA,NA
2019-01-09,"鳥取県",1442320,485,NA,0,NA,NA
2019-01-09,"島根県",1207393,412,NA,0,NA,NA
2019-01-09,"岡山県",5713534,2265,NA,0,NA,NA
2019-01-09,"広島県",10285517,5097,NA,0,NA,NA
2019-01-09,"山口県",5674610,1946,NA,0,NA,NA
2019-01-09,"徳島県",1207930,520,NA,0,NA,NA
2019-01-09,"香川県",3222705,1830,NA,0,NA,NA
2019-01-09,"愛媛県",4057286,2347,NA,0,NA,NA
2019-01-09,"高知県",1725213,863,NA,0,NA,NA
2019-01-09,"福岡県",21380938,8762,NA,0,NA,NA
2019-01-09,"佐賀県",1153339,734,NA,0,NA,NA
2019-01-09,"長崎県",2156676,1142,NA,0,NA,NA
2019-01-09,"熊本県",4279451,1941,NA,0,NA,NA
2019-01-09,"大分県",2718310,1101,NA,0,NA,NA
2019-01-09,"宮崎県",1794949,826,NA,0,NA,NA
